N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.896312	0	1.37886e-05	1.72486e-05	0	0.00460109	1.62857e-07	8.29143e-06	2.38857e-06
1	192	0.896238	0	1.37743e-05	1.72571e-05	0	0.0046007	1.6e-07	8.29429e-06	2.39429e-06
1	192	0.896357	0	1.37686e-05	1.73143e-05	0	0.00460128	1.6e-07	8.28286e-06	2.4e-06
1	192	0.896242	0	1.37743e-05	1.72771e-05	0	0.00460069	1.62857e-07	8.28571e-06	2.39714e-06
1	192	0.896273	0	1.378e-05	1.72686e-05	0	0.00460086	1.62857e-07	8.27429e-06	2.41143e-06
1	192	0.896311	0	1.37914e-05	1.72829e-05	0	0.00460102	1.62857e-07	8.30286e-06	2.40286e-06
1	192	0.896478	0	1.37886e-05	1.72857e-05	0	0.00460188	1.6e-07	8.31143e-06	2.40286e-06
1	192	0.896368	0	1.37829e-05	1.72829e-05	0	0.00460134	1.62857e-07	8.28e-06	2.40571e-06
1	192	0.896266	0	1.37743e-05	1.72543e-05	0	0.00460082	1.6e-07	8.30571e-06	2.41714e-06
1	192	0.896323	0	1.37914e-05	1.72743e-05	0	0.00460112	1.62857e-07	8.28857e-06	2.4e-06
2	192	0.492801	7.24638	1.45314e-05	1.89343e-05	0	0.00435323	1.62857e-07	8.66e-06	0.000690717
2	192	0.492774	7.24638	1.45086e-05	1.88914e-05	0	0.00435307	1.62857e-07	8.67714e-06	0.0006907
2	192	0.492778	6.79612	1.45429e-05	1.89029e-05	0	0.00435363	1.62857e-07	8.67143e-06	0.00069016
2	192	0.492726	4.9505	1.45743e-05	1.88829e-05	0	0.00435393	1.65714e-07	8.67429e-06	0.000689214
2	192	0.492982	9.85915	1.44943e-05	1.89486e-05	0	0.0043536	1.62857e-07	8.65143e-06	0.000692303
2	192	0.492865	8.57143	1.45371e-05	1.88486e-05	0	0.00435317	1.62857e-07	8.67143e-06	0.000691529
2	192	0.493157	11.5207	1.45343e-05	1.88829e-05	0	0.00435359	1.62857e-07	8.67143e-06	0.000694231
2	192	0.493104	11.1111	1.45086e-05	1.89086e-05	0	0.00435368	1.65714e-07	8.65714e-06	0.000693511
2	192	0.492916	9.00474	1.454e-05	1.89486e-05	0	0.00435338	1.62857e-07	8.67714e-06	0.000691803
2	192	0.493012	10.2804	1.45657e-05	1.88829e-05	0	0.00435367	1.62857e-07	8.66571e-06	0.000692526
3	192	0.352426	15.7895	1.46829e-05	1.82457e-05	0	0.00406962	1.6e-07	8.78286e-06	0.00131838
3	192	0.352285	12.3288	1.46657e-05	1.81914e-05	0	0.00406874	1.57143e-07	8.76571e-06	0.00131681
3	192	0.352452	12.3288	1.46914e-05	1.82314e-05	0	0.00406844	1.54286e-07	8.79143e-06	0.00131926
3	192	0.352256	13.9013	1.46257e-05	1.81457e-05	0	0.00406851	1.6e-07	8.77143e-06	0.00131681
3	192	0.352243	12.3288	1.468e-05	1.82057e-05	0	0.00406908	1.57143e-07	8.76286e-06	0.00131542
3	192	0.352258	10.6977	1.47171e-05	1.82771e-05	0	0.0040708	1.6e-07	8.75714e-06	0.00131418
3	192	0.352338	12.3288	1.46371e-05	1.82057e-05	0	0.00406842	1.57143e-07	8.78571e-06	0.00131717
3	192	0.352553	16.8831	1.46857e-05	1.82029e-05	0	0.00406923	1.6e-07	8.76e-06	0.00132066
3	192	0.352493	16.8831	1.46829e-05	1.82057e-05	0	0.00406816	1.6e-07	8.76e-06	0.00131935
3	192	0.352275	13.1222	1.46286e-05	1.81886e-05	0	0.00406922	1.57143e-07	8.77143e-06	0.00131649
4	192	0.302724	18.6441	1.58114e-05	2.13143e-05	0	0.00363009	1.6e-07	9.29714e-06	0.00250433
4	192	0.303662	31.9149	1.58886e-05	2.12657e-05	0	0.00363188	1.6e-07	9.29143e-06	0.00252053
4	192	0.302987	22.8916	1.58029e-05	2.12743e-05	0	0.00363111	1.57143e-07	9.32571e-06	0.00250945
4	192	0.303072	23.2	1.59771e-05	2.12829e-05	0	0.00363191	1.6e-07	9.32571e-06	0.00251032
4	192	0.302775	18.2979	1.58771e-05	2.13057e-05	0	0.00363078	1.6e-07	9.34e-06	0.0025048
4	192	0.302813	20.6612	1.58886e-05	2.126e-05	0	0.0036303	1.6e-07	9.35143e-06	0.00250769
4	192	0.303158	26.9962	1.58886e-05	2.12686e-05	0	0.00363011	1.62857e-07	9.32857e-06	0.00251366
4	192	0.303221	25	1.59057e-05	2.13457e-05	0	0.00363162	1.6e-07	9.34571e-06	0.00251204
4	192	0.303035	23.8095	1.58914e-05	2.12571e-05	0	0.00363185	1.6e-07	9.37143e-06	0.00251124
4	192	0.302605	18.9873	1.58486e-05	2.12771e-05	0	0.00362926	1.6e-07	9.34571e-06	0.00250396
