N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.889604	0	5.10286e-06	1.42857e-05	0	0.00459221	3.71429e-08	3.65143e-06	1.22571e-06	0.95
1	192	0.889809	0	5.10286e-06	1.42657e-05	0	0.00459332	3.42857e-08	3.65714e-06	1.20286e-06	0.93
1	192	0.889744	0	5.11429e-06	1.42543e-05	0	0.00459299	3.71429e-08	3.66286e-06	1.2e-06	0.93
1	192	0.889636	0	5.10571e-06	1.42743e-05	0	0.00459241	3.71429e-08	3.66571e-06	1.22286e-06	0.93
1	192	0.889643	0	5.11429e-06	1.42571e-05	0	0.00459244	3.71429e-08	3.66286e-06	1.19714e-06	0.93
1	192	0.88964	0	5.10286e-06	1.42743e-05	0	0.00459243	3.71429e-08	3.64571e-06	1.22571e-06	0.93
1	192	0.889752	0	5.1e-06	1.42514e-05	0	0.00459303	3.71429e-08	3.66571e-06	1.20571e-06	0.93
1	192	0.889661	0	5.10286e-06	1.42743e-05	0	0.00459253	3.71429e-08	3.66286e-06	1.21429e-06	0.93
1	192	0.889822	0	5.10286e-06	1.42686e-05	0	0.00459337	3.71429e-08	3.64571e-06	1.21429e-06	0.93
1	192	0.889534	0	5.1e-06	1.42429e-05	0	0.0045919	3.71429e-08	3.64571e-06	1.20571e-06	0.93
2	192	0.491682	2.53807	5.80857e-06	1.728e-05	0	0.00430943	3.42857e-08	3.94857e-06	0.000731054	0.56
2	192	0.491642	2.53807	5.81714e-06	1.72686e-05	0	0.00430917	3.42857e-08	3.93714e-06	0.000731111	0.54
2	192	0.491641	2.53807	5.82571e-06	1.72629e-05	0	0.00430939	3.42857e-08	3.93714e-06	0.000730966	0.54
2	192	0.491639	2.53807	5.80571e-06	1.726e-05	0	0.00430923	3.14286e-08	3.96286e-06	0.000730886	0.53
2	192	0.491657	2.53807	5.77429e-06	1.728e-05	0	0.00430937	3.42857e-08	3.95714e-06	0.000731097	0.54
2	192	0.491692	2.53807	5.82e-06	1.72886e-05	0	0.00430943	3.42857e-08	3.94571e-06	0.000730829	0.54
2	192	0.491614	2.53807	5.78286e-06	1.72914e-05	0	0.00430944	3.42857e-08	3.96e-06	0.00073098	0.53
2	192	0.491632	2.53807	5.8e-06	1.726e-05	0	0.00430937	3.42857e-08	3.95429e-06	0.000731011	0.55
2	192	0.491629	2.53807	5.78857e-06	1.73e-05	0	0.00430891	3.14286e-08	3.95143e-06	0.00073108	0.54
2	192	0.491597	2.53807	5.80857e-06	1.728e-05	0	0.00430887	3.14286e-08	3.94286e-06	0.000730989	0.53
3	192	0.364812	4.9505	5.64571e-06	1.606e-05	0	0.00432992	3.14286e-08	3.94857e-06	0.00114614	0.43
3	192	0.36483	4.9505	5.66286e-06	1.60457e-05	0	0.00432999	3.14286e-08	3.95143e-06	0.00114573	0.42
3	192	0.364852	4.9505	5.64857e-06	1.60914e-05	0	0.00432985	3.42857e-08	3.95429e-06	0.00114606	0.42
3	192	0.364873	4.9505	5.65714e-06	1.60629e-05	0	0.00432971	3.14286e-08	3.96286e-06	0.00114605	0.42
3	192	0.364795	4.9505	5.62857e-06	1.60971e-05	0	0.00432946	3.42857e-08	3.94571e-06	0.00114594	0.42
3	192	0.364784	4.9505	5.65714e-06	1.60543e-05	0	0.00432978	3.14286e-08	3.93429e-06	0.00114573	0.42
3	192	0.36486	4.9505	5.65143e-06	1.60886e-05	0	0.00432991	3.42857e-08	3.96e-06	0.00114603	0.42
3	192	0.36484	4.9505	5.67429e-06	1.60571e-05	0	0.00433013	3.14286e-08	3.93714e-06	0.00114601	0.42
3	192	0.364844	4.9505	5.64e-06	1.60371e-05	0	0.00432985	3.42857e-08	3.92286e-06	0.00114615	0.42
3	192	0.364879	4.9505	5.66e-06	1.60543e-05	0	0.00433014	3.14286e-08	3.93143e-06	0.00114629	0.42
4	192	0.29562	4.47761	5.90286e-06	1.70686e-05	0	0.00391667	3.14286e-08	4.07143e-06	0.00178279	0.37
4	192	0.29561	4.47761	5.91429e-06	1.70914e-05	0	0.0039174	3.14286e-08	4.09714e-06	0.00178259	0.34
4	192	0.295639	4.47761	5.91143e-06	1.70743e-05	0	0.00391724	3.14286e-08	4.09429e-06	0.00178287	0.34
4	192	0.295642	4.47761	5.94286e-06	1.70286e-05	0	0.00391661	3.14286e-08	4.06286e-06	0.00178271	0.35
4	192	0.295629	4.47761	5.89429e-06	1.71114e-05	0	0.00391743	3.14286e-08	4.06e-06	0.00178265	0.35
4	192	0.295656	4.47761	5.9e-06	1.70343e-05	0	0.00391732	3.14286e-08	4.06857e-06	0.00178289	0.34
4	192	0.295652	4.47761	5.92286e-06	1.706e-05	0	0.00391765	3.14286e-08	4.08286e-06	0.00178297	0.34
4	192	0.295673	4.47761	5.92286e-06	1.70743e-05	0	0.00391779	3.14286e-08	4.04857e-06	0.00178284	0.35
4	192	0.295643	4.47761	5.90571e-06	1.712e-05	0	0.00391642	3.14286e-08	4.09143e-06	0.00178302	0.34
4	192	0.295631	4.47761	5.86857e-06	1.70571e-05	0	0.00391759	3.14286e-08	4.08e-06	0.00178269	0.35
5	192	0.245161	7.69231	5.98e-06	1.79029e-05	0	0.00358627	2.85714e-08	4.11714e-06	0.00248799	0.32
5	192	0.245219	7.69231	6.00286e-06	1.796e-05	0	0.00358558	2.85714e-08	4.16e-06	0.00248788	0.29
5	192	0.245217	7.69231	5.98e-06	1.79343e-05	0	0.00358625	2.85714e-08	4.14571e-06	0.00248784	0.29
5	192	0.245274	7.69231	5.97429e-06	1.79429e-05	0	0.00358604	2.85714e-08	4.14286e-06	0.00248805	0.29
5	192	0.245181	7.69231	6.01143e-06	1.796e-05	0	0.00358567	2.85714e-08	4.18286e-06	0.00248813	0.29
5	192	0.245213	7.69231	6.00286e-06	1.79143e-05	0	0.00358647	2.85714e-08	4.16571e-06	0.00248812	0.29
5	192	0.2452	7.69231	6.02286e-06	1.80029e-05	0	0.0035856	2.85714e-08	4.16286e-06	0.00248812	0.29
5	192	0.24522	7.69231	5.99429e-06	1.79286e-05	0	0.00358639	2.85714e-08	4.13143e-06	0.00248773	0.29
5	192	0.245208	7.69231	6.01143e-06	1.80086e-05	0	0.00358567	2.85714e-08	4.15143e-06	0.00248726	0.29
5	192	0.245062	7.69231	5.96e-06	1.78943e-05	0	0.00358578	2.85714e-08	4.14857e-06	0.00248776	0.29
6	192	0.282617	11.9266	6.79429e-06	2.04714e-05	0	0.00418635	3.14286e-08	4.48e-06	0.00380379	0.36
6	192	0.284401	11.9266	6.44286e-06	1.75714e-05	0	0.00410176	3.14286e-08	4.31429e-06	0.00393938	0.34
6	192	0.284439	11.9266	6.43714e-06	1.75829e-05	0	0.00410071	3.42857e-08	4.32286e-06	0.00393907	0.32
6	192	0.284365	11.9266	6.42857e-06	1.75371e-05	0	0.00409968	3.42857e-08	4.29429e-06	0.0039422	0.33
6	192	0.284325	11.9266	6.42e-06	1.76114e-05	0	0.00410025	3.42857e-08	4.32286e-06	0.00393781	0.33
6	192	0.284446	11.9266	6.34857e-06	1.76457e-05	0	0.0041005	3.42857e-08	4.38e-06	0.00393897	0.34
6	192	0.282662	11.9266	6.83429e-06	2.02143e-05	0	0.00418704	3.14286e-08	4.53143e-06	0.0038009	0.33
6	192	0.28439	11.9266	6.4e-06	1.76571e-05	0	0.00410028	3.42857e-08	4.33429e-06	0.00393821	0.34
6	192	0.284374	11.9266	6.46857e-06	1.76143e-05	0	0.00409931	3.42857e-08	4.32571e-06	0.00393969	0.33
6	192	0.284321	11.9266	6.41714e-06	1.76914e-05	0	0.00409964	3.42857e-08	4.31429e-06	0.00393893	0.33
7	192	0.224875	10.6977	6.77143e-06	1.85943e-05	0	0.00401869	3.42857e-08	4.57714e-06	0.00364287	0.30
7	192	0.224842	10.6977	6.72857e-06	1.87886e-05	0	0.00401766	3.42857e-08	4.63714e-06	0.00364281	0.28
7	192	0.224878	10.6977	6.68571e-06	1.86343e-05	0	0.00401729	3.42857e-08	4.56286e-06	0.00364226	0.27
7	192	0.224957	10.6977	6.75143e-06	1.874e-05	0	0.00401882	3.14286e-08	4.54571e-06	0.00364384	0.27
7	192	0.224816	10.6977	6.73143e-06	1.85914e-05	0	0.00401695	3.42857e-08	4.61714e-06	0.00364197	0.27
7	192	0.224939	10.6977	6.77429e-06	1.85543e-05	0	0.00401921	3.42857e-08	4.55714e-06	0.00364376	0.28
7	192	0.224964	10.6977	6.75714e-06	1.85543e-05	0	0.00401828	3.42857e-08	4.62857e-06	0.00364385	0.28
7	192	0.224875	10.6977	6.78e-06	1.86171e-05	0	0.00401836	3.71429e-08	4.54857e-06	0.0036411	0.28
7	192	0.224893	10.6977	6.70286e-06	1.87057e-05	0	0.00401836	3.42857e-08	4.57143e-06	0.00364315	0.27
7	192	0.224903	10.6977	6.73143e-06	1.86714e-05	0	0.00401962	3.42857e-08	4.61714e-06	0.00364394	0.27
8	192	0.261869	9.43396	5.52857e-06	1.45286e-05	0	0.0057683	2.57143e-08	4.08571e-06	0.00385162	0.34
8	192	0.261916	9.43396	5.48571e-06	1.454e-05	0	0.00576763	2.85714e-08	4.04571e-06	0.00385063	0.31
8	192	0.26182	9.43396	5.49429e-06	1.46543e-05	0	0.00576705	2.57143e-08	4.04571e-06	0.00384988	0.31
8	192	0.261855	9.43396	5.49429e-06	1.46343e-05	0	0.00576919	3.14286e-08	4.04857e-06	0.00385071	0.31
8	192	0.261917	9.43396	5.49143e-06	1.44829e-05	0	0.00576863	2.57143e-08	4.12571e-06	0.00385026	0.31
8	192	0.261988	9.43396	5.49714e-06	1.45257e-05	0	0.00576802	2.85714e-08	4.00857e-06	0.0038523	0.31
8	192	0.261913	9.43396	5.53714e-06	1.44171e-05	0	0.00576819	2.57143e-08	4.10286e-06	0.00385101	0.31
8	192	0.261911	9.43396	5.47143e-06	1.47086e-05	0	0.00576928	2.57143e-08	4.05143e-06	0.00385083	0.32
8	192	0.261977	9.43396	5.55429e-06	1.45371e-05	0	0.00576734	2.57143e-08	4.08857e-06	0.00385132	0.31
8	192	0.261885	9.43396	5.44286e-06	1.45657e-05	0	0.00576815	2.85714e-08	4.02e-06	0.00385076	0.31
9	192	0.231602	13.9013	6.80571e-06	1.93743e-05	0	0.0050671	2.57143e-08	4.69429e-06	0.00501897	0.31
9	192	0.231778	13.9013	6.75143e-06	1.95829e-05	0	0.00506521	2.57143e-08	4.65143e-06	0.00501924	0.28
9	192	0.231737	13.9013	6.74857e-06	1.95086e-05	0	0.0050683	2.28571e-08	4.54857e-06	0.00501937	0.28
9	192	0.23179	13.9013	6.78e-06	1.95057e-05	0	0.00506757	2.28571e-08	4.60571e-06	0.00502066	0.28
9	192	0.231809	13.9013	6.79714e-06	1.94657e-05	0	0.00506878	2.57143e-08	4.65429e-06	0.00501932	0.28
9	192	0.231834	13.9013	6.86857e-06	1.94743e-05	0	0.00507018	2.28571e-08	4.75429e-06	0.00502032	0.28
9	192	0.231794	13.9013	6.76286e-06	1.93286e-05	0	0.00506787	2.85714e-08	4.62857e-06	0.00501887	0.28
9	192	0.231677	13.9013	6.74857e-06	1.93857e-05	0	0.00506749	2.28571e-08	4.56857e-06	0.00501722	0.28
9	192	0.231645	13.9013	6.85714e-06	1.92829e-05	0	0.00506704	2.28571e-08	4.70857e-06	0.00501815	0.28
9	192	0.231697	13.9013	6.93143e-06	1.93171e-05	0	0.00506622	2.57143e-08	4.64286e-06	0.00501835	0.28
10	192	0.237236	15.4185	7.44e-06	2.02543e-05	0	0.00501834	2.85714e-08	4.96e-06	0.00651343	0.31
10	192	0.236901	15.4185	7.40857e-06	2.02314e-05	0	0.00500976	2.85714e-08	5.09714e-06	0.00651807	0.29
10	192	0.237027	15.0442	7.53714e-06	2.018e-05	0	0.00508614	3.14286e-08	5.16286e-06	0.00641262	0.29
10	192	0.237172	15.4185	7.41429e-06	2.02429e-05	0	0.00501877	2.85714e-08	4.96e-06	0.0065103	0.29
10	192	0.237131	15.4185	7.40286e-06	2.00771e-05	0	0.00500066	2.85714e-08	5.10286e-06	0.0065184	0.29
10	192	0.237035	15.4185	7.42857e-06	1.99457e-05	0	0.00501903	2.57143e-08	4.96857e-06	0.00650805	0.29
10	192	0.2369	15.4185	7.41143e-06	2.01514e-05	0	0.00500835	2.57143e-08	4.96286e-06	0.00651595	0.29
10	192	0.237159	15.4185	7.39714e-06	2e-05	0	0.00501573	3.14286e-08	4.97429e-06	0.0065215	0.29
10	192	0.237059	15.4185	7.45429e-06	2.01314e-05	0	0.0050162	3.14286e-08	4.96857e-06	0.00650973	0.29
10	192	0.237253	15.4185	7.65143e-06	2.02114e-05	0	0.0050241	2.85714e-08	4.99429e-06	0.00651502	0.29
11	192	0.184588	10.6977	7.90571e-06	2.11829e-05	0	0.00496845	2.57143e-08	5.40571e-06	0.00423907	0.25
11	192	0.184526	10.6977	8.06857e-06	2.12429e-05	0	0.00496834	2.28571e-08	5.38e-06	0.00423792	0.24
11	192	0.184527	10.6977	7.96571e-06	2.10714e-05	0	0.00496923	2.28571e-08	5.38e-06	0.00423767	0.24
11	192	0.184623	10.6977	8.04571e-06	2.124e-05	0	0.00497226	3.14286e-08	5.32857e-06	0.00423879	0.24
11	192	0.182949	10.2804	7.94286e-06	2.128e-05	0	0.00497785	2.57143e-08	5.48571e-06	0.00407804	0.24
11	192	0.183277	10.2804	8.07714e-06	2.136e-05	0	0.00501305	2.85714e-08	5.30857e-06	0.00407825	0.24
