N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	128	16.0814	0	6.06743e-05	0.000249203	0	0.0293715	2.48571e-07	2.77857e-05	2.41429e-06
1	128	16.0853	0	6.07771e-05	0.000249163	0	0.029402	2.48571e-07	2.77257e-05	2.43143e-06
1	128	16.085	0	6.07486e-05	0.000249234	0	0.0293998	2.51429e-07	2.77029e-05	2.43143e-06
1	128	16.0817	0	6.07e-05	0.000249274	0	0.0293739	2.51429e-07	2.77886e-05	2.42286e-06
1	128	16.0849	0	6.07571e-05	0.000249186	0	0.0293987	2.48571e-07	2.77114e-05	2.43714e-06
1	128	16.0816	0	6.07229e-05	0.000249323	0	0.0293727	2.48571e-07	2.77571e-05	2.43429e-06
1	128	16.0818	0	6.06857e-05	0.000249266	0	0.0293743	2.51429e-07	2.77714e-05	2.42286e-06
1	128	16.0856	0	6.07657e-05	0.000249163	0	0.0294045	2.51429e-07	2.77e-05	2.43714e-06
1	128	16.0855	0	6.078e-05	0.000249163	0	0.0294035	2.51429e-07	2.77429e-05	2.42857e-06
1	128	16.0814	0	6.06857e-05	0.0002493	0	0.0293713	2.48571e-07	2.77457e-05	2.42857e-06
2	128	10.1261	10.4895	6.16771e-05	0.000253823	0	0.126877	2.48571e-07	2.816e-05	0.0304472
2	128	10.1262	11.7241	6.17171e-05	0.00025376	0	0.126879	2.45714e-07	2.812e-05	0.0304479
2	128	10.1272	10.4895	6.16714e-05	0.000253491	0	0.126892	2.48571e-07	2.81429e-05	0.0304503
2	128	10.1261	7.91367	6.17771e-05	0.000253931	0	0.126877	2.45714e-07	2.81486e-05	0.0304457
2	128	10.1273	10.4895	6.18686e-05	0.000253574	0	0.126892	2.51429e-07	2.81143e-05	0.0304505
2	128	10.1259	12.9252	6.16657e-05	0.000253731	0	0.126876	2.48571e-07	2.81429e-05	0.0304489
2	128	10.1261	11.7241	6.182e-05	0.000253786	0	0.126876	2.51429e-07	2.81857e-05	0.0304476
2	128	10.1267	7.91367	6.17771e-05	0.000253414	0	0.126887	2.51429e-07	2.81657e-05	0.0304481
