N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	1.96018	0	3.526e-05	0.000110334	0	0.0100197	2.14286e-07	1.72143e-05	2.43143e-06	2.03
1	192	1.96021	0	3.52629e-05	0.00011038	0	0.0100198	2.11429e-07	1.72457e-05	2.44286e-06	2.03
1	192	1.95961	0	3.51657e-05	0.000110311	0	0.0100169	2.14286e-07	1.71857e-05	2.46286e-06	2.04
2	192	1.34755	9.00474	3.71429e-05	0.000110651	0	0.0113674	2.17143e-07	1.79571e-05	0.00245123	1.42
2	192	1.34733	7.24638	3.70914e-05	0.000110574	0	0.0113661	2.17143e-07	1.79743e-05	0.00244975	1.42
2	192	1.34723	5.41872	3.72e-05	0.000110509	0	0.0113665	2.14286e-07	1.79486e-05	0.00244852	1.42
3	192	1.11567	15.7895	3.73057e-05	0.000105774	0	0.0115965	2.11429e-07	1.80343e-05	0.00559827	1.18
3	192	1.1157	15.7895	3.73514e-05	0.000105686	0	0.0115948	2.11429e-07	1.80286e-05	0.00559674	1.19
3	192	1.11513	11.1111	3.73457e-05	0.000105643	0	0.0115938	2.14286e-07	1.80343e-05	0.00559224	1.19
4	192	1.0453	24.4094	4.27371e-05	0.000118249	0	0.0130677	2.11429e-07	2.00914e-05	0.0084153	1.12
4	192	1.04547	23.506	4.278e-05	0.000118317	0	0.0130688	2.08571e-07	2.006e-05	0.00841422	1.12
4	192	1.04564	21.3115	4.28257e-05	0.000118571	0	0.0130686	2.11429e-07	2.01e-05	0.00841301	1.11
5	192	1.05699	29.4118	5.16114e-05	0.000146229	0	0.0155224	2.14286e-07	2.35114e-05	0.0116119	1.13
5	192	1.00645	23.8095	5.14543e-05	0.000139286	0	0.0149335	2.17143e-07	2.34886e-05	0.0109009	1.07
5	192	0.945965	22.5806	5.11029e-05	0.000143117	0	0.0145831	2.11429e-07	2.33914e-05	0.00965176	1.01
6	192	1.18471	39.8119	5.98886e-05	0.000161434	0	0.0176032	2.11429e-07	2.69657e-05	0.0189396	1.26
6	192	1.18425	34.9153	6.00486e-05	0.000161574	0	0.0176062	2.08571e-07	2.68971e-05	0.0189284	1.26
6	192	1.18434	36.2126	6.01e-05	0.000161589	0	0.0176037	2.05714e-07	2.69714e-05	0.0189289	1.26
7	192	1.31404	46.0674	7.14543e-05	0.000201137	0	0.0200607	2.05714e-07	3.17314e-05	0.0265985	1.38
7	192	1.29582	61.523	7.11743e-05	0.000195077	0	0.0203606	2.08571e-07	3.15971e-05	0.0260747	1.37
7	192	1.30662	58.9744	7.08114e-05	0.000189011	0	0.0198805	2.08571e-07	3.15343e-05	0.0263961	1.37
8	192	1.28904	67.6223	8.57686e-05	0.000235677	0	0.0230747	2.11429e-07	3.738e-05	0.0294296	1.37
8	192	1.28613	73.3703	8.55543e-05	0.000235154	0	0.023104	2.11429e-07	3.75686e-05	0.0296089	1.35
8	192	1.32101	44.3478	8.22886e-05	0.000226134	0	0.0234484	2.11429e-07	3.62686e-05	0.0297187	1.39
9	192	1.35584	81.158	8.82486e-05	0.000221586	0	0.0249351	2.02857e-07	3.92114e-05	0.0361682	1.43
9	192	1.29024	49.0716	9.13486e-05	0.000234171	0	0.0258428	2.11429e-07	4.03429e-05	0.0335536	1.36
9	192	1.26583	74.3658	9.234e-05	0.000238674	0	0.0248259	2.14286e-07	4.06314e-05	0.0333554	1.34
10	192	1.35971	52.7094	0.000113134	0.000313283	0	0.0285302	2.17143e-07	4.86857e-05	0.0408009	1.44
10	192	1.39532	84.6523	0.000107937	0.000287297	0	0.0295009	2.14286e-07	4.69571e-05	0.0410274	1.47
10	192	1.43877	79.9163	0.000108551	0.000289029	0	0.0288564	2.08571e-07	4.67971e-05	0.0444029	1.50
11	192	1.55505	87.7785	0.000122854	0.000334709	0	0.0320515	2.08571e-07	5.29543e-05	0.0548225	1.63
11	192	1.61593	89.177	0.000121434	0.000327023	0	0.0310244	2.08571e-07	5.21286e-05	0.0595111	1.70
11	192	1.53847	86.8673	0.000121691	0.000330817	0	0.0313643	2.11429e-07	5.22543e-05	0.0549144	1.61
12	192	1.62198	88.7785	0.00012494	0.000317623	0	0.0348994	2e-07	5.41914e-05	0.0625284	1.69
12	192	1.55216	88.7522	0.000125691	0.000326	0	0.0353762	2.05714e-07	5.42914e-05	0.0597041	1.63
12	192	1.52921	90.6706	0.000127354	0.000336317	0	0.0325777	2.05714e-07	5.464e-05	0.0610875	1.60
