N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	206.02	0	0.00131932	0.00131809	0	0.0469477	6.57143e-07	0.000199471	2.52857e-06	
1	192	206.02	0	0.00131932	0.00131809	0	0.0469477	6.57143e-07	0.000199471	2.52857e-06	
1	192	206.02	0	0.00131932	0.00131809	0	0.0469477	6.57143e-07	0.000199471	2.52857e-06	
1	192	205.94	0	0.0013201	0.00131809	0	0.0464891	6.54286e-07	0.000199391	2.5e-06	
1	192	205.94	0	0.0013201	0.00131809	0	0.0464891	6.54286e-07	0.000199391	2.5e-06	
1	192	205.94	0	0.0013201	0.00131809	0	0.0464891	6.54286e-07	0.000199391	2.5e-06	
1	192	206.01	0	0.00131809	0.00131766	0	0.0468126	6.54286e-07	0.000199397	2.53429e-06	
1	192	206.01	0	0.00131809	0.00131766	0	0.0468126	6.54286e-07	0.000199397	2.53429e-06	
1	192	206.01	0	0.00131809	0.00131766	0	0.0468126	6.54286e-07	0.000199397	2.53429e-06	
1	192	206.01	0	0.00131809	0.00131766	0	0.0468126	6.54286e-07	0.000199397	2.53429e-06	
2	192	118.699	4.9505	0.00133363	0.00133425	5.05143e-06	0.0567962	5.13257e-05	0.000202929	0.0142701	118.82
2	192	118.699	4.9505	0.00133363	0.00133425	5.05143e-06	0.0567962	5.13257e-05	0.000202929	0.0142701	118.82
2	192	118.699	4.9505	0.00133363	0.00133425	5.05143e-06	0.0567962	5.13257e-05	0.000202929	0.0142701	118.82
2	192	118.667	4.9505	0.00133376	0.00133367	5.04286e-06	0.0565085	5.126e-05	0.00020294	0.014226	118.77
2	192	118.667	4.9505	0.00133376	0.00133367	5.04286e-06	0.0565085	5.126e-05	0.00020294	0.014226	118.77
2	192	118.667	4.9505	0.00133376	0.00133367	5.04286e-06	0.0565085	5.126e-05	0.00020294	0.014226	118.77
2	192	118.677	4.9505	0.00133421	0.0013343	5.03143e-06	0.0565919	5.13229e-05	0.000202991	0.0142395	118.78
2	192	118.677	4.9505	0.00133421	0.0013343	5.03143e-06	0.0565919	5.13229e-05	0.000202991	0.0142395	118.78
2	192	118.677	4.9505	0.00133421	0.0013343	5.03143e-06	0.0565919	5.13229e-05	0.000202991	0.0142395	118.78
2	192	118.677	4.9505	0.00133421	0.0013343	5.03143e-06	0.0565919	5.13229e-05	0.000202991	0.0142395	118.78
3	192	96.2006	11.5207	0.00135809	0.00135881	6.35429e-06	0.0599736	6.49429e-05	0.000207094	0.130681	96.31
3	192	96.2006	11.5207	0.00135809	0.00135881	6.35429e-06	0.0599736	6.49429e-05	0.000207094	0.130681	96.31
3	192	96.2006	11.5207	0.00135809	0.00135881	6.35429e-06	0.0599736	6.49429e-05	0.000207094	0.130681	96.31
3	192	96.1897	11.5207	0.00135707	0.00135739	6.35429e-06	0.0598496	6.48629e-05	0.000207017	0.130644	96.30
3	192	96.1897	11.5207	0.00135707	0.00135739	6.35429e-06	0.0598496	6.48629e-05	0.000207017	0.130644	96.30
3	192	96.1897	11.5207	0.00135707	0.00135739	6.35429e-06	0.0598496	6.48629e-05	0.000207017	0.130644	96.30
3	192	96.1843	11.5207	0.00135693	0.00135707	6.35143e-06	0.0597942	6.48629e-05	0.000207314	0.130621	96.28
3	192	96.1843	11.5207	0.00135693	0.00135707	6.35143e-06	0.0597942	6.48629e-05	0.000207314	0.130621	96.28
3	192	96.1843	11.5207	0.00135693	0.00135707	6.35143e-06	0.0597942	6.48629e-05	0.000207314	0.130621	96.28
3	192	96.1843	11.5207	0.00135693	0.00135707	6.35143e-06	0.0597942	6.48629e-05	0.000207314	0.130621	96.28
4	192	80.9193	16.1572	0.00137121	0.00137257	5.28571e-06	0.129329	7.05943e-05	0.000209714	0.0961751	81.04
4	192	80.9193	16.1572	0.00137121	0.00137257	5.28571e-06	0.129329	7.05943e-05	0.000209714	0.0961751	81.04
4	192	80.9193	16.1572	0.00137121	0.00137257	5.28571e-06	0.129329	7.05943e-05	0.000209714	0.0961751	81.04
4	192	80.9063	16.1572	0.0013713	0.00137245	5.29429e-06	0.12917	7.05429e-05	0.000209874	0.0961026	81.01
4	192	80.9063	16.1572	0.0013713	0.00137245	5.29429e-06	0.12917	7.05429e-05	0.000209874	0.0961026	81.01
4	192	80.9063	16.1572	0.0013713	0.00137245	5.29429e-06	0.12917	7.05429e-05	0.000209874	0.0961026	81.01
4	192	80.9174	16.1572	0.00137173	0.00137311	5.27714e-06	0.129301	7.06171e-05	0.000209883	0.0961618	81.02
4	192	80.9174	16.1572	0.00137173	0.00137311	5.27714e-06	0.129301	7.06171e-05	0.000209883	0.0961618	81.02
4	192	80.9174	16.1572	0.00137173	0.00137311	5.27714e-06	0.129301	7.06171e-05	0.000209883	0.0961618	81.02
4	192	80.9174	16.1572	0.00137173	0.00137311	5.27714e-06	0.129301	7.06171e-05	0.000209883	0.0961618	81.02
