N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.90011	0	2.68771e-05	1.39743e-05	0	0.0046043	4.25714e-07	1.46029e-05	2.54e-06
1	192	0.900017	0	2.68857e-05	1.40057e-05	0	0.00460377	4.25714e-07	1.46057e-05	2.52571e-06
1	192	0.900052	0	2.69114e-05	1.40114e-05	0	0.00460388	4.22857e-07	1.46343e-05	2.54286e-06
1	192	0.899962	0	2.68714e-05	1.40057e-05	0	0.00460349	4.28571e-07	1.46171e-05	2.53429e-06
1	192	0.900123	0	2.68571e-05	1.39914e-05	0	0.00460433	4.28571e-07	1.462e-05	2.53714e-06
1	192	0.900137	0	2.68629e-05	1.39857e-05	0	0.00460436	4.22857e-07	1.46314e-05	2.56571e-06
1	192	0.900233	0	2.68857e-05	1.40057e-05	0	0.00460482	4.25714e-07	1.46571e-05	2.54857e-06
1	192	0.90003	0	2.68343e-05	1.40086e-05	0	0.00460385	4.22857e-07	1.46257e-05	2.52571e-06
1	192	0.900183	0	2.68514e-05	1.40229e-05	0	0.00460462	4.31429e-07	1.462e-05	2.52857e-06
1	192	0.899999	0	2.69086e-05	1.40029e-05	0	0.00460362	4.25714e-07	1.46486e-05	2.54571e-06
2	192	0.494841	4	2.85314e-05	1.53543e-05	5.42857e-08	0.00435639	2.31714e-06	1.552e-05	0.000689343
2	192	0.494773	4	2.84886e-05	1.54143e-05	5.42857e-08	0.00435574	2.31429e-06	1.55657e-05	0.000689177
2	192	0.4949	4	2.85514e-05	1.54e-05	5.42857e-08	0.00435705	2.31143e-06	1.55257e-05	0.000689369
2	192	0.494915	4	2.84771e-05	1.53829e-05	5.71429e-08	0.00435715	2.32e-06	1.55543e-05	0.000689314
2	192	0.494909	4	2.84686e-05	1.54086e-05	5.42857e-08	0.00435695	2.32e-06	1.54857e-05	0.000689506
2	192	0.494935	4.47761	2.84829e-05	1.53743e-05	5.42857e-08	0.00435685	2.3e-06	1.55543e-05	0.00068986
2	192	0.494858	4	2.85343e-05	1.53686e-05	5.42857e-08	0.00435666	2.32286e-06	1.54971e-05	0.000689326
2	192	0.494907	4	2.848e-05	1.54086e-05	5.42857e-08	0.00435681	2.31143e-06	1.56029e-05	0.000689511
2	192	0.494876	4	2.84771e-05	1.53743e-05	5.71429e-08	0.00435677	2.31143e-06	1.55314e-05	0.000689457
2	192	0.494823	4	2.84629e-05	1.54e-05	5.42857e-08	0.00435635	2.32e-06	1.55314e-05	0.000689297
3	192	0.354003	6.79612	2.85e-05	1.498e-05	2e-08	0.0040728	2.57143e-06	1.55e-05	0.00131934
3	192	0.353484	7.69231	2.842e-05	1.48914e-05	2e-08	0.0040719	2.62e-06	1.55029e-05	0.00131249
3	192	0.353585	7.24638	2.84e-05	1.48886e-05	2e-08	0.00407329	2.61714e-06	1.55514e-05	0.00131238
3	192	0.353559	7.69231	2.84e-05	1.484e-05	2e-08	0.00407311	2.62e-06	1.552e-05	0.00131257
3	192	0.354128	6.79612	2.85829e-05	1.49571e-05	2e-08	0.00407394	2.57714e-06	1.54914e-05	0.00132007
3	192	0.354037	7.69231	2.84714e-05	1.48914e-05	2e-08	0.00407287	2.56571e-06	1.54714e-05	0.00131962
3	192	0.354137	7.69231	2.85429e-05	1.49057e-05	2e-08	0.00407328	2.62857e-06	1.55657e-05	0.00132055
3	192	0.354115	6.79612	2.854e-05	1.494e-05	2.57143e-08	0.00407348	2.65714e-06	1.55371e-05	0.00131992
3	192	0.353529	7.24638	2.84314e-05	1.48657e-05	2.28571e-08	0.00407295	2.61143e-06	1.54571e-05	0.00131227
3	192	0.353783	7.24638	2.84657e-05	1.49229e-05	2e-08	0.00407195	2.56e-06	1.55086e-05	0.00131689
4	192	0.30381	11.5207	3.16829e-05	1.76086e-05	2.85714e-09	0.00363282	2.89143e-06	1.702e-05	0.002501
4	192	0.340692	11.1111	3.11429e-05	1.71629e-05	5.71429e-09	0.00433472	2.74e-06	1.68943e-05	0.00250658
4	192	0.340638	10.6977	3.11629e-05	1.72686e-05	2.85714e-09	0.00433317	2.76e-06	1.68543e-05	0.00250541
4	192	0.303895	11.5207	3.172e-05	1.764e-05	2.85714e-09	0.00363387	2.87714e-06	1.69743e-05	0.00250164
4	192	0.303849	11.5207	3.17429e-05	1.76771e-05	5.71429e-09	0.00363363	2.89714e-06	1.70057e-05	0.00250133
4	192	0.30385	11.1111	3.17486e-05	1.76914e-05	5.71429e-09	0.00363384	2.88e-06	1.69886e-05	0.00250084
4	192	0.303819	11.5207	3.17514e-05	1.76486e-05	2.85714e-09	0.00363357	2.88857e-06	1.696e-05	0.00250099
4	192	0.303845	11.5207	3.17257e-05	1.76257e-05	2.85714e-09	0.00363411	2.87429e-06	1.69057e-05	0.00250127
4	192	0.30389	11.5207	3.18486e-05	1.77257e-05	8.57143e-09	0.00363445	2.93714e-06	1.69857e-05	0.00250149
4	192	0.303904	10.6977	3.17743e-05	1.768e-05	8.57143e-09	0.00363473	2.92571e-06	1.696e-05	0.00250124
5	192	0.250853	13.5135	3.33257e-05	1.83286e-05	9.14286e-08	0.00376883	3.50286e-06	1.77686e-05	0.00252989
5	192	0.250817	13.5135	3.32457e-05	1.83229e-05	8.28571e-08	0.00376953	3.48571e-06	1.78057e-05	0.00252934
5	192	0.250845	14.2857	3.32457e-05	1.82829e-05	8.28571e-08	0.00376912	3.46571e-06	1.77543e-05	0.00253024
5	192	0.250794	13.5135	3.32457e-05	1.836e-05	8.28571e-08	0.00376925	3.46e-06	1.778e-05	0.00252938
5	192	0.250876	14.2857	3.33257e-05	1.82486e-05	8.28571e-08	0.00376926	3.45429e-06	1.76486e-05	0.00253075
5	192	0.250783	13.5135	3.32829e-05	1.83829e-05	8.85714e-08	0.00376838	3.51714e-06	1.78086e-05	0.0025296
5	192	0.250859	13.9013	3.34e-05	1.82914e-05	9.42857e-08	0.00376902	3.51143e-06	1.77314e-05	0.00252993
5	192	0.250815	13.5135	3.32657e-05	1.83171e-05	8.85714e-08	0.00376895	3.47143e-06	1.76514e-05	0.00252924
5	192	0.250854	13.5135	3.324e-05	1.82743e-05	8.28571e-08	0.00376997	3.47429e-06	1.778e-05	0.00253001
5	192	0.250773	13.1222	3.32514e-05	1.83171e-05	8.28571e-08	0.00376962	3.45429e-06	1.77429e-05	0.00252848
6	192	0.241161	15.7895	3.20971e-05	1.61571e-05	2.34286e-07	0.00468021	3.35714e-06	1.73914e-05	0.00244426
6	192	0.223041	14.6667	3.22714e-05	1.63514e-05	9.42857e-08	0.00408703	3.62857e-06	1.76543e-05	0.00261155
6	192	0.223008	15.4185	3.24e-05	1.63229e-05	8.85714e-08	0.00408697	3.50857e-06	1.768e-05	0.00261107
6	192	0.223071	15.0442	3.22686e-05	1.63514e-05	8.28571e-08	0.00408744	3.56286e-06	1.776e-05	0.00261217
6	192	0.222833	17.5966	3.24114e-05	1.64143e-05	8.85714e-08	0.00409798	3.59714e-06	1.77743e-05	0.00259553
6	192	0.22304	15.4185	3.21686e-05	1.63114e-05	8.28571e-08	0.00408647	3.52286e-06	1.762e-05	0.00261189
6	192	0.223027	15.4185	3.20914e-05	1.62257e-05	9.14286e-08	0.00408586	3.50571e-06	1.774e-05	0.00261165
6	192	0.223017	15.0442	3.22371e-05	1.63514e-05	8.57143e-08	0.00408599	3.53429e-06	1.77514e-05	0.00261196
6	192	0.222867	17.2414	3.23886e-05	1.63486e-05	9.14286e-08	0.00409952	3.64857e-06	1.77429e-05	0.00259529
6	192	0.223042	15.0442	3.224e-05	1.63486e-05	8.57143e-08	0.00408704	3.59143e-06	1.75457e-05	0.00261165
