N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.891781	0	1.12171e-05	1.16743e-05	0	0.00459373	9.71429e-08	9.84286e-06	1.26857e-06	0.96
1	192	0.891833	0	1.12171e-05	1.17057e-05	0	0.004594	9.71429e-08	9.82286e-06	1.26571e-06	0.94
1	192	0.891624	0	1.12086e-05	1.17029e-05	0	0.00459293	9.71429e-08	9.83143e-06	1.25714e-06	0.93
1	192	0.891745	0	1.11943e-05	1.16857e-05	0	0.00459358	9.71429e-08	9.82857e-06	1.25429e-06	0.94
1	192	0.891834	0	1.12429e-05	1.16829e-05	0	0.00459397	9.71429e-08	9.84e-06	1.27143e-06	0.94
1	192	0.891807	0	1.12171e-05	1.16686e-05	0	0.0045939	9.71429e-08	9.82857e-06	1.25143e-06	0.94
1	192	0.89185	0	1.12286e-05	1.16971e-05	0	0.00459408	9.71429e-08	9.83429e-06	1.24571e-06	0.94
1	192	0.891761	0	1.122e-05	1.16743e-05	0	0.00459367	1e-07	9.81429e-06	1.25143e-06	0.94
1	192	0.891805	0	1.11943e-05	1.17029e-05	0	0.00459389	9.71429e-08	9.82286e-06	1.26286e-06	0.94
1	192	0.891792	0	1.122e-05	1.16971e-05	0	0.00459381	9.42857e-08	9.8e-06	1.27143e-06	0.94
2	192	0.493304	2.53807	1.43286e-05	1.49514e-05	5.14286e-08	0.0043099	1.41429e-06	1.10343e-05	0.00073122	0.57
2	192	0.493384	2.53807	1.43229e-05	1.49171e-05	5.14286e-08	0.00431066	1.40571e-06	1.10343e-05	0.000731297	0.54
2	192	0.493335	2.53807	1.43371e-05	1.49571e-05	4.85714e-08	0.00431027	1.40857e-06	1.10171e-05	0.00073128	0.54
2	192	0.49337	2.53807	1.432e-05	1.49343e-05	4.85714e-08	0.00431041	1.41143e-06	1.10343e-05	0.000731314	0.55
2	192	0.493357	2.53807	1.438e-05	1.49343e-05	4.85714e-08	0.00431063	1.40286e-06	1.10314e-05	0.000731186	0.54
2	192	0.493357	2.53807	1.43314e-05	1.492e-05	4.85714e-08	0.00431048	1.31714e-06	1.10286e-05	0.000731174	0.54
2	192	0.493369	2.53807	1.43486e-05	1.49571e-05	5.14286e-08	0.00431055	1.41429e-06	1.10343e-05	0.00073114	0.54
2	192	0.493366	2.53807	1.42829e-05	1.49286e-05	4.85714e-08	0.00431029	1.40571e-06	1.102e-05	0.000731249	0.54
2	192	0.493404	2.53807	1.436e-05	1.48714e-05	5.14286e-08	0.00431095	1.31143e-06	1.102e-05	0.000731374	0.54
2	192	0.493296	2.53807	1.43686e-05	1.49286e-05	4.85714e-08	0.00431025	1.30286e-06	1.10286e-05	0.000731183	0.54
3	192	0.365657	4.9505	1.26114e-05	1.32086e-05	0	0.00433191	1.66571e-06	1.08371e-05	0.00114667	0.44
3	192	0.365581	4.9505	1.264e-05	1.32457e-05	0	0.00433099	1.65429e-06	1.084e-05	0.00114644	0.42
3	192	0.365597	4.9505	1.26286e-05	1.32943e-05	0	0.00433096	1.66857e-06	1.08543e-05	0.00114632	0.42
3	192	0.36553	4.9505	1.26629e-05	1.32057e-05	0	0.00433081	1.66286e-06	1.08286e-05	0.00114624	0.42
3	192	0.365603	4.9505	1.25971e-05	1.31914e-05	0	0.00433117	1.67714e-06	1.08514e-05	0.00114646	0.42
3	192	0.365577	4.9505	1.26629e-05	1.32171e-05	0	0.0043309	1.65429e-06	1.08229e-05	0.00114626	0.42
3	192	0.36566	4.9505	1.26543e-05	1.322e-05	0	0.00433193	1.66e-06	1.08829e-05	0.00114645	0.42
3	192	0.36561	4.9505	1.26114e-05	1.32343e-05	0	0.00433107	1.66e-06	1.088e-05	0.00114626	0.42
3	192	0.365589	4.9505	1.26371e-05	1.32029e-05	0	0.0043311	1.66571e-06	1.08314e-05	0.00114641	0.42
3	192	0.365602	4.9505	1.26771e-05	1.32057e-05	0	0.0043316	1.67143e-06	1.08543e-05	0.00114643	0.42
4	192	0.29613	4.47761	1.37257e-05	1.436e-05	2.17143e-07	0.00391867	2.46571e-06	1.13029e-05	0.00178346	0.37
4	192	0.296155	4.47761	1.37143e-05	1.43829e-05	2.17143e-07	0.00391894	2.48571e-06	1.13629e-05	0.00178349	0.34
4	192	0.296227	4.47761	1.376e-05	1.43771e-05	2.11429e-07	0.0039198	2.48571e-06	1.13686e-05	0.00178367	0.34
4	192	0.29613	4.47761	1.37771e-05	1.43514e-05	2.17143e-07	0.00391914	2.47143e-06	1.13714e-05	0.00178341	0.35
4	192	0.296169	4.47761	1.37429e-05	1.43257e-05	2.2e-07	0.00391921	2.46857e-06	1.13286e-05	0.00178343	0.34
4	192	0.296055	4.47761	1.374e-05	1.43657e-05	2.11429e-07	0.00391798	2.47714e-06	1.13257e-05	0.00178323	0.34
4	192	0.296192	4.47761	1.37943e-05	1.43286e-05	2.22857e-07	0.00391883	2.46571e-06	1.13743e-05	0.00178353	0.35
4	192	0.296135	4.47761	1.37886e-05	1.43543e-05	2.17143e-07	0.00391879	2.46857e-06	1.13629e-05	0.0017835	0.35
4	192	0.296168	4.47761	1.37543e-05	1.43743e-05	2.11429e-07	0.00391891	2.47143e-06	1.136e-05	0.00178349	0.34
4	192	0.296199	4.47761	1.37371e-05	1.43857e-05	2.11429e-07	0.00391961	2.47143e-06	1.138e-05	0.00178377	0.35
5	192	0.245351	7.69231	1.45e-05	1.52086e-05	1.74286e-07	0.00358813	2.31143e-06	1.186e-05	0.00248937	0.32
5	192	0.247517	7.69231	1.44229e-05	1.51629e-05	1.71429e-07	0.00368685	2.57429e-06	1.18657e-05	0.00248869	0.29
5	192	0.247534	7.69231	1.444e-05	1.51257e-05	1.68571e-07	0.00368671	2.54857e-06	1.16914e-05	0.00248913	0.29
5	192	0.247543	7.69231	1.44514e-05	1.51457e-05	1.71429e-07	0.00368655	2.53429e-06	1.17771e-05	0.0024894	0.29
5	192	0.247523	7.69231	1.45286e-05	1.51543e-05	1.74286e-07	0.0036872	2.52286e-06	1.17629e-05	0.00248921	0.29
