N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.295952	0	2.694e-05	1.40657e-05	0	0.00146553	4.28571e-07	1.47314e-05	2.53429e-06	0.36
1	192	0.295862	0	2.69886e-05	1.40343e-05	0	0.00146503	4.2e-07	1.47629e-05	2.54286e-06	0.35
1	192	0.295847	0	2.69543e-05	1.40657e-05	0	0.00146494	4.25714e-07	1.47514e-05	2.51429e-06	0.35
1	192	0.295876	0	2.69943e-05	1.41086e-05	0	0.00146503	4.31429e-07	1.474e-05	2.53714e-06	0.35
1	192	0.295915	0	2.69857e-05	1.40743e-05	0	0.00146527	4.25714e-07	1.47286e-05	2.53429e-06	0.34
1	192	0.29585	0	2.69743e-05	1.40714e-05	0	0.00146498	4.28571e-07	1.47229e-05	2.52857e-06	0.35
1	192	0.295896	0	2.70029e-05	1.40771e-05	0	0.00146513	4.28571e-07	1.47429e-05	2.54286e-06	0.34
1	192	0.295887	0	2.69743e-05	1.41057e-05	0	0.00146511	4.22857e-07	1.47429e-05	2.54e-06	0.35
1	192	0.295889	0	2.69971e-05	1.40971e-05	0	0.00146512	4.28571e-07	1.47371e-05	2.54286e-06	0.35
1	192	0.295866	0	2.69943e-05	1.40486e-05	0	0.00146501	4.22857e-07	1.47571e-05	2.54e-06	0.35
2	192	0.160696	4.9505	2.86771e-05	1.51971e-05	1.14286e-08	0.00137025	2.43714e-06	1.58114e-05	0.00021116	0.23
2	192	0.160667	4.47761	2.87486e-05	1.51571e-05	1.71429e-08	0.00137017	2.44571e-06	1.582e-05	0.000210851	0.21
2	192	0.160666	4.47761	2.87286e-05	1.51543e-05	1.71429e-08	0.00137008	2.42857e-06	1.58514e-05	0.00021098	0.21
2	192	0.160623	4	2.88229e-05	1.51571e-05	2e-08	0.00137001	2.48857e-06	1.58229e-05	0.000210511	0.21
2	192	0.160665	4.47761	2.87171e-05	1.51429e-05	1.42857e-08	0.00137011	2.44571e-06	1.58429e-05	0.00021098	0.21
2	192	0.160712	4.47761	2.872e-05	1.51971e-05	1.42857e-08	0.00137054	2.43714e-06	1.58e-05	0.000210946	0.20
2	192	0.160686	4.9505	2.86829e-05	1.51914e-05	8.57143e-09	0.00137017	2.40571e-06	1.58286e-05	0.00021112	0.21
2	192	0.160725	4.9505	2.86343e-05	1.51257e-05	8.57143e-09	0.00137066	2.39429e-06	1.58143e-05	0.00021124	0.21
2	192	0.160684	4.9505	2.86714e-05	1.51943e-05	8.57143e-09	0.00137	2.42857e-06	1.58086e-05	0.00021124	0.21
2	192	0.16068	4.47761	2.87e-05	1.51571e-05	1.71429e-08	0.00137034	2.44857e-06	1.58143e-05	0.000210911	0.21
3	192	0.136793	9.43396	3.06143e-05	1.59343e-05	0	0.0015231	2.47714e-06	1.66286e-05	0.000499586	0.20
3	192	0.136778	9.43396	3.06143e-05	1.598e-05	0	0.00152286	2.44857e-06	1.66571e-05	0.000499366	0.19
3	192	0.136783	9.43396	3.058e-05	1.598e-05	5.71429e-09	0.00152293	2.50286e-06	1.66571e-05	0.000499363	0.19
3	192	0.136785	9.43396	3.05857e-05	1.59886e-05	0	0.00152325	2.44286e-06	1.66543e-05	0.000499249	0.19
3	192	0.136744	9.43396	3.06143e-05	1.59543e-05	0	0.00152302	2.44e-06	1.66371e-05	0.000498811	0.19
3	192	0.136806	9.85915	3.06257e-05	1.59686e-05	0	0.00152341	2.45429e-06	1.66686e-05	0.00049922	0.19
3	192	0.136758	9.00474	3.06e-05	1.59571e-05	5.71429e-09	0.00152285	2.44571e-06	1.66914e-05	0.00049892	0.19
3	192	0.136766	9.85915	3.06114e-05	1.59543e-05	0	0.00152313	2.45143e-06	1.67029e-05	0.000498974	0.19
3	192	0.136766	9.43396	3.05714e-05	1.59886e-05	0	0.00152279	2.44e-06	1.66514e-05	0.000499317	0.19
3	192	0.136784	9.85915	3.06229e-05	1.58943e-05	0	0.00152307	2.45714e-06	1.66314e-05	0.000499437	0.19
4	192	0.119642	14.2857	3.69343e-05	2.02314e-05	5.71429e-09	0.00146349	2.83429e-06	2.04686e-05	0.000889226	0.19
4	192	0.119648	13.9013	3.70743e-05	2.03057e-05	2e-08	0.00146343	2.98857e-06	2.048e-05	0.000889103	0.16
4	192	0.11965	14.6667	3.698e-05	2.02886e-05	1.14286e-08	0.00146371	2.89143e-06	2.04571e-05	0.000889203	0.17
4	192	0.119667	13.9013	3.68857e-05	2.03657e-05	5.71429e-09	0.00146362	2.89143e-06	2.04114e-05	0.000889394	0.16
4	192	0.119582	13.1222	3.69886e-05	2.03314e-05	1.42857e-08	0.0014634	2.90571e-06	2.04171e-05	0.000888211	0.17
4	192	0.119646	13.9013	3.69143e-05	2.02886e-05	5.71429e-09	0.00146334	2.83714e-06	2.04943e-05	0.000889434	0.16
4	192	0.119619	13.9013	3.68486e-05	2.02714e-05	5.71429e-09	0.00146329	2.85714e-06	2.04829e-05	0.000888991	0.17
4	192	0.119612	13.9013	3.69857e-05	2.032e-05	1.14286e-08	0.00146319	2.90286e-06	2.03857e-05	0.000888826	0.17
4	192	0.119677	15.0442	3.69371e-05	2.03371e-05	5.71429e-09	0.00146401	2.86286e-06	2.03486e-05	0.000889477	0.16
4	192	0.119678	15.0442	3.68857e-05	2.032e-05	5.71429e-09	0.00146354	2.84857e-06	2.04286e-05	0.00088992	0.17
5	192	0.124203	15.7895	4.20857e-05	2.26514e-05	1.08571e-07	0.00192229	4.39143e-06	2.39714e-05	0.001095	0.20
5	192	0.124292	15.0442	4.19486e-05	2.26886e-05	1e-07	0.00192289	4.37429e-06	2.40143e-05	0.00109576	0.18
5	192	0.124301	14.6667	4.20971e-05	2.27743e-05	1.05714e-07	0.00192315	4.32e-06	2.39743e-05	0.00109551	0.18
5	192	0.124277	14.2857	4.19771e-05	2.27686e-05	1.02857e-07	0.00192318	4.40857e-06	2.40571e-05	0.0010949	0.18
5	192	0.124268	13.9013	4.20886e-05	2.26914e-05	1e-07	0.00192273	4.5e-06	2.39657e-05	0.00109496	0.18
5	192	0.124281	14.6667	4.194e-05	2.27771e-05	1.02857e-07	0.00192324	4.46e-06	2.40314e-05	0.00109566	0.18
5	192	0.124167	15.0442	4.21229e-05	2.268e-05	1.17143e-07	0.00192233	4.47429e-06	2.40143e-05	0.00109421	0.18
5	192	0.111639	15.4185	4.35543e-05	2.366e-05	1.08571e-07	0.00171836	4.36286e-06	2.46314e-05	0.00102002	0.16
5	192	0.12426	14.2857	4.20457e-05	2.26914e-05	1.08571e-07	0.00192308	4.48286e-06	2.40343e-05	0.00109486	0.18
5	192	0.124315	15.0442	4.20686e-05	2.27429e-05	1.02857e-07	0.00192291	4.36857e-06	2.406e-05	0.00109599	0.18
6	192	0.119033	16.5217	4.89829e-05	2.562e-05	3.51429e-07	0.00233489	4.76571e-06	2.81657e-05	0.00112032	0.19
6	192	0.119087	17.2414	4.93771e-05	2.56429e-05	3.68571e-07	0.00233341	4.50286e-06	2.82314e-05	0.00112259	0.17
6	192	0.119202	18.9873	4.924e-05	2.55771e-05	3.77143e-07	0.00233559	4.61714e-06	2.80686e-05	0.00112525	0.17
6	192	0.119056	17.2414	4.89771e-05	2.56171e-05	3.45714e-07	0.00233357	4.49714e-06	2.814e-05	0.0011221	0.16
6	192	0.119084	17.2414	4.93e-05	2.55457e-05	3.68571e-07	0.00233407	4.56e-06	2.816e-05	0.00112203	0.17
6	192	0.119103	17.2414	4.95514e-05	2.57257e-05	3.88571e-07	0.00233459	4.74571e-06	2.82286e-05	0.00112243	0.17
6	192	0.119037	16.8831	4.92543e-05	2.56514e-05	3.74286e-07	0.00233268	4.49143e-06	2.82143e-05	0.00112219	0.17
6	192	0.11904	16.8831	4.92543e-05	2.56343e-05	3.74286e-07	0.00233456	4.72e-06	2.81743e-05	0.0011209	0.17
6	192	0.119066	16.8831	4.95371e-05	2.56314e-05	3.62857e-07	0.00233445	4.56857e-06	2.81286e-05	0.00112171	0.17
6	192	0.119028	16.8831	4.91571e-05	2.55971e-05	3.6e-07	0.00233388	4.68e-06	2.81943e-05	0.00112084	0.17
7	192	0.127415	22.8916	5.83314e-05	3.13057e-05	2.25714e-07	0.00257575	5.77714e-06	3.44771e-05	0.00180438	0.21
7	192	0.12742	23.2	5.85714e-05	3.13257e-05	2.22857e-07	0.00257567	5.74e-06	3.42857e-05	0.00180437	0.17
7	192	0.127372	21.6327	5.84371e-05	3.13314e-05	2.4e-07	0.00257359	5.61714e-06	3.43543e-05	0.00180453	0.18
7	192	0.127417	22.2672	5.82886e-05	3.13114e-05	2.17143e-07	0.00257459	5.47143e-06	3.43771e-05	0.00180509	0.18
7	192	0.12745	22.5806	5.83771e-05	3.13943e-05	2.05714e-07	0.00257416	5.53714e-06	3.444e-05	0.00180632	0.18
7	192	0.127421	23.2	5.82714e-05	3.11971e-05	2.4e-07	0.00257549	5.50857e-06	3.43857e-05	0.00180475	0.17
7	192	0.127431	22.8916	5.84114e-05	3.12857e-05	2.2e-07	0.0025736	5.42857e-06	3.43457e-05	0.00180656	0.17
7	192	0.127316	20.9877	5.848e-05	3.13029e-05	2.17143e-07	0.00257386	5.44857e-06	3.43629e-05	0.00180245	0.17
7	192	0.127425	23.506	5.82943e-05	3.12514e-05	2.11429e-07	0.00257613	5.61714e-06	3.43914e-05	0.00180455	0.18
7	192	0.127468	24.7059	5.85371e-05	3.13257e-05	2.22857e-07	0.002575	5.61143e-06	3.44257e-05	0.00180646	0.18
8	192	0.144412	28.3582	6.77257e-05	3.66286e-05	1.91429e-07	0.00313663	6.73714e-06	4.00457e-05	0.00259444	0.22
8	192	0.144533	29.4118	6.75571e-05	3.66057e-05	1.91429e-07	0.00313988	6.63714e-06	4.00086e-05	0.0025972	0.20
8	192	0.144392	27.8195	6.79171e-05	3.66457e-05	2.25714e-07	0.00313592	7.03429e-06	3.99314e-05	0.00259347	0.19
8	192	0.136193	29.927	6.82543e-05	3.66429e-05	1.48571e-07	0.00270091	6.36e-06	3.93286e-05	0.00265016	0.19
