N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	128	16.1133	0	0.000233509	0.000224166	0	0.0294076	6.65714e-07	9.25543e-05	2.56857e-06
1	128	16.1121	0	0.000233369	0.00022428	0	0.0293978	6.62857e-07	9.254e-05	2.50571e-06
1	128	16.1133	0	0.000233566	0.000223997	0	0.0294077	6.74286e-07	9.26086e-05	2.52e-06
1	128	16.1122	0	0.000233497	0.00022428	0	0.0293985	6.65714e-07	9.25029e-05	2.52571e-06
1	128	16.1118	0	0.000233334	0.000224374	0	0.0293958	6.74286e-07	9.24771e-05	2.52286e-06
1	128	16.1129	0	0.000233286	0.000224497	0	0.0294045	6.65714e-07	9.24029e-05	2.54571e-06
1	128	16.1121	0	0.000233369	0.000224289	0	0.0293985	6.62857e-07	9.25286e-05	2.53714e-06
1	128	16.1138	0	0.000233663	0.000224023	0	0.0294109	6.71429e-07	9.25771e-05	2.54857e-06
1	128	16.1119	0	0.000233311	0.0002243	0	0.0293964	6.8e-07	9.25714e-05	2.54e-06
1	128	16.1119	0	0.000233294	0.000224303	0	0.0293965	6.62857e-07	9.24543e-05	2.54286e-06
2	128	10.1422	7.91367	0.000236166	0.000227206	2.57714e-06	0.126884	1.742e-05	9.38143e-05	0.0304562
2	128	10.1425	7.91367	0.000236134	0.000227166	2.56e-06	0.126888	1.74114e-05	9.374e-05	0.0304559
2	128	10.1439	7.91367	0.000236283	0.000227097	2.58286e-06	0.126908	1.74057e-05	9.384e-05	0.0304602
2	128	10.1434	7.91367	0.000236354	0.000226891	2.57714e-06	0.126901	1.73629e-05	9.38714e-05	0.0304589
2	128	10.143	7.91367	0.000236231	0.000227023	2.56857e-06	0.126897	1.742e-05	9.38514e-05	0.0304589
2	128	10.1431	7.91367	0.000236209	0.000226971	2.58286e-06	0.126898	1.73514e-05	9.378e-05	0.0304583
2	128	10.142	7.91367	0.000235994	0.000227034	2.56857e-06	0.126884	1.74571e-05	9.38829e-05	0.0304555
2	128	10.1431	7.91367	0.000236326	0.000226969	2.56857e-06	0.126897	1.73714e-05	9.38486e-05	0.0304579
2	128	10.1419	7.91367	0.000236174	0.00022706	2.58571e-06	0.126882	1.74657e-05	9.37914e-05	0.0304552
2	128	10.1432	7.91367	0.00023628	0.000226986	2.58857e-06	0.126899	1.738e-05	9.38571e-05	0.0304596
3	128	7.86387	12.9252	0.0002263	0.000216791	2.74571e-06	0.127503	2.09771e-05	9.05543e-05	0.0541198
3	128	7.86453	12.9252	0.000226209	0.000216943	2.74e-06	0.127516	2.10229e-05	9.05086e-05	0.0541271
3	128	7.86318	12.9252	0.000226297	0.000216674	2.74857e-06	0.12749	2.108e-05	9.05686e-05	0.054117
3	128	7.86478	12.9252	0.000226237	0.000216786	2.74286e-06	0.127518	2.10257e-05	9.05514e-05	0.054127
3	128	7.8635	12.9252	0.000226469	0.000216791	2.74286e-06	0.127496	2.10343e-05	9.05314e-05	0.0541185
3	128	7.86468	12.9252	0.000226346	0.00021672	2.72286e-06	0.127515	2.102e-05	9.05543e-05	0.054126
3	128	7.86445	12.9252	0.000226311	0.000216623	2.79714e-06	0.127515	2.106e-05	9.05229e-05	0.0541267
3	128	7.86403	12.9252	0.000226429	0.000216677	2.76857e-06	0.127507	2.10314e-05	9.06057e-05	0.0541228
3	128	7.86443	12.9252	0.000226211	0.000216486	2.78571e-06	0.127513	2.10571e-05	9.052e-05	0.054126
