N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	56.658	0	0.000232623	0.000398734	0	0.0385456	6.25714e-07	9.74657e-05	2.49429e-06	56.73
1	192	56.6586	0	0.000232531	0.000398863	0	0.0385487	6.42857e-07	9.74914e-05	2.5e-06	56.73
1	192	56.6563	0	0.000232543	0.000398837	0	0.0385369	6.4e-07	9.74429e-05	2.48857e-06	56.74
2	192	33.3294	4.47761	0.000244597	0.000420663	3.66857e-06	0.0505542	1.98e-05	0.000103777	0.0380672	33.42
2	192	33.3299	4.47761	0.000244623	0.000420763	3.65429e-06	0.0505594	1.98286e-05	0.00010374	0.0380669	33.41
2	192	33.3293	4.47761	0.000244674	0.00042064	3.65143e-06	0.0505579	1.98086e-05	0.000103797	0.0380664	33.41
3	192	27.644	10.6977	0.000255214	0.000449097	4.98286e-06	0.131329	2.56257e-05	0.00011196	0.103496	27.73
3	192	27.6439	10.6977	0.00025526	0.000449114	4.98286e-06	0.131331	2.56257e-05	0.000111977	0.103491	27.72
3	192	27.6433	10.6977	0.000255134	0.000449117	4.98571e-06	0.131315	2.56314e-05	0.000111946	0.103494	27.73
4	192	24.5742	13.9013	0.000285891	0.000511983	4.39714e-06	0.0929722	2.78257e-05	0.000125934	0.129305	24.68
4	192	24.5837	13.5135	0.000285966	0.000512489	4.37714e-06	0.0930418	2.78571e-05	0.000125946	0.12932	24.66
4	192	24.9179	14.2857	0.000285646	0.000511289	4.99143e-06	0.0929858	2.87314e-05	0.000125749	0.134951	25.00
5	192	24.2069	18.6441	0.000326097	0.000593489	3.51143e-06	0.13599	3.36257e-05	0.000147431	0.147636	24.30
5	192	23.2693	17.9487	0.000325509	0.000593363	4.18e-06	0.0715545	3.37171e-05	0.000147351	0.195691	23.36
5	192	24.1644	18.2979	0.00032854	0.000598943	3.61714e-06	0.135507	3.29857e-05	0.000148086	0.21183	24.25
6	192	22.8531	20.6612	0.000394977	0.000729629	5.18857e-06	0.12901	3.83657e-05	0.0001786	0.235058	22.96
6	192	22.8517	20.6612	0.000395851	0.000731217	5.19429e-06	0.129004	3.84229e-05	0.000178714	0.23508	22.94
6	192	22.8533	20.6612	0.000395571	0.0007305	5.18571e-06	0.128991	3.83886e-05	0.00017856	0.235061	22.94
7	192	28.7264	28.3582	0.0004595	0.000855729	4.81143e-06	0.130189	4.31886e-05	0.00020998	0.345509	28.81
7	192	28.0887	27.2727	0.000456766	0.000853197	3.70286e-06	0.19541	4.16029e-05	0.000210426	0.220231	28.18
7	192	28.4135	27.8195	0.000456	0.000855826	4.10857e-06	0.259409	4.24571e-05	0.000211509	0.262654	28.50
8	192	32.4636	34.2466	0.000500906	0.000958283	7.14e-06	0.323872	4.68629e-05	0.000241711	0.256731	32.56
8	192	30.1403	31.4286	0.000510794	0.000968826	4.41143e-06	0.198522	4.59086e-05	0.00023994	0.314806	30.23
8	192	28.9276	30.1818	0.000506103	0.000959851	6.24e-06	0.260705	4.74086e-05	0.000238917	0.159477	29.02
9	192	28.8027	33.564	0.000593586	0.00111922	5.59143e-06	0.33019	5.49086e-05	0.000275194	0.300003	28.94
9	192	28.8039	33.101	0.000593609	0.00111895	5.54857e-06	0.330205	5.49971e-05	0.00027492	0.299975	28.90
9	192	28.8038	33.101	0.000593494	0.00111949	5.56857e-06	0.330173	5.486e-05	0.000274874	0.299989	28.90
10	192	28.994	34.471	0.000642937	0.00122593	4.71429e-06	0.271098	5.89171e-05	0.000301549	0.270377	29.09
10	192	28.9943	34.471	0.000642909	0.00122632	4.69714e-06	0.271099	5.89829e-05	0.000301497	0.270372	29.09
10	192	28.9954	34.471	0.000643254	0.00122592	4.66857e-06	0.271104	5.88486e-05	0.000301746	0.270364	29.09
11	192	30.2801	37.4593	0.000717983	0.00137404	6.27143e-06	0.336595	6.53371e-05	0.000339549	0.449545	30.37
11	192	30.7344	38.6581	0.00071068	0.00136029	5.49429e-06	0.401767	6.38857e-05	0.000337491	0.425576	30.84
11	192	29.6046	37.8641	0.000711391	0.00136251	6.20571e-06	0.33983	6.37971e-05	0.000338294	0.40565	29.71
12	192	28.3805	47.1074	0.000785334	0.00149921	5.59143e-06	0.270772	7.04686e-05	0.00036812	0.483249	28.52
12	192	29.6849	42.8571	0.000785646	0.00149643	5.56e-06	0.398936	7.00229e-05	0.000366203	0.454645	29.80
12	192	28.3806	47.3973	0.000785109	0.00149844	5.60286e-06	0.270753	7.08971e-05	0.00036796	0.483277	28.48
