N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.897444	0	2.04771e-05	1.33057e-05	0	0.00460404	4.05714e-07	8.12857e-06	2.51429e-06
1	192	0.897418	0	2.04857e-05	1.32857e-05	0	0.00460389	4.08571e-07	8.11429e-06	2.50286e-06
1	192	0.897372	0	2.04943e-05	1.32743e-05	0	0.00460368	4.11429e-07	8.1e-06	2.5e-06
1	192	0.897455	0	2.04829e-05	1.328e-05	0	0.00460411	4.2e-07	8.11429e-06	2.48571e-06
1	192	0.897586	0	2.04971e-05	1.32971e-05	0	0.00460475	4.14286e-07	8.10571e-06	2.50857e-06
1	192	0.89752	0	2.04857e-05	1.32971e-05	0	0.00460445	4.08571e-07	8.09714e-06	2.51143e-06
1	192	0.897365	0	2.04743e-05	1.32743e-05	0	0.00460366	4.17143e-07	8.09143e-06	2.50571e-06
1	192	0.897483	0	2.05171e-05	1.32857e-05	0	0.00460424	4.14286e-07	8.07429e-06	2.49143e-06
1	192	0.897355	0	2.04771e-05	1.32657e-05	0	0.00460363	4.14286e-07	8.08571e-06	2.48857e-06
1	192	0.89772	0	2.04857e-05	1.33143e-05	0	0.00460551	4.17143e-07	8.07143e-06	2.49714e-06
2	192	0.494251	2.53807	2.13914e-05	1.42543e-05	6.28571e-08	0.00436834	1.52286e-06	8.54e-06	0.000688106
2	192	0.494602	3.51759	2.13857e-05	1.42514e-05	6.57143e-08	0.00437076	1.51714e-06	8.57143e-06	0.000688494
2	192	0.494275	2.53807	2.14114e-05	1.42886e-05	6e-08	0.00436801	1.51429e-06	8.55143e-06	0.000687966
2	192	0.494715	3.0303	2.13943e-05	1.42771e-05	6.28571e-08	0.00437182	1.51143e-06	8.55143e-06	0.000688697
2	192	0.494583	3.0303	2.14029e-05	1.42771e-05	6.28571e-08	0.00437076	1.50571e-06	8.54857e-06	0.000688257
2	192	0.49474	3.51759	2.14e-05	1.42971e-05	6e-08	0.00437211	1.50857e-06	8.55429e-06	0.000688583
2	192	0.494291	2.53807	2.13829e-05	1.42771e-05	6.28571e-08	0.00436828	1.50571e-06	8.54571e-06	0.000688009
2	192	0.494659	3.51759	2.14e-05	1.42886e-05	6.28571e-08	0.00437108	1.51714e-06	8.58857e-06	0.000688623
2	192	0.494713	4.47761	2.13486e-05	1.42543e-05	6.57143e-08	0.00437173	1.52286e-06	8.56857e-06	0.000688677
2	192	0.49465	3.0303	2.13829e-05	1.42343e-05	6.28571e-08	0.00437147	1.50286e-06	8.55714e-06	0.000688371
3	192	0.35273	7.24638	2.17286e-05	1.41429e-05	2e-08	0.00407241	1.79143e-06	8.63714e-06	0.00131501
3	192	0.352722	7.69231	2.17286e-05	1.41257e-05	2e-08	0.00407222	1.77143e-06	8.64857e-06	0.00131528
3	192	0.352805	8.13397	2.17143e-05	1.41657e-05	2e-08	0.00407286	1.77429e-06	8.62857e-06	0.00131571
3	192	0.352783	7.69231	2.17286e-05	1.41657e-05	2e-08	0.00407284	1.76857e-06	8.61143e-06	0.00131558
3	192	0.352741	7.24638	2.17114e-05	1.41229e-05	2e-08	0.00407281	1.75714e-06	8.60571e-06	0.00131515
3	192	0.352812	7.69231	2.17943e-05	1.41286e-05	2e-08	0.00407323	1.76e-06	8.61714e-06	0.00131553
3	192	0.35276	7.24638	2.17086e-05	1.41114e-05	2e-08	0.00407282	1.76857e-06	8.65429e-06	0.00131524
