N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.889662	0	6.27429e-06	1.01029e-05	0	0.00459419	9.71429e-08	4.88e-06	1.24286e-06	0.96
1	192	0.889701	0	6.28571e-06	1.01e-05	0	0.00459441	9.71429e-08	4.85714e-06	1.26e-06	0.94
1	192	0.889581	0	6.3e-06	1.01057e-05	0	0.00459376	9.14286e-08	4.86857e-06	1.24571e-06	0.93
1	192	0.889597	0	6.29714e-06	1.01e-05	0	0.00459384	9.42857e-08	4.88571e-06	1.24571e-06	0.93
1	192	0.88952	0	6.29714e-06	1.01114e-05	0	0.00459343	9.14286e-08	4.88e-06	1.24857e-06	0.93
1	192	0.889572	0	6.27143e-06	1.00857e-05	0	0.00459377	9.14286e-08	4.86286e-06	1.24857e-06	0.93
1	192	0.889523	0	6.29143e-06	1.012e-05	0	0.00459345	9.14286e-08	4.87714e-06	1.25429e-06	0.93
1	192	0.889579	0	6.27143e-06	1.01e-05	0	0.00459379	9.42857e-08	4.87143e-06	1.23714e-06	0.93
1	192	0.889609	0	6.29429e-06	1.01e-05	0	0.00459392	9.71429e-08	4.87714e-06	1.23143e-06	0.93
1	192	0.889645	0	6.3e-06	1.01143e-05	0	0.00459407	9.42857e-08	4.88286e-06	1.24e-06	0.93
2	192	0.491634	2.53807	7.16571e-06	1.17543e-05	5.71429e-08	0.00431091	9.02857e-07	5.43143e-06	0.000731206	0.56
2	192	0.491607	2.53807	7.17143e-06	1.17457e-05	5.71429e-08	0.0043107	9e-07	5.42e-06	0.000731214	0.54
2	192	0.491611	2.53807	7.15429e-06	1.17571e-05	5.42857e-08	0.00431078	9.11429e-07	5.42e-06	0.000731183	0.54
2	192	0.491598	2.53807	7.17143e-06	1.17629e-05	5.71429e-08	0.00431087	9.02857e-07	5.40571e-06	0.000731157	0.53
2	192	0.491633	2.53807	7.17143e-06	1.17543e-05	5.71429e-08	0.00431113	8.97143e-07	5.41714e-06	0.000731163	0.55
2	192	0.491612	2.53807	7.17714e-06	1.176e-05	6e-08	0.00431056	9e-07	5.40571e-06	0.000731254	0.54
