N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	2127	16.0718	0	4.7e-06	6.52571e-06	0	0.00176963	3.71429e-08	2.45429e-06	1.48571e-07
1	2127	16.072	0	4.70286e-06	6.52286e-06	0	0.00176969	3.71429e-08	2.45429e-06	1.48571e-07
1	2127	16.0728	0	4.70571e-06	6.52857e-06	0	0.0017701	3.71429e-08	2.45429e-06	1.48571e-07
1	2127	16.0717	0	4.69714e-06	6.52571e-06	0	0.00176959	3.71429e-08	2.45429e-06	1.48571e-07
1	2127	16.0717	0	4.70286e-06	6.52571e-06	0	0.00176954	3.71429e-08	2.45714e-06	1.48571e-07
1	2127	16.0718	0	4.7e-06	6.52571e-06	0	0.00176963	3.71429e-08	2.45429e-06	1.48571e-07
1	2127	16.0719	0	4.70286e-06	6.52286e-06	0	0.00176966	3.71429e-08	2.45714e-06	1.48571e-07
1	2127	16.0719	0	4.70286e-06	6.52286e-06	0	0.00176968	3.71429e-08	2.45714e-06	1.48571e-07
1	2127	16.0719	0	4.70571e-06	6.52571e-06	0	0.00176965	3.71429e-08	2.45429e-06	1.48571e-07
1	2127	16.0718	0	4.70571e-06	6.52286e-06	0	0.00176961	3.71429e-08	2.45429e-06	1.48571e-07
2	2125	10.1201	0.561535	4.83143e-06	6.64857e-06	1.6e-07	0.00764343	6.62857e-07	2.49429e-06	0.00183341
2	2125	10.1203	0.561535	4.83714e-06	6.64e-06	1.6e-07	0.00764361	6.62857e-07	2.49429e-06	0.00183349
2	2125	10.1202	0.561535	4.82857e-06	6.64571e-06	1.6e-07	0.00764362	6.62857e-07	2.49429e-06	0.00183345
2	2125	10.1201	0.561535	4.82857e-06	6.64286e-06	1.6e-07	0.00764345	6.62857e-07	2.49143e-06	0.00183345
2	2125	10.1201	0.561535	4.82857e-06	6.64e-06	1.62857e-07	0.00764337	6.62857e-07	2.49143e-06	0.00183338
2	2125	10.1203	0.561535	4.82571e-06	6.64571e-06	1.6e-07	0.00764348	6.62857e-07	2.49143e-06	0.0018335
2	2125	10.1202	0.561535	4.83429e-06	6.64857e-06	1.6e-07	0.00764349	6.62857e-07	2.49429e-06	0.00183351
2	2125	10.1203	0.561535	4.83429e-06	6.65143e-06	1.6e-07	0.00764355	6.62857e-07	2.49429e-06	0.00183346
