N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	96	6.54234	0	8.90771e-05	0.000124611	0	0.0678431	1.09429e-06	2.14886e-05	4.99429e-06
1	96	6.54262	0	8.90829e-05	0.000124589	0	0.0678461	1.08e-06	2.14829e-05	4.99714e-06
1	96	6.54241	0	8.90514e-05	0.000124723	0	0.0678438	1.09143e-06	2.14543e-05	5.00857e-06
1	96	6.54255	0	8.90857e-05	0.000124626	0	0.0678454	1.08286e-06	2.14743e-05	5.04286e-06
1	96	6.5425	0	8.90857e-05	0.00012468	0	0.0678448	1.08571e-06	2.14571e-05	5.00857e-06
1	96	6.5423	0	8.90686e-05	0.000124651	0	0.0678427	1.08286e-06	2.14743e-05	5.01429e-06
1	96	6.54247	0	8.91e-05	0.000124697	0	0.0678445	1.08286e-06	2.146e-05	5.01143e-06
1	96	6.54243	0	8.91171e-05	0.000124651	0	0.0678441	1.06857e-06	2.14457e-05	5.01714e-06
1	96	6.5424	0	8.90514e-05	0.000124646	0	0.0678439	1.08e-06	2.14886e-05	5.00857e-06
1	96	6.54239	0	8.91057e-05	0.000124669	0	0.0678436	1.06857e-06	2.14886e-05	5.00286e-06
2	96	4.40153	20	9.10543e-05	0.000128754	2.01714e-06	0.074573	1.21829e-05	2.19171e-05	0.0165622
2	96	4.40156	20	9.11914e-05	0.000128654	2.00571e-06	0.0745736	1.21657e-05	2.19743e-05	0.0165624
2	96	4.40052	10.2804	9.11743e-05	0.000128917	2.10857e-06	0.074571	1.21829e-05	2.19314e-05	0.0165523
2	96	4.40139	15.7895	9.11143e-05	0.000129	2.01714e-06	0.0745754	1.21714e-05	2.19743e-05	0.0165575
2	96	4.40051	10.2804	9.11086e-05	0.000129086	2.10286e-06	0.0745703	1.21886e-05	2.19457e-05	0.0165532
2	96	4.40135	18.6441	9.11e-05	0.000128754	1.99714e-06	0.0745731	1.22314e-05	2.192e-05	0.0165596
2	96	4.40153	20	9.112e-05	0.000128954	2.02571e-06	0.0745726	1.21829e-05	2.19429e-05	0.0165627
2	96	4.40135	17.9487	9.11086e-05	0.000128891	2.02571e-06	0.0745734	1.21743e-05	2.19629e-05	0.0165582
2	96	4.40133	17.9487	9.11314e-05	0.00012888	2.00857e-06	0.0745732	1.22e-05	2.198e-05	0.0165591
2	96	4.40062	10.2804	9.11229e-05	0.000129023	2.09143e-06	0.0745712	1.21886e-05	2.19114e-05	0.0165525
3	96	3.41099	19.3277	8.92686e-05	0.000122466	2.48e-06	0.0725449	1.40171e-05	2.15343e-05	0.0329806
3	96	3.41108	19.3277	8.91257e-05	0.0001227	2.46857e-06	0.072546	1.40229e-05	2.15e-05	0.0329813
3	96	3.41108	19.3277	8.92629e-05	0.000122594	2.47714e-06	0.0725453	1.40571e-05	2.14829e-05	0.0329827
3	96	3.41095	19.3277	8.92571e-05	0.000122651	2.47714e-06	0.0725438	1.40943e-05	2.14914e-05	0.0329792
3	96	3.41101	19.3277	8.91971e-05	0.000122623	2.47143e-06	0.0725436	1.40343e-05	2.15371e-05	0.0329808
3	96	3.41092	19.3277	8.91429e-05	0.000122814	2.47714e-06	0.0725413	1.40629e-05	2.15314e-05	0.032981
3	96	3.41107	19.3277	8.92429e-05	0.000122706	2.45143e-06	0.0725447	1.4e-05	2.15714e-05	0.03298
3	96	3.41098	19.3277	8.93143e-05	0.000122626	2.48286e-06	0.072543	1.40257e-05	2.15486e-05	0.0329812
3	96	3.41047	19.3277	8.91314e-05	0.000122683	2.46286e-06	0.0725305	1.40486e-05	2.15657e-05	0.0329751
3	96	3.41101	20	8.93086e-05	0.000122466	2.47714e-06	0.0725454	1.404e-05	2.146e-05	0.032982
