N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.896525	0	1.95114e-05	1.39257e-05	0	0.00460252	4.05714e-07	5.18286e-06	2.48571e-06
1	192	0.896695	0	1.95286e-05	1.39514e-05	0	0.00460336	4.11429e-07	5.19714e-06	2.48857e-06
1	192	0.896747	0	1.95171e-05	1.398e-05	0	0.00460361	4.08571e-07	5.16857e-06	2.50571e-06
1	192	0.8968	0	1.95343e-05	1.39486e-05	0	0.00460388	4.08571e-07	5.2e-06	2.48e-06
1	192	0.896982	0	1.95229e-05	1.39257e-05	0	0.00460489	4.02857e-07	5.19143e-06	2.49714e-06
1	192	0.896701	0	1.94886e-05	1.396e-05	0	0.00460341	4.02857e-07	5.19429e-06	2.48e-06
1	192	0.896607	0	1.95229e-05	1.39657e-05	0	0.00460284	4.08571e-07	5.19714e-06	2.49429e-06
1	192	0.89675	0	1.95371e-05	1.39371e-05	0	0.00460367	4.11429e-07	5.19143e-06	2.47714e-06
1	192	0.89681	0	1.95371e-05	1.39457e-05	0	0.00460391	4.14286e-07	5.18857e-06	2.5e-06
1	192	0.896593	0	1.94943e-05	1.39543e-05	0	0.00460287	4.11429e-07	5.19143e-06	2.47714e-06
2	192	0.493627	3.51759	2.03971e-05	1.50257e-05	6.85714e-08	0.00436371	1.52e-06	5.40857e-06	0.00068882
2	192	0.493648	3.51759	2.04086e-05	1.50114e-05	6.57143e-08	0.00436382	1.51429e-06	5.41429e-06	0.000688814
2	192	0.493645	3.0303	2.03943e-05	1.49914e-05	6.57143e-08	0.00436401	1.52e-06	5.42e-06	0.000688583
2	192	0.492937	3.0303	2.04429e-05	1.50686e-05	7.14286e-08	0.00435631	1.54e-06	5.44e-06	0.000688717
2	192	0.493601	3.51759	2.036e-05	1.50486e-05	6.57143e-08	0.00436332	1.50857e-06	5.40857e-06	0.00068896
2	192	0.493702	3.0303	2.04e-05	1.50371e-05	6.57143e-08	0.00436445	1.50857e-06	5.40571e-06	0.000688817
2	192	0.493645	3.0303	2.03829e-05	1.50057e-05	6.57143e-08	0.00436388	1.51143e-06	5.42286e-06	0.000688743
2	192	0.493526	3.51759	2.03971e-05	1.50371e-05	6.85714e-08	0.00436275	1.51714e-06	5.4e-06	0.00068862
2	192	0.492843	3.0303	2.04171e-05	1.50314e-05	6.85714e-08	0.00435566	1.53429e-06	5.42857e-06	0.000688549
2	192	0.493645	4	2.03857e-05	1.50086e-05	6.57143e-08	0.00436365	1.54857e-06	5.42e-06	0.000688923
3	192	0.352355	6.79612	2.07229e-05	1.49371e-05	2.28571e-08	0.00407166	1.76571e-06	5.51143e-06	0.00131385
3	192	0.352323	7.69231	2.07314e-05	1.49457e-05	2.28571e-08	0.00407103	1.75429e-06	5.50857e-06	0.00131387
3	192	0.352388	6.79612	2.07086e-05	1.492e-05	2.57143e-08	0.0040734	1.75429e-06	5.52e-06	0.00131258
3	192	0.352286	7.24638	2.06971e-05	1.49114e-05	2.57143e-08	0.004072	1.75714e-06	5.48e-06	0.00131231
3	192	0.352351	8.13397	2.07457e-05	1.49286e-05	2.57143e-08	0.00407227	1.76571e-06	5.48571e-06	0.00131299
3	192	0.352394	8.13397	2.07286e-05	1.49343e-05	2.28571e-08	0.00407155	1.76e-06	5.48571e-06	0.00131417
3	192	0.352316	7.24638	2.06571e-05	1.49257e-05	2.57143e-08	0.00407217	1.74e-06	5.52e-06	0.0013128
3	192	0.352288	7.69231	2.06971e-05	1.49229e-05	2.28571e-08	0.00407175	1.75714e-06	5.52571e-06	0.00131259
3	192	0.352278	7.24638	2.07029e-05	1.49429e-05	2.57143e-08	0.00407165	1.76e-06	5.50571e-06	0.00131247
3	192	0.352354	7.69231	2.07314e-05	1.49286e-05	2.28571e-08	0.00407185	1.76857e-06	5.50286e-06	0.00131348
4	192	0.302746	11.1111	2.23371e-05	1.676e-05	8.57143e-09	0.00363355	1.94857e-06	5.87429e-06	0.00249911
4	192	0.30274	11.1111	2.23171e-05	1.67657e-05	8.57143e-09	0.0036339	1.95143e-06	5.88286e-06	0.0024989
4	192	0.302769	11.1111	2.23686e-05	1.672e-05	8.57143e-09	0.00363388	1.95714e-06	5.91143e-06	0.00249953
4	192	0.30264	11.1111	2.24286e-05	1.66886e-05	8.57143e-09	0.0036336	1.94857e-06	5.86571e-06	0.00249741
4	192	0.302812	12.7273	2.23943e-05	1.67457e-05	8.57143e-09	0.00363403	1.96571e-06	5.91714e-06	0.00250044
4	192	0.302636	11.1111	2.22943e-05	1.67314e-05	8.57143e-09	0.00363281	1.97143e-06	5.87429e-06	0.0024978
4	192	0.302646	11.1111	2.23286e-05	1.67857e-05	8.57143e-09	0.00363328	1.97429e-06	5.86857e-06	0.00249789
4	192	0.302755	11.1111	2.24229e-05	1.67686e-05	8.57143e-09	0.00363381	1.96e-06	5.90571e-06	0.00249919
4	192	0.302801	11.9266	2.23429e-05	1.67771e-05	8.57143e-09	0.00363432	1.94286e-06	5.94571e-06	0.00249994
4	192	0.302822	11.5207	2.23629e-05	1.67486e-05	8.57143e-09	0.00363473	1.94571e-06	5.85143e-06	0.00250022
5	192	0.249814	15.4185	2.368e-05	1.74286e-05	1.05714e-07	0.00376341	2.37429e-06	6.19714e-06	0.00252907
5	192	0.249793	15.0442	2.366e-05	1.74886e-05	1.05714e-07	0.00376357	2.40571e-06	6.23143e-06	0.00252904
5	192	0.249763	15.0442	2.36971e-05	1.74914e-05	1.05714e-07	0.00376315	2.34857e-06	6.16571e-06	0.00252877
5	192	0.249829	15.0442	2.366e-05	1.746e-05	1.02857e-07	0.00376402	2.30857e-06	6.20286e-06	0.0025291
5	192	0.249782	15.0442	2.36514e-05	1.74914e-05	1.02857e-07	0.00376378	2.35429e-06	6.18857e-06	0.00252858
5	192	0.24981	14.6667	2.36171e-05	1.73857e-05	1.05714e-07	0.00376384	2.39429e-06	6.19429e-06	0.00252945
5	192	0.249744	14.6667	2.35943e-05	1.74486e-05	1.05714e-07	0.00376275	2.3e-06	6.16857e-06	0.00252843
5	192	0.249676	13.9013	2.35543e-05	1.74143e-05	1.08571e-07	0.00376236	2.33143e-06	6.14e-06	0.00252839
5	192	0.249749	14.6667	2.358e-05	1.74486e-05	1.05714e-07	0.00376315	2.35714e-06	6.17714e-06	0.0025289
5	192	0.249779	15.0442	2.37314e-05	1.746e-05	1.11429e-07	0.00376344	2.35714e-06	6.17143e-06	0.00252889
6	192	0.240162	14.6667	2.37429e-05	1.66314e-05	2.82857e-07	0.00467791	2.23143e-06	6.11714e-06	0.00244211
6	192	0.24026	15.0442	2.38429e-05	1.64714e-05	2.91429e-07	0.00467976	2.22857e-06	6.26e-06	0.00244128
6	192	0.240282	16.1572	2.38e-05	1.66371e-05	2.82857e-07	0.00468076	2.22e-06	6.24e-06	0.0024409
6	192	0.240172	14.6667	2.38829e-05	1.65943e-05	2.82857e-07	0.0046799	2.25143e-06	6.25429e-06	0.00244041
6	192	0.240267	15.0442	2.38971e-05	1.648e-05	2.85714e-07	0.00468002	2.24857e-06	6.20857e-06	0.00244191
6	192	0.240161	15.0442	2.38571e-05	1.65857e-05	2.91429e-07	0.00467944	2.22857e-06	6.2e-06	0.0024396
6	192	0.240252	15.0442	2.38943e-05	1.65429e-05	2.91429e-07	0.00467971	2.22857e-06	6.20286e-06	0.00244099
6	192	0.240301	15.4185	2.38971e-05	1.668e-05	2.85714e-07	0.00468005	2.22e-06	6.18857e-06	0.00244122
6	192	0.240445	16.5217	2.40886e-05	1.64343e-05	2.82857e-07	0.00468132	2.22e-06	6.20286e-06	0.00244469
6	192	0.240343	16.5217	2.39343e-05	1.65543e-05	2.88571e-07	0.00467934	2.22571e-06	6.28857e-06	0.0024438
