N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.889117	0	5.99429e-06	1.06057e-05	0	0.00459335	9.42857e-08	2.66286e-06	1.24286e-06	0.96
1	192	0.889082	0	5.98571e-06	1.06057e-05	0	0.0045932	9.42857e-08	2.66571e-06	1.23714e-06	0.94
1	192	0.889114	0	5.98286e-06	1.05943e-05	0	0.00459337	9.42857e-08	2.66857e-06	1.24857e-06	0.93
1	192	0.889089	0	5.98e-06	1.06029e-05	0	0.00459323	9.42857e-08	2.66286e-06	1.24857e-06	0.93
1	192	0.889091	0	5.98857e-06	1.05943e-05	0	0.00459324	9.14286e-08	2.65429e-06	1.24857e-06	0.93
1	192	0.889067	0	5.98e-06	1.06057e-05	0	0.00459311	9.42857e-08	2.66857e-06	1.23429e-06	0.93
1	192	0.889118	0	5.98571e-06	1.06057e-05	0	0.00459337	9.71429e-08	2.66857e-06	1.24571e-06	0.93
1	192	0.889056	0	5.98571e-06	1.05971e-05	0	0.00459306	9.42857e-08	2.66286e-06	1.25143e-06	0.93
1	192	0.889093	0	5.98571e-06	1.05914e-05	0	0.00459325	9.71429e-08	2.67143e-06	1.23429e-06	0.93
1	192	0.889098	0	5.98286e-06	1.06e-05	0	0.00459329	9.42857e-08	2.66286e-06	1.24286e-06	0.93
2	192	0.491332	2.53807	6.78571e-06	1.24286e-05	6.28571e-08	0.00431044	8.97143e-07	2.85714e-06	0.000731326	0.57
2	192	0.491332	2.53807	6.77143e-06	1.23857e-05	6e-08	0.00431019	8.97143e-07	2.84e-06	0.000731149	0.54
2	192	0.491343	2.53807	6.78e-06	1.238e-05	6e-08	0.00431033	8.94286e-07	2.84857e-06	0.000731391	0.54
2	192	0.491304	2.53807	6.78571e-06	1.23914e-05	6e-08	0.0043103	8.97143e-07	2.84857e-06	0.000731289	0.55
2	192	0.491283	2.53807	6.78e-06	1.24029e-05	6.28571e-08	0.00431006	9.02857e-07	2.85714e-06	0.000731289	0.54
2	192	0.49134	2.53807	6.80571e-06	1.24314e-05	6.28571e-08	0.00431056	8.91429e-07	2.86286e-06	0.00073128	0.54
2	192	0.491348	2.53807	6.79143e-06	1.23943e-05	6.28571e-08	0.00431027	8.94286e-07	2.84571e-06	0.000731363	0.54
2	192	0.491333	2.53807	6.79143e-06	1.24171e-05	6.28571e-08	0.00431016	9e-07	2.84857e-06	0.000731363	0.53
2	192	0.491395	2.53807	6.79714e-06	1.24143e-05	6e-08	0.0043106	9.02857e-07	2.84857e-06	0.000731357	0.55
2	192	0.491372	2.53807	6.78286e-06	1.24029e-05	6.28571e-08	0.00431057	9e-07	2.85143e-06	0.000731417	0.55
3	192	0.364963	4.9505	6.64286e-06	1.18886e-05	0	0.00433183	1.09429e-06	2.86857e-06	0.00114667	0.44
