N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	1.95231	0	4.45743e-05	6.23171e-05	0	0.0100234	5.37143e-07	1.07486e-05	2.50286e-06	2.03
1	192	1.95251	0	4.45829e-05	6.23e-05	0	0.0100245	5.31429e-07	1.07171e-05	2.51143e-06	2.02
1	192	1.95261	0	4.45914e-05	6.23143e-05	0	0.0100251	5.34286e-07	1.07229e-05	2.49429e-06	2.01
2	192	1.34387	5.41872	4.69057e-05	6.63743e-05	8.31429e-07	0.011369	6.44571e-06	1.13286e-05	0.00244516	1.42
2	192	1.34378	5.41872	4.69229e-05	6.64257e-05	8.34286e-07	0.0113692	6.44286e-06	1.12857e-05	0.00244489	1.41
2	192	1.34386	5.41872	4.69714e-05	6.63914e-05	8.31429e-07	0.0113684	6.45143e-06	1.13286e-05	0.00244578	1.42
3	192	1.11574	11.1111	4.79857e-05	6.60143e-05	1.45429e-06	0.0115997	7.29429e-06	1.14257e-05	0.00561255	1.18
3	192	1.1158	11.1111	4.792e-05	6.594e-05	1.47714e-06	0.0116004	7.32e-06	1.14086e-05	0.00561323	1.19
3	192	1.09643	10.6977	4.79171e-05	6.57829e-05	1.50286e-06	0.0116111	7.40571e-06	1.13857e-05	0.00530858	1.17
4	192	1.04464	15.7895	5.52629e-05	7.77657e-05	1.84571e-06	0.0130757	8.57143e-06	1.29029e-05	0.00840894	1.12
4	192	1.04415	15.7895	5.52543e-05	7.74029e-05	1.83714e-06	0.0130747	8.56857e-06	1.28457e-05	0.00840731	1.11
4	192	1.04419	15.7895	5.524e-05	7.74886e-05	1.85429e-06	0.013074	8.59143e-06	1.28686e-05	0.0084086	1.12
5	192	1.00645	19.6653	6.69429e-05	9.56514e-05	2.14571e-06	0.0149447	9.56e-06	1.52543e-05	0.010907	1.08
5	192	1.07372	21.3115	6.62486e-05	9.35543e-05	2.58571e-06	0.01476	1.00457e-05	1.51486e-05	0.0124376	1.15
5	192	1.00666	19.6653	6.68629e-05	9.55514e-05	2.16571e-06	0.0149462	9.43429e-06	1.53057e-05	0.0109094	1.08
6	192	1.18327	28.0899	7.85886e-05	0.00011168	1.90571e-06	0.0176148	1.15714e-05	1.764e-05	0.0189077	1.25
6	192	1.18339	27.5472	7.836e-05	0.000111746	1.90286e-06	0.0176168	1.16114e-05	1.77057e-05	0.0189097	1.26
6	192	1.18327	27.8195	7.85886e-05	0.000111549	1.90286e-06	0.0176161	1.15371e-05	1.77171e-05	0.018909	1.26
7	192	1.22311	29.4118	9.08714e-05	0.000127674	3.26286e-06	0.0206989	1.22829e-05	2.03429e-05	0.022991	1.31
7	192	1.35823	31.1828	9.36914e-05	0.000133226	2.77714e-06	0.0209313	1.20514e-05	2.09314e-05	0.0269595	1.42
7	192	1.31276	31.9149	9.26457e-05	0.000131729	3.04857e-06	0.0203547	1.25114e-05	2.07143e-05	0.0266566	1.39
8	192	1.30299	32.1555	0.000110763	0.000161689	4.10857e-06	0.0224136	1.50257e-05	2.45143e-05	0.030102	1.38
8	192	1.32162	32.8671	0.000110394	0.000162074	3.78e-06	0.0227905	1.55e-05	2.44143e-05	0.0313869	1.40
8	192	1.31788	31.9149	0.000108169	0.000156306	2.97143e-06	0.0234661	1.45657e-05	2.40286e-05	0.0296208	1.39
9	192	1.28237	34.471	0.000121186	0.000170383	2.98286e-06	0.0250072	1.628e-05	2.66829e-05	0.0333984	1.36
9	192	1.25909	34.471	0.000121789	0.000172243	2.96e-06	0.0247878	1.66486e-05	2.68343e-05	0.0330161	1.33
9	192	1.25687	33.7931	0.000122137	0.000173149	2.92571e-06	0.0248201	1.66029e-05	2.69086e-05	0.0329561	1.33
10	192	1.34001	39.4322	0.000143023	0.000207649	5.48286e-06	0.0280688	1.988e-05	3.12371e-05	0.0391689	1.42
10	192	1.34004	42.1687	0.000143003	0.000207643	5.48857e-06	0.0280724	1.99914e-05	3.11543e-05	0.0391687	1.41
10	192	1.3398	40.1869	0.000142934	0.000207549	5.46571e-06	0.028065	1.98771e-05	3.11971e-05	0.0391666	1.42
11	192	1.45647	42.515	0.000153489	0.00022056	4.53714e-06	0.030053	2.08543e-05	3.36286e-05	0.0519901	1.54
11	192	1.45671	42.515	0.000153763	0.000220511	4.75429e-06	0.0300591	2.08743e-05	3.35914e-05	0.0519905	1.53
11	192	1.46532	43.5294	0.000161509	0.000236734	4.56571e-06	0.030594	2.21971e-05	3.498e-05	0.0517917	1.54
12	192	1.55176	44.5087	0.000168889	0.000238363	4.26571e-06	0.0342297	2.248e-05	3.65314e-05	0.059535	1.63
12	192	1.55165	44.5087	0.000169034	0.000238489	4.22e-06	0.0342411	2.22943e-05	3.64971e-05	0.0595217	1.63
12	192	1.55179	44.3478	0.000168857	0.000238731	4.28857e-06	0.0342289	2.25171e-05	3.65657e-05	0.0595348	1.63
