N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	95	2.23685e+06
10	200	1	89	2.00937e+06
10	200	1	89	1.94179e+06
10	200	1	94	1.77906e+06
10	200	1	92	2.22888e+06
10	200	500	687	2.55475e+06
10	200	500	703	2.57916e+06
10	200	500	691	2.47584e+06
10	200	500	768	2.42272e+06
10	200	500	729	2.47716e+06
10	200	1000	1067	2.48288e+06
10	200	1000	1130	2.5223e+06
10	200	1000	1102	2.53217e+06
10	200	1000	1068	2.5018e+06
10	200	1000	1114	2.46108e+06
10	200	1500	1341	2.5225e+06
10	200	1500	1340	2.57784e+06
10	200	1500	1336	2.49978e+06
10	200	1500	1390	2.6882e+06
10	200	1500	1493	2.50692e+06
10	200	2000	1892	2.49156e+06
10	200	2000	1923	2.48379e+06
10	200	2000	1902	2.53559e+06
10	200	2000	1851	2.48285e+06
10	200	2000	1888	2.55231e+06
10	200	2500	2338	2.6241e+06
10	200	2500	2248	2.78131e+06
10	200	2500	2261	2.72581e+06
10	200	2500	2263	2.59289e+06
10	200	2500	2222	2.61339e+06
