N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	60	1.36049e+06
10	200	1	57	1.30094e+06
10	200	1	84	1.31902e+06
10	200	1	57	1.28323e+06
10	200	1	62	1.32421e+06
10	200	500	578	1.69259e+06
10	200	500	621	1.73207e+06
10	200	500	586	1.62447e+06
10	200	500	632	1.76393e+06
10	200	500	593	1.69127e+06
10	200	1000	867	1.78448e+06
10	200	1000	753	1.68056e+06
10	200	1000	779	1.65869e+06
10	200	1000	901	1.67455e+06
10	200	1000	851	1.67018e+06
10	200	1500	1000	1.72488e+06
10	200	1500	1028	1.71237e+06
10	200	1500	1100	1.72616e+06
10	200	1500	1194	1.76963e+06
10	200	1500	1020	1.71714e+06
10	200	2000	1589	1.72515e+06
10	200	2000	1600	1.76265e+06
10	200	2000	1599	1.68395e+06
10	200	2000	1554	1.67664e+06
10	200	2000	1473	1.66168e+06
10	200	2500	1841	1.71062e+06
10	200	2500	1735	1.83821e+06
10	200	2500	1789	1.71324e+06
10	200	2500	1729	1.72992e+06
10	200	2500	1998	1.72088e+06
