N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	132	1.46878e+06
10	200	1	112	1.63498e+06
10	200	1	115	1.66833e+06
10	200	1	123	1.45147e+06
10	200	1	139	1.57383e+06
10	200	500	996	1.99117e+06
10	200	500	858	2.06422e+06
10	200	500	908	2.07565e+06
10	200	500	888	2.18372e+06
10	200	500	870	2.10014e+06
10	200	1000	1261	2.1494e+06
10	200	1000	1263	2.09779e+06
10	200	1000	1327	2.18808e+06
10	200	1000	1304	2.08195e+06
10	200	1000	1290	2.09203e+06
10	200	1500	1407	2.06493e+06
10	200	1500	1527	2.06398e+06
10	200	1500	1402	2.16917e+06
10	200	1500	1530	2.19344e+06
10	200	1500	1336	2.10233e+06
10	200	2000	1872	2.12604e+06
10	200	2000	1777	2.20384e+06
10	200	2000	1771	2.13466e+06
10	200	2000	1783	2.13001e+06
10	200	2000	1823	2.12972e+06
10	200	2500	2205	2.09671e+06
10	200	2500	2160	2.12586e+06
10	200	2500	2221	2.1848e+06
10	200	2500	2289	2.16301e+06
10	200	2500	2247	2.24662e+06
