N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	111	1.36288e+07
10	200	1	108	1.5307e+07
10	200	1	106	1.58144e+07
10	200	1	108	1.3487e+07
10	200	1	107	1.83475e+07
10	200	500	654	2.158e+07
10	200	500	606	2.65257e+07
10	200	500	573	1.96458e+07
10	200	500	685	2.32582e+07
10	200	500	647	2.12762e+07
10	200	1000	932	2.16012e+07
10	200	1000	930	2.3848e+07
10	200	1000	925	2.37306e+07
10	200	1000	934	2.33012e+07
10	200	1000	959	2.30987e+07
10	200	1500	1310	2.31769e+07
10	200	1500	1297	2.33517e+07
10	200	1500	1278	3.01104e+07
10	200	1500	1291	2.44632e+07
10	200	1500	1329	2.23314e+07
10	200	2000	1821	2.32793e+07
10	200	2000	1829	2.4765e+07
10	200	2000	1848	2.23651e+07
10	200	2000	1933	2.26651e+07
10	200	2000	1831	2.98304e+07
10	200	2500	2215	2.20393e+07
10	200	2500	2264	2.45078e+07
10	200	2500	2268	2.4815e+07
10	200	2500	2235	2.33854e+07
10	200	2500	2295	2.32727e+07
