N_POINTS	N_THREADS	TIME	ABORTS
100	1	0.018979	0
100	1	0.013566	0
100	1	0.015323	0
100	1	0.012498	0
100	1	0.013579	0
100	8	0.009121	80
100	8	0.005136	64
100	8	0.005404	73
100	8	0.005156	63
100	8	0.005936	69
100	16	0.006406	105
100	16	0.004928	136
100	16	0.005947	117
100	16	0.005157	115
100	16	0.005904	129
100	24	0.006132	121
100	24	0.006125	155
100	24	0.005980	143
100	24	0.006056	143
100	24	0.006047	136
100	32	0.007153	196
100	32	0.006676	172
100	32	0.006199	151
100	32	0.006803	155
100	32	0.006770	172
100	40	0.006970	178
100	40	0.006975	163
100	40	0.007296	178
100	40	0.007558	194
100	40	0.006643	201
50000	1	0.121352	0
50000	1	0.117742	0
50000	1	0.123336	0
50000	1	0.120616	0
50000	1	0.115899	0
50000	8	0.025831	26124
50000	8	0.024094	32240
50000	8	0.025297	29985
50000	8	0.025431	31607
50000	8	0.024720	30087
50000	16	0.033531	152000
50000	16	0.034534	157488
50000	16	0.034578	153580
50000	16	0.033135	151955
50000	16	0.034003	153954
50000	24	0.043420	251614
50000	24	0.043518	250283
50000	24	0.043815	252635
50000	24	0.043792	250570
50000	24	0.041630	252562
50000	32	0.046336	377282
50000	32	0.047786	383080
50000	32	0.046687	367829
50000	32	0.048391	385853
50000	32	0.045150	368028
50000	40	0.051472	521737
50000	40	0.055215	561780
50000	40	0.053142	533426
50000	40	0.054501	555560
50000	40	0.054100	536023
100000	1	0.220387	0
100000	1	0.206542	0
100000	1	0.212244	0
100000	1	0.208623	0
100000	1	0.204866	0
100000	8	0.046505	61963
100000	8	0.045064	60506
100000	8	0.045900	60914
100000	8	0.045027	65641
100000	8	0.044847	51573
100000	16	0.070091	334025
100000	16	0.069584	335005
100000	16	0.069687	338846
100000	16	0.068942	332788
100000	16	0.069550	337582
100000	24	0.086910	535760
100000	24	0.085834	526250
100000	24	0.087015	534075
100000	24	0.084363	512797
100000	24	0.087736	535367
100000	32	0.093009	805480
100000	32	0.090442	803031
100000	32	0.093302	800058
100000	32	0.092068	802477
100000	32	0.095236	814238
100000	40	0.098212	1003757
100000	40	0.098798	1059629
100000	40	0.103570	1133789
100000	40	0.100936	1105323
100000	40	0.101736	1095073
150000	1	0.258073	0
150000	1	0.274934	0
150000	1	0.265264	0
150000	1	0.263530	0
150000	1	0.268449	0
150000	8	0.068644	96574
150000	8	0.067525	90525
150000	8	0.067576	104757
150000	8	0.068052	96093
150000	8	0.068191	93632
150000	16	0.100062	499989
150000	16	0.104380	503022
150000	16	0.101172	501917
150000	16	0.103411	507199
150000	16	0.098638	489423
150000	24	0.127155	805883
150000	24	0.127434	797471
150000	24	0.131793	810255
150000	24	0.127359	800314
150000	24	0.130384	846331
150000	32	0.136425	1194040
150000	32	0.137457	1196123
150000	32	0.132878	1202811
150000	32	0.131962	1197947
150000	32	0.137673	1204529
150000	40	0.145135	1550034
150000	40	0.149772	1626512
150000	40	0.150522	1653557
150000	40	0.147382	1599979
150000	40	0.150596	1609343
200000	1	0.413664	0
200000	1	0.403803	0
200000	1	0.343328	0
200000	1	0.322826	0
200000	1	0.304400	0
200000	8	0.084107	118381
200000	8	0.088404	132686
200000	8	0.083649	119162
200000	8	0.083890	148052
200000	8	0.094220	148008
200000	16	0.139328	692149
200000	16	0.137971	694151
200000	16	0.136829	685172
200000	16	0.141046	696232
200000	16	0.139493	682747
200000	24	0.169228	1068470
200000	24	0.169714	1067226
200000	24	0.167907	1063359
200000	24	0.170091	1072477
200000	24	0.169602	1101100
200000	32	0.178013	1600148
200000	32	0.179109	1627689
200000	32	0.179399	1601295
200000	32	0.178840	1596239
200000	32	0.179563	1606944
200000	40	0.195289	2173665
200000	40	0.196753	2195188
200000	40	0.195264	2181938
200000	40	0.199517	2185318
200000	40	0.197310	2203928
250000	1	0.409225	0
250000	1	0.397643	0
250000	1	0.406798	0
250000	1	0.431095	0
250000	1	0.395923	0
250000	8	0.115479	170711
250000	8	0.105453	177760
250000	8	0.101652	170050
250000	8	0.101281	167392
250000	8	0.102133	169719
250000	16	0.165188	844815
250000	16	0.170786	843148
250000	16	0.167657	839367
250000	16	0.167231	836553
250000	16	0.170694	854405
250000	24	0.209548	1329673
250000	24	0.207680	1349528
250000	24	0.217647	1347296
250000	24	0.213999	1338397
250000	24	0.212128	1356767
250000	32	0.228855	2010924
250000	32	0.218390	2001164
250000	32	0.222526	2025985
250000	32	0.224582	2047111
