N_POINTS	N_THREADS	TIME	ABORTS
100	1	0.257971	0
100	1	0.217097	0
100	1	0.216978	0
100	1	0.217557	0
100	1	0.220023	0
100	1	0.217041	0
100	1	0.218284	0
100	1	0.219136	0
100	1	0.217629	0
100	1	0.218146	0
100	2	0.149938	11
100	2	0.144569	7
100	2	0.159705	17
100	2	0.130440	8
100	2	0.139892	14
100	2	0.129163	8
100	2	0.128558	9
100	2	0.128444	6
100	2	0.128447	6
100	2	0.131813	10
100	4	0.094972	23
100	4	0.096109	21
100	4	0.095721	25
100	4	0.093984	23
100	4	0.104931	28
100	4	0.095814	23
100	4	0.102059	30
100	4	0.106986	34
100	4	0.093380	23
100	4	0.100245	28
100	8	0.062046	38
100	8	0.076854	58
100	8	0.075865	44
100	8	0.070127	50
100	8	0.065940	40
100	8	0.066065	41
100	8	0.065104	44
100	8	0.075390	56
100	8	0.070507	52
100	8	0.080922	55
100	10	0.066893	62
100	10	0.059644	58
100	10	0.064827	48
100	10	0.069006	64
100	10	0.076694	68
100	10	0.063814	58
100	10	0.068424	65
100	10	0.065095	52
100	10	0.060670	51
100	10	0.063776	54
100	12	0.059958	59
100	12	0.064967	64
100	12	0.058913	62
100	12	0.053759	58
100	12	0.057918	63
100	12	0.056176	63
100	12	0.060535	64
100	12	0.067660	69
100	12	0.068786	73
100	12	0.063978	60
100	14	0.059574	66
100	14	0.054305	66
100	14	0.053516	64
100	14	0.065831	72
100	14	0.056644	76
100	14	0.063417	85
100	14	0.066914	82
100	14	0.070588	93
100	14	0.050337	59
100	14	0.059688	69
100	16	0.053068	77
100	16	0.061821	79
100	16	0.056051	78
100	16	0.054449	73
100	16	0.052543	71
100	16	0.053345	70
100	16	0.057390	93
100	16	0.064189	87
100	16	0.060560	90
100	16	0.056237	72
100	18	0.057823	100
100	18	0.048959	76
100	18	0.055874	81
100	18	0.060282	91
100	18	0.056415	85
100	18	0.059185	90
100	18	0.066172	102
100	18	0.056591	84
100	18	0.054584	81
100	18	0.064075	92
100	20	0.064618	108
100	20	0.061148	91
100	20	0.057979	89
100	20	0.056214	88
100	20	0.063103	102
100	20	0.069708	104
100	20	0.060597	107
100	20	0.059064	92
100	20	0.056196	84
100	20	0.063534	98
100	22	0.062699	106
100	22	0.052756	89
100	22	0.065003	105
100	22	0.063337	91
100	22	0.067035	112
100	22	0.071822	109
100	22	0.066929	127
100	22	0.058465	95
100	22	0.064699	114
100	22	0.057342	97
100	24	0.066416	122
100	24	0.064646	111
100	24	0.067820	117
100	24	0.061992	100
100	24	0.055960	104
100	24	0.066042	118
100	24	0.071814	125
100	24	0.061315	116
100	24	0.051664	84
100	24	0.057020	117
100	26	0.068041	107
100	26	0.071790	137
100	26	0.060979	105
100	26	0.067196	99
100	26	0.061357	92
100	26	0.054295	94
100	26	0.072043	118
100	26	0.077438	123
100	26	0.068388	102
100	26	0.071742	120
100	28	0.070982	121
100	28	0.058853	111
100	28	0.056413	104
100	28	0.064921	118
100	28	0.068755	119
100	28	0.061655	103
100	28	0.075623	116
100	28	0.067864	109
100	28	0.068591	127
100	28	0.072212	113
100	30	0.067281	122
100	30	0.057444	112
100	30	0.069059	128
100	30	0.057207	115
100	30	0.062715	111
100	30	0.059773	122
100	30	0.080013	133
100	30	0.070290	141
100	30	0.070945	128
100	30	0.059378	116
100	32	0.065555	133
100	32	0.070557	129
100	32	0.059152	111
100	32	0.072245	136
100	32	0.066057	117
100	32	0.065552	134
100	32	0.070997	130
100	32	0.067852	136
100	32	0.063128	115
100	32	0.066754	104
100	34	0.062525	112
100	34	0.070927	140
100	34	0.065372	124
100	34	0.068361	127
100	34	0.069108	136
100	34	0.072013	123
100	34	0.068110	121
100	34	0.060613	124
100	34	0.064108	138
100	34	0.073627	133
100	36	0.073133	134
100	36	0.075259	124
100	36	0.070625	139
100	36	0.070035	141
100	36	0.076059	139
100	36	0.058672	120
100	36	0.070971	140
100	36	0.068148	131
100	36	0.062361	130
100	36	0.072117	126
100	38	0.075820	132
100	38	0.067937	144
100	38	0.073721	148
100	38	0.079357	149
100	38	0.076486	145
100	38	0.076474	145
100	38	0.061576	136
100	38	0.076183	143
100	38	0.075967	145
100	38	0.077753	146
100	40	0.075608	154
100	40	0.083388	164
100	40	0.083043	153
100	40	0.078078	156
100	40	0.072905	144
100	40	0.071767	150
100	40	0.071534	146
100	40	0.082655	167
100	40	0.083048	142
100	40	0.071496	147
