GRID_SIZE	N_THREADS_PER_PROC	N_PROCS	TIME_P1	TIME_P2	TIME_P3	TIME_P4	TIME_P5
128	8	5	0.108716	0.110950	0.111045	0.123672	0.125504	
128	8	5	0.113365	0.116486	0.119230	0.118731	0.121185	
128	8	5	0.106207	0.112043	0.114237	0.125551	0.128420	
128	8	5	0.110624	0.115918	0.118764	0.124762	0.124179	
128	8	5	0.110816	0.110628	0.117023	0.120585	0.122414	
128	8	5	0.111778	0.112071	0.125342	0.128034	0.128406	
128	8	5	0.105866	0.106816	0.108570	0.113563	0.116529	
128	8	5	0.110182	0.110491	0.117483	0.119009	0.127014	
128	8	5	0.109664	0.114674	0.117784	0.122389	0.128019	
128	8	5	0.107361	0.108779	0.113783	0.115832	0.125678	
128	8	5	0.113684	0.113315	0.115035	0.121204	0.134443	
128	8	5	0.107286	0.109347	0.118972	0.119248	0.119670	
128	8	5	0.104593	0.106483	0.109113	0.111158	0.130955	
128	8	5	0.111621	0.117311	0.118507	0.120182	0.125139	
128	8	5	0.111827	0.119620	0.122270	0.127255	0.129252	
128	8	5	0.106405	0.113032	0.115646	0.117308	0.125718	
128	8	5	0.113806	0.108267	0.122100	0.124180	0.131608	
128	8	5	0.107119	0.123330	0.124807	0.123355	0.125234	
128	8	5	0.112261	0.112637	0.121848	0.128344	0.130628	
128	8	5	0.105100	0.111007	0.123333	0.123674	0.127714	
128	8	5	0.102403	0.113146	0.118670	0.122864	0.128439	
128	8	5	0.112514	0.113719	0.118812	0.120882	0.127870	
128	8	5	0.110655	0.112798	0.120439	0.125404	0.127673	
128	8	5	0.107486	0.117388	0.118487	0.124611	0.127575	
128	8	5	0.120936	0.121562	0.124654	0.128536	0.128989	
128	8	5	0.111537	0.118790	0.121512	0.134964	0.141577	
128	8	5	0.108922	0.112232	0.120740	0.125041	0.128112	
128	8	5	0.108323	0.110521	0.113968	0.117501	0.119805	
128	8	5	0.111043	0.111959	0.118954	0.120400	0.126313	
128	8	5	0.106138	0.107799	0.110871	0.111815	0.120684	
