N_POINTS	N_THREADS	TIME	ABORTS
100	1	0.003860	0
100	1	0.003847	0
100	1	0.002608	0
100	1	0.003274	0
100	1	0.003854	0
100	1	0.002445	0
100	1	0.003243	0
100	1	0.003791	0
100	1	0.002587	0
100	1	0.003204	0
100	2	0.002677	7
100	2	0.002873	4
100	2	0.002532	7
100	2	0.002945	4
100	2	0.002774	5
100	2	0.002596	3
100	2	0.002786	9
100	2	0.002439	6
100	2	0.002800	5
100	2	0.002322	5
100	4	0.002778	22
100	4	0.002697	20
100	4	0.002409	15
100	4	0.002756	18
100	4	0.002681	19
100	4	0.002681	19
100	4	0.002694	20
100	4	0.002458	19
100	4	0.002632	21
100	4	0.002471	19
100	8	0.002611	50
100	8	0.002588	39
100	8	0.002552	47
100	8	0.002575	47
100	8	0.002559	46
100	8	0.002612	46
100	8	0.002605	42
100	8	0.002562	46
100	8	0.002562	45
100	8	0.002496	42
100	10	0.002439	62
100	10	0.002594	76
100	10	0.002609	53
100	10	0.002367	48
100	10	0.002634	52
100	10	0.002668	67
100	10	0.002664	42
100	10	0.002855	64
100	10	0.002801	51
100	10	0.002777	41
100	12	0.002911	54
100	12	0.002856	83
100	12	0.002871	52
100	12	0.003038	60
100	12	0.002995	64
100	12	0.002891	54
100	12	0.002781	63
100	12	0.002900	74
100	12	0.002711	52
100	12	0.003045	66
100	14	0.003048	65
100	14	0.003315	70
100	14	0.003132	63
100	14	0.003318	71
100	14	0.003213	70
100	14	0.003105	92
100	14	0.002983	81
100	14	0.002888	62
100	14	0.002995	63
100	14	0.002939	67
100	16	0.003412	89
100	16	0.003469	93
100	16	0.003206	107
100	16	0.003124	65
100	16	0.003332	66
100	16	0.003485	94
100	16	0.003267	79
100	16	0.003355	82
100	16	0.002963	76
100	16	0.003215	96
100	18	0.003679	91
100	18	0.003398	85
100	18	0.003673	91
100	18	0.003642	90
100	18	0.003661	101
100	18	0.003335	113
100	18	0.003755	103
100	18	0.003256	123
100	18	0.003683	93
100	18	0.003700	76
100	20	0.003860	141
100	20	0.003947	86
100	20	0.003894	104
100	20	0.003729	169
100	20	0.003548	85
100	20	0.003755	119
100	20	0.003501	129
100	20	0.003942	91
100	20	0.003582	87
100	20	0.003561	134
100	22	0.004323	169
100	22	0.003982	92
100	22	0.004099	119
100	22	0.004371	109
100	22	0.004070	116
100	22	0.004042	99
100	22	0.004086	144
100	22	0.004376	93
100	22	0.004175	109
100	22	0.004128	96
100	24	0.004408	113
100	24	0.004408	113
100	24	0.004403	141
100	24	0.004538	152
100	24	0.003839	117
100	24	0.004701	196
100	24	0.004015	77
100	24	0.004015	77
100	24	0.004099	102
100	24	0.004300	93
100	26	0.004867	132
100	26	0.004255	155
100	26	0.004376	98
100	26	0.004623	156
100	26	0.004493	168
100	26	0.004975	121
100	26	0.004647	164
100	26	0.004647	164
100	26	0.004647	164
100	26	0.004647	164
100	28	0.005043	99
100	28	0.005085	120
100	28	0.004784	146
100	28	0.005347	125
100	28	0.005347	125
100	28	0.004790	216
100	28	0.004977	157
100	28	0.004978	205
100	28	0.004942	174
100	28	0.004665	94
100	30	0.005378	207
100	30	0.005263	195
100	30	0.004865	148
100	30	0.005240	125
100	30	0.005570	166
100	30	0.004933	107
100	30	0.005269	197
100	30	0.005504	174
100	30	0.005325	238
100	30	0.005223	136
100	32	0.004929	192
100	32	0.005306	295
100	32	0.005953	269
100	32	0.005981	172
100	32	0.005160	229
100	32	0.005348	156
100	32	0.005574	145
100	32	0.005576	141
100	32	0.005808	111
100	32	0.005459	186
100	34	0.005921	220
100	34	0.005097	182
100	34	0.005798	125
100	34	0.005549	236
100	34	0.005764	293
100	34	0.006054	171
100	34	0.005419	229
100	34	0.006085	136
100	34	0.006085	136
100	34	0.005952	148
100	36	0.005926	148
100	36	0.006144	171
100	36	0.006591	149
100	36	0.005683	141
100	36	0.006236	259
100	36	0.006280	245
100	36	0.006317	142
100	36	0.005788	208
100	36	0.006027	398
100	36	0.006013	202
100	38	0.006414	273
100	38	0.006682	211
100	38	0.005811	180
100	38	0.006175	231
100	38	0.007533	158
100	38	0.007533	158
100	38	0.005695	159
100	38	0.006481	314
100	38	0.006628	255
100	38	0.005458	231
100	40	0.006413	152
100	40	0.006939	149
100	40	0.005701	130
100	40	0.006641	157
100	40	0.006595	292
100	40	0.006459	302
100	40	0.006430	291
100	40	0.005757	133
100	40	0.006576	245
100	40	0.005611	145
