GRID_SIZE	N_THREADS_PER_PROC	N_PROCS	TIME_P1	TIME_P2	TIME_P3	TIME_P4	TIME_P5
32	8	5	0.008755	0.008824	0.009239	0.010761	0.011643	
32	8	5	0.010114	0.010471	0.009916	0.010273	0.009870	
32	8	5	0.007947	0.009942	0.009482	0.009121	0.011417	
32	8	5	0.010226	0.009871	0.009917	0.009639	0.009765	
32	8	5	0.008911	0.008928	0.008620	0.008543	0.008689	
32	8	5	0.008677	0.009348	0.009520	0.008808	0.009045	
32	8	5	0.007291	0.008003	0.008844	0.008317	0.013027	
32	8	5	0.009878	0.010530	0.010564	0.010165	0.009562	
32	8	5	0.010414	0.009930	0.010558	0.010725	0.012919	
32	8	5	0.009257	0.009576	0.008649	0.010148	0.009577	
32	8	5	0.009746	0.009269	0.010308	0.010332	0.009521	
32	8	5	0.009249	0.008932	0.012260	0.006313	0.013759	
32	8	5	0.009040	0.010757	0.009418	0.009653	0.009675	
32	8	5	0.008024	0.009518	0.008703	0.008892	0.011838	
32	8	5	0.009769	0.010717	0.010801	0.010176	0.009613	
32	8	5	0.008933	0.009463	0.010533	0.010423	0.011279	
32	8	5	0.008652	0.008490	0.009727	0.009224	0.008466	
32	8	5	0.008981	0.008705	0.009951	0.009509	0.008904	
32	8	5	0.007387	0.008100	0.009513	0.010667	0.009977	
32	8	5	0.008084	0.011729	0.012256	0.012796	0.012796
32	8	5	0.010583	0.011431	0.010928	0.013323	0.016165	
32	8	5	0.010275	0.010259	0.008550	0.009585	0.009163	
32	8	5	0.007040	0.010412	0.010999	0.012934	0.015408	
32	8	5	0.009117	0.008753	0.007808	0.011209	0.014162	
32	8	5	0.009101	0.008435	0.008001	0.010561	0.011433	
32	8	5	0.007294	0.007268	0.010218	0.009115	0.010090	
32	8	5	0.010737	0.010655	0.009913	0.009787	0.013400	
32	8	5	0.009056	0.009849	0.010351	0.008982	0.009606	
32	8	5	0.008326	0.007824	0.008431	0.009516	0.010721	
32	8	5	0.008510	0.010175	0.009987	0.011997	0.011997
