N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
9	200	1	59	2.26626e+06
9	200	1	53	1.8729e+06
9	200	1	51	2.34836e+06
9	200	1	55	2.20753e+06
9	200	1	57	2.04138e+06
9	200	1	91	1.94331e+06
9	200	1	52	1.96831e+06
9	200	1	55	1.98794e+06
9	200	1	54	2.13989e+06
9	200	1	54	2.04815e+06
9	200	500	566	2.63526e+06
9	200	500	579	2.6613e+06
9	200	500	542	2.49992e+06
9	200	500	541	2.63684e+06
9	200	500	574	2.61674e+06
9	200	500	537	2.50261e+06
9	200	500	604	2.48836e+06
9	200	500	561	2.48237e+06
9	200	500	532	2.58733e+06
9	200	500	555	2.55375e+06
9	200	1000	869	2.64003e+06
9	200	1000	723	2.54334e+06
9	200	1000	720	2.62536e+06
9	200	1000	710	2.63253e+06
9	200	1000	716	2.56556e+06
9	200	1000	713	2.54402e+06
9	200	1000	855	2.63323e+06
9	200	1000	755	2.60664e+06
9	200	1000	849	2.53548e+06
9	200	1000	731	2.56528e+06
9	200	1500	1057	2.92346e+06
9	200	1500	956	2.841e+06
9	200	1500	880	2.57038e+06
9	200	1500	916	2.67117e+06
9	200	1500	971	2.61506e+06
9	200	1500	1091	2.76492e+06
9	200	1500	963	2.60121e+06
9	200	1500	1015	2.5999e+06
9	200	1500	921	2.77765e+06
9	200	1500	930	2.72476e+06
9	200	2000	1455	2.60276e+06
9	200	2000	1401	2.74824e+06
9	200	2000	1370	2.68208e+06
9	200	2000	1343	2.68768e+06
9	200	2000	1433	2.59437e+06
9	200	2000	1444	2.62421e+06
9	200	2000	1446	2.74233e+06
9	200	2000	1441	2.60082e+06
9	200	2000	1377	2.64316e+06
9	200	2000	1377	2.64316e+06
