N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.00999433	0	1.57229e-05	0	0	1.72657e-05	0	4.71429e-07	3.77143e-07
1	100	0.00999602	0	1.57514e-05	0	0	1.72429e-05	0	4.68571e-07	3.8e-07
1	100	0.00999461	0	1.57257e-05	0	0	1.726e-05	0	4.71429e-07	3.74286e-07
1	100	0.00999314	0	1.574e-05	0	0	1.72314e-05	0	4.68571e-07	3.77143e-07
1	100	0.00999598	0	1.57429e-05	0	0	1.726e-05	0	4.71429e-07	3.74286e-07
1	100	0.00999497	0	1.57314e-05	0	0	1.72686e-05	0	4.71429e-07	3.71429e-07
1	100	0.00999648	0	1.576e-05	0	0	1.72486e-05	0	4.68571e-07	3.77143e-07
1	100	0.00999479	0	1.57371e-05	0	0	1.72629e-05	0	4.71429e-07	3.68571e-07
1	100	0.0099941	0	1.57257e-05	0	0	1.72686e-05	0	4.71429e-07	3.74286e-07
1	100	0.00999634	0	1.57629e-05	0	0	1.72543e-05	0	4.71429e-07	3.74286e-07
2	200	0.0100476	0	1.60114e-05	5.71429e-09	0	1.75743e-05	0	4.85714e-07	3.74286e-07
2	200	0.0100464	0	1.60257e-05	5.71429e-09	0	1.75629e-05	0	4.85714e-07	3.74286e-07
2	200	0.0100452	0	1.60143e-05	5.71429e-09	0	1.75629e-05	0	4.82857e-07	3.77143e-07
2	200	0.0100464	0	1.60057e-05	5.71429e-09	0	1.75657e-05	0	4.82857e-07	3.74286e-07
2	200	0.0100453	0	1.60143e-05	5.71429e-09	0	1.75629e-05	0	4.82857e-07	3.77143e-07
2	200	0.0100472	0	1.60114e-05	5.71429e-09	0	1.75771e-05	0	4.82857e-07	3.74286e-07
2	200	0.010047	0	1.60343e-05	5.71429e-09	0	1.75543e-05	0	4.82857e-07	3.74286e-07
2	200	0.0100456	0	1.60286e-05	5.71429e-09	0	1.75543e-05	0	4.82857e-07	3.74286e-07
2	200	0.0100458	0	1.60171e-05	5.71429e-09	0	1.75743e-05	0	4.85714e-07	3.74286e-07
