N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0156316	0	4.73743e-05	1.34286e-07	0	3.41629e-05	0	2.88e-06	1.02286e-06
1	100	0.0156323	0	4.74057e-05	1.34286e-07	0	3.41629e-05	0	2.89143e-06	1.02857e-06
1	100	0.01564	0	4.74886e-05	1.34286e-07	0	3.41743e-05	0	2.87143e-06	1.04571e-06
1	100	0.0156351	0	4.74714e-05	1.37143e-07	0	3.41543e-05	0	2.87714e-06	1.03714e-06
1	100	0.0156379	0	4.74429e-05	1.34286e-07	0	3.41686e-05	0	2.87714e-06	1.02857e-06
1	100	0.0156411	0	4.74886e-05	1.31429e-07	0	3.42e-05	0	2.89429e-06	1.00571e-06
1	100	0.0156426	0	4.75e-05	1.34286e-07	0	3.41886e-05	0	2.89714e-06	1.02e-06
1	100	0.0156299	0	4.744e-05	1.34286e-07	0	3.41429e-05	0	2.86857e-06	1.02857e-06
1	100	0.0156333	0	4.74714e-05	1.34286e-07	0	3.414e-05	0	2.88571e-06	1.01714e-06
1	100	0.0156379	0	4.74257e-05	1.37143e-07	0	3.41857e-05	0	2.88857e-06	1.02571e-06
2	200	0.0173882	0	5.50086e-05	2.05714e-07	2.11429e-07	3.86086e-05	0	3.12286e-06	1.03143e-06
2	200	0.0173889	0	5.50143e-05	2.05714e-07	2.02857e-07	3.85743e-05	0	3.11143e-06	1.04571e-06
2	200	0.0173903	0	5.50429e-05	2.11429e-07	2.08571e-07	3.85343e-05	0	3.13429e-06	1.05714e-06
2	200	0.0173917	0	5.50343e-05	2.08571e-07	2.2e-07	3.85686e-05	0	3.12571e-06	1.03714e-06
2	200	0.0173797	0	5.5e-05	2.14286e-07	2.08571e-07	3.85543e-05	0	3.11714e-06	1.04e-06
2	200	0.0173877	0	5.50257e-05	2.08571e-07	1.97143e-07	3.85771e-05	0	3.10286e-06	1.06286e-06
2	200	0.0173869	0	5.49829e-05	2.05714e-07	2.11429e-07	3.85686e-05	0	3.12571e-06	1.04857e-06
2	200	0.0173933	0	5.50629e-05	2.08571e-07	2.02857e-07	3.85686e-05	0	3.12286e-06	1.06286e-06
2	200	0.0173837	0	5.50114e-05	2.08571e-07	2.22857e-07	3.85657e-05	0	3.11429e-06	1.03714e-06
2	200	0.0173908	0	5.50943e-05	2.08571e-07	2.14286e-07	3.856e-05	0	3.13143e-06	1.03429e-06
3	300	0.0184788	0.332226	6.01229e-05	2.54286e-07	5.08571e-07	4.12743e-05	0	3.41429e-06	1.68571e-06
3	300	0.0184779	0.332226	6.01286e-05	2.62857e-07	5e-07	4.12629e-05	0	3.41143e-06	1.67429e-06
3	300	0.0184776	0.332226	6.01429e-05	2.57143e-07	5.17143e-07	4.12771e-05	0	3.40571e-06	1.68286e-06
3	300	0.0184671	0.332226	6.01543e-05	2.6e-07	4.91429e-07	4.11971e-05	0	3.42286e-06	1.70286e-06
3	300	0.0184832	0.332226	6.02114e-05	2.6e-07	4.91429e-07	4.12857e-05	0	3.40857e-06	1.67143e-06
3	300	0.0184986	0.990099	6.016e-05	2.57143e-07	5.54286e-07	4.12086e-05	0	3.40286e-06	2.43714e-06
3	300	0.0187054	0.990099	6.02371e-05	2.6e-07	4.77143e-07	4.12771e-05	0	3.40286e-06	2.47429e-06
3	300	0.0184838	0.332226	6.02371e-05	2.54286e-07	4.91429e-07	4.12371e-05	0	3.4e-06	1.70286e-06
3	300	0.0186811	0.990099	6.00486e-05	2.57143e-07	4.57143e-07	4.13114e-05	0	3.39714e-06	2.44857e-06
3	300	0.0184868	0.332226	6.02486e-05	2.57143e-07	5.17143e-07	4.126e-05	0	3.41429e-06	1.68e-06
4	400	0.0204539	2.91262	6.684e-05	3.48571e-07	8.34286e-07	4.44057e-05	0	3.85429e-06	4.95429e-06
4	400	0.0200743	3.1477	6.70029e-05	3.57143e-07	9.48571e-07	4.44114e-05	0	3.90286e-06	4.50857e-06
4	400	0.0204117	3.84615	6.70514e-05	3.62857e-07	1.06571e-06	4.438e-05	0	3.84286e-06	6.62e-06
4	400	0.0203295	3.38164	6.682e-05	3.51429e-07	9.4e-07	4.442e-05	0	3.86286e-06	5.26286e-06
