N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0101407	0	1.65886e-05	1.9e-06	0	1.52314e-05	2.51429e-07	7.50286e-06	1.2e-06
1	100	0.0101406	0	1.65971e-05	1.89714e-06	0	1.52257e-05	2.45714e-07	7.51143e-06	1.19143e-06
1	100	0.0101425	0	1.66086e-05	1.9e-06	0	1.524e-05	2.51429e-07	7.50286e-06	1.18857e-06
1	100	0.0101431	0	1.66171e-05	1.90571e-06	0	1.52257e-05	2.51429e-07	7.50571e-06	1.19714e-06
1	100	0.0101378	0	1.65857e-05	1.9e-06	0	1.522e-05	2.45714e-07	7.51143e-06	1.19429e-06
1	100	0.010139	0	1.65914e-05	1.90286e-06	0	1.52229e-05	2.48571e-07	7.50571e-06	1.19143e-06
1	100	0.0101368	0	1.65771e-05	1.90286e-06	0	1.52171e-05	2.51429e-07	7.5e-06	1.19429e-06
1	100	0.010139	0	1.65971e-05	1.89714e-06	0	1.52257e-05	2.51429e-07	7.5e-06	1.19143e-06
1	100	0.0101373	0	1.65857e-05	1.89714e-06	0	1.52229e-05	2.51429e-07	7.5e-06	1.18857e-06
1	100	0.0101418	0	1.65914e-05	1.90286e-06	0	1.52457e-05	2.51429e-07	7.5e-06	1.19143e-06
2	200	0.0109443	9.90991	1.81657e-05	1.97143e-06	0	1.60514e-05	2.48571e-07	8.82857e-06	4.66571e-06
2	200	0.0112265	14.8936	1.81857e-05	1.97143e-06	0	1.60514e-05	2.48571e-07	8.80857e-06	7.48857e-06
2	200	0.0111831	13.7931	1.82429e-05	1.98286e-06	0	1.60629e-05	2.48571e-07	8.81429e-06	6.92286e-06
2	200	0.0109464	9.90991	1.82e-05	1.97714e-06	0	1.60514e-05	2.51429e-07	8.82857e-06	4.66e-06
2	200	0.0112268	14.5299	1.82571e-05	1.98e-06	0	1.60657e-05	2.48571e-07	8.89714e-06	7.32857e-06
