N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0169426	0	4.38086e-05	0	0	3.24086e-05	2.51429e-07	2.00257e-05	2.44e-06
1	100	0.0169426	0	4.378e-05	0	0	3.24457e-05	2.45714e-07	2.002e-05	2.46571e-06
1	100	0.0169409	0	4.378e-05	0	0	3.24114e-05	2.51429e-07	2.00114e-05	2.44286e-06
1	100	0.0169353	0	4.37857e-05	0	0	3.24e-05	2.51429e-07	2e-05	2.45714e-06
1	100	0.0169387	0	4.38371e-05	0	0	3.24171e-05	2.54286e-07	1.99629e-05	2.46286e-06
1	100	0.0169378	0	4.37571e-05	0	0	3.24371e-05	2.51429e-07	2e-05	2.47429e-06
1	100	0.0169365	0	4.37743e-05	0	0	3.24114e-05	2.51429e-07	1.99771e-05	2.47429e-06
1	100	0.0169378	0	4.38086e-05	0	0	3.24086e-05	2.48571e-07	1.99829e-05	2.46857e-06
1	100	0.0169381	0	4.37714e-05	0	0	3.24086e-05	2.51429e-07	1.99943e-05	2.44857e-06
1	100	0.0169364	0	4.38057e-05	0	0	3.24e-05	2.51429e-07	1.99886e-05	2.45143e-06
2	200	0.0180024	0	4.696e-05	1.71429e-07	0	3.41371e-05	2.51429e-07	2.392e-05	2.54857e-06
2	200	0.0180081	0	4.69486e-05	1.71429e-07	0	3.41714e-05	2.51429e-07	2.39571e-05	2.56e-06
2	200	0.0179921	0	4.69486e-05	1.77143e-07	0	3.416e-05	2.51429e-07	2.38229e-05	2.53143e-06
2	200	0.0180089	0	4.70143e-05	1.68571e-07	0	3.41171e-05	2.48571e-07	2.39571e-05	2.53143e-06
2	200	0.0180055	0	4.69629e-05	1.65714e-07	0	3.41686e-05	2.45714e-07	2.39571e-05	2.53714e-06
2	200	0.0180075	0	4.69343e-05	1.65714e-07	0	3.41257e-05	2.48571e-07	2.4e-05	2.53714e-06
2	200	0.0180066	0	4.70086e-05	1.68571e-07	0	3.41714e-05	2.51429e-07	2.38657e-05	2.54571e-06
2	200	0.0180057	0	4.70343e-05	1.71429e-07	0	3.41543e-05	2.54286e-07	2.38914e-05	2.53714e-06
2	200	0.0179839	0	4.69086e-05	1.77143e-07	0	3.41314e-05	2.48571e-07	2.38086e-05	2.53429e-06
2	200	0.0180114	0	4.69686e-05	1.68571e-07	0	3.418e-05	2.51429e-07	2.39543e-05	2.54857e-06
3	300	0.0195737	0.990099	5.17914e-05	2.05714e-07	0	3.70886e-05	2.48571e-07	2.72429e-05	4.02e-06
3	300	0.0194046	0.332226	5.18657e-05	2.08571e-07	0	3.71543e-05	2.45714e-07	2.72886e-05	3.26286e-06
3	300	0.0194112	0.332226	5.19143e-05	2.08571e-07	0	3.71543e-05	2.48571e-07	2.72886e-05	3.27429e-06
3	300	0.0193864	0.332226	5.208e-05	2e-07	0	3.722e-05	2.48571e-07	2.74286e-05	3.27429e-06
3	300	0.0195933	0.990099	5.18629e-05	2.05714e-07	0	3.71571e-05	2.48571e-07	2.74086e-05	4e-06
3	300	0.0194911	0.662252	5.204e-05	2.05714e-07	0	3.724e-05	2.48571e-07	2.73857e-05	3.66e-06
3	300	0.0195915	0.990099	5.182e-05	2.05714e-07	0	3.71743e-05	2.48571e-07	2.73e-05	4.01429e-06
3	300	0.0199781	2.28013	5.22114e-05	2.05714e-07	0	3.71371e-05	2.48571e-07	2.74829e-05	5.65429e-06
3	300	0.0194228	0.332226	5.218e-05	2.02857e-07	0	3.73029e-05	2.48571e-07	2.74771e-05	3.27714e-06
3	300	0.0193854	0.332226	5.206e-05	2.02857e-07	0	3.72229e-05	2.48571e-07	2.74686e-05	3.29143e-06
4	400	0.0218171	1.96078	5.858e-05	2.02857e-07	0	4.10486e-05	2.48571e-07	3.12943e-05	5.94286e-06
4	400	0.0209459	0	5.786e-05	2e-07	0	4.124e-05	2.48571e-07	3.06029e-05	2.83429e-06
4	400	0.0210093	0	5.79429e-05	2e-07	0	4.13571e-05	2.48571e-07	3.05943e-05	2.83429e-06
4	400	0.0209394	0.249377	5.75629e-05	1.94286e-07	0	4.11114e-05	2.48571e-07	3.05343e-05	3.12286e-06
4	400	0.020901	0.249377	5.76286e-05	1.91429e-07	0	4.112e-05	2.48571e-07	3.05e-05	3.13714e-06
4	400	0.0212424	0.744417	5.82229e-05	2e-07	0	4.08543e-05	2.48571e-07	3.13457e-05	4.06e-06
4	400	0.0212459	0.744417	5.84886e-05	2.08571e-07	0	4.09914e-05	2.45714e-07	3.14457e-05	4.05714e-06
4	400	0.020944	0	5.77857e-05	1.94286e-07	0	4.128e-05	2.45714e-07	3.07143e-05	2.82857e-06
4	400	0.0212812	0.744417	5.84057e-05	2e-07	0	4.09686e-05	2.48571e-07	3.14743e-05	4.07714e-06
4	400	0.0213476	0.744417	5.89829e-05	2e-07	0	4.12771e-05	2.48571e-07	3.16171e-05	4.08571e-06
5	500	0.0232899	1.5748	6.624e-05	2.17143e-07	0	4.50829e-05	2.42857e-07	3.54714e-05	5.80571e-06
5	500	0.0234186	1.5748	6.64457e-05	2.2e-07	0	4.51914e-05	2.42857e-07	3.57057e-05	5.58286e-06
5	500	0.0231918	1.18577	6.592e-05	1.97143e-07	0	4.51657e-05	2.42857e-07	3.50143e-05	4.99429e-06
5	500	0.0232274	1.18577	6.59e-05	2.08571e-07	0	4.51057e-05	2.42857e-07	3.51686e-05	4.96857e-06
5	500	0.0231216	1.38067	6.52886e-05	2.02857e-07	0	4.49657e-05	2.42857e-07	3.48914e-05	5.53143e-06
5	500	0.0232192	1.38067	6.62143e-05	2.11429e-07	0	4.53229e-05	2.42857e-07	3.50857e-05	5.53429e-06
5	500	0.0236556	1.5748	6.69486e-05	2.02857e-07	0	4.54914e-05	2.42857e-07	3.57114e-05	5.68571e-06
5	500	0.023353	1.76817	6.61086e-05	2.17143e-07	0	4.50143e-05	2.42857e-07	3.54886e-05	6.16571e-06
5	500	0.0237593	2.34375	6.648e-05	2.14286e-07	0	4.52457e-05	2.42857e-07	3.57543e-05	6.88286e-06
5	500	0.0227241	0.398406	6.42657e-05	1.97143e-07	0	4.50543e-05	2.42857e-07	3.396e-05	3.83714e-06
6	600	0.0274508	1.63934	8.28114e-05	2.57143e-07	0	5.49286e-05	2.4e-07	4.34686e-05	6.52286e-06
6	600	0.0271371	1.96078	8.08657e-05	2.28571e-07	0	5.48943e-05	2.4e-07	4.20686e-05	7.16857e-06
6	600	0.0265051	0.826446	8.04057e-05	2.4e-07	0	5.45057e-05	2.4e-07	4.23229e-05	5.1e-06
6	600	0.027707	2.43902	8.09343e-05	2.31429e-07	0	5.49314e-05	2.4e-07	4.23829e-05	8.20571e-06
6	600	0.0266398	1.15321	8.13086e-05	2.2e-07	0	5.48886e-05	2.4e-07	4.23857e-05	5.57143e-06
6	600	0.0267851	1.47783	8.17086e-05	2.31429e-07	0	5.49371e-05	2.42857e-07	4.292e-05	6.36286e-06
6	600	0.0269081	1.80033	8.07829e-05	2.48571e-07	0	5.48714e-05	2.4e-07	4.20314e-05	6.75429e-06
6	600	0.0284421	3.22581	8.214e-05	2.34286e-07	0	5.47886e-05	2.4e-07	4.312e-05	1.00571e-05
6	600	0.027073	1.80033	8.23429e-05	2.71429e-07	0	5.498e-05	2.4e-07	4.36343e-05	7.21143e-06
6	600	0.0267639	1.31579	8.242e-05	2.4e-07	0	5.53971e-05	2.4e-07	4.26971e-05	5.94e-06
7	700	0.0334781	5.40541	0.000103157	2.54286e-07	0	6.836e-05	2.4e-07	5.25029e-05	1.15343e-05
7	700	0.0363776	10.9415	0.000104643	2.68571e-07	0	6.71543e-05	2.4e-07	5.40314e-05	2.46486e-05
7	700	0.0350582	7.40741	0.000106506	2.54286e-07	0	6.84514e-05	2.4e-07	5.52429e-05	1.764e-05
7	700	0.0402278	14.7381	9.79143e-05	2.08571e-07	0	6.398e-05	2.4e-07	5.09714e-05	2.72571e-05
7	700	0.0332131	5.2774	0.000106309	2.71429e-07	0	6.86829e-05	2.4e-07	5.46343e-05	1.40686e-05
7	700	0.0341929	5.2774	0.000106177	2.45714e-07	0	6.87571e-05	2.4e-07	5.50257e-05	1.39686e-05
7	700	0.0334442	4.24077	0.000107234	2.68571e-07	0	6.91486e-05	2.4e-07	5.57314e-05	1.15657e-05
7	700	0.0336082	4.7619	0.000106951	2.48571e-07	0	6.83857e-05	2.4e-07	5.558e-05	1.36029e-05
7	700	0.0332528	4.24077	0.000106703	2.65714e-07	0	6.894e-05	2.4e-07	5.48057e-05	1.164e-05
7	700	0.0335266	4.7619	0.000107143	2.65714e-07	0	6.86971e-05	2.4e-07	5.552e-05	1.32286e-05
8	800	0.0399442	9.70655	0.000120209	2.51429e-07	0	7.62971e-05	2.45714e-07	6.21914e-05	2.32886e-05
8	800	0.0438109	14.0709	0.000108877	2.4e-07	0	7.18571e-05	2.51429e-07	5.58371e-05	3.00429e-05
8	800	0.0452588	15.4334	0.000111334	2.51429e-07	0	7.13771e-05	2.42857e-07	5.74343e-05	3.36771e-05
8	800	0.0420525	13.1379	0.0001177	2.48571e-07	0	7.44829e-05	2.51429e-07	6.03743e-05	3.332e-05
8	800	0.042727	13.7931	0.000114889	2.45714e-07	0	7.31057e-05	2.45714e-07	5.91771e-05	3.02771e-05
8	800	0.0447212	16.4927	0.000113963	2.62857e-07	0	7.23771e-05	2.4e-07	5.87543e-05	4.09971e-05
8	800	0.0475163	19.1919	0.000108114	2.2e-07	0	6.93286e-05	2.42857e-07	5.55686e-05	4.51714e-05
8	800	0.0510401	22.4054	0.000101963	2.2e-07	0	6.61086e-05	2.48571e-07	5.27857e-05	5.51771e-05
8	800	0.0381603	7.51445	0.000121454	2.57143e-07	0	7.68457e-05	2.48571e-07	6.22486e-05	2.16571e-05
8	800	0.0387453	6.65111	0.000120703	2.25714e-07	0	7.69114e-05	2.48571e-07	6.15943e-05	1.924e-05
9	900	0.0533119	19.3548	0.000115849	2.97143e-07	0	7.54514e-05	2.31429e-07	5.88743e-05	4.95143e-05
9	900	0.0546703	19.6429	0.000119634	3.14286e-07	0	7.64714e-05	2.34286e-07	6.09457e-05	5.18886e-05
9	900	0.0547584	18.9919	0.000120763	3.25714e-07	0	7.71257e-05	2.34286e-07	6.16086e-05	4.90086e-05
9	900	0.0510414	16.9742	0.000124634	3.25714e-07	0	7.93257e-05	2.31429e-07	6.366e-05	4.28143e-05
9	900	0.0457985	11.5914	0.000134963	3.54286e-07	0	8.48686e-05	2.31429e-07	6.81343e-05	3.29771e-05
9	900	0.0439501	7.40741	0.000142151	3.31429e-07	0	8.87429e-05	2.34286e-07	7.21029e-05	2.44e-05
9	900	0.0543595	20.2834	0.000118866	2.82857e-07	0	7.56457e-05	2.31429e-07	6.072e-05	5.46457e-05
9	900	0.0537615	22.0779	0.000118403	3.28571e-07	0	7.59086e-05	2.31429e-07	6.01571e-05	6.26657e-05
9	900	0.0553778	20.7746	0.000117986	2.91429e-07	0	7.51057e-05	2.31429e-07	5.98943e-05	5.51286e-05
9	900	0.0546624	21.466	0.00011576	3.17143e-07	0	7.48829e-05	2.31429e-07	5.86057e-05	5.868e-05
10	1000	0.0592352	18.5668	0.000137963	3.4e-07	0	8.65943e-05	2.28571e-07	6.994e-05	5.38086e-05
10	1000	0.0588248	18.3673	0.000137726	3.57143e-07	0	8.64629e-05	2.28571e-07	6.99314e-05	5.21029e-05
10	1000	0.0610624	22.4806	0.000134694	3.71429e-07	0	8.45829e-05	2.28571e-07	6.79971e-05	7.21343e-05
10	1000	0.0592369	18.8312	0.000136331	3.57143e-07	0	8.624e-05	2.28571e-07	6.87629e-05	5.53257e-05
10	1000	0.0599024	21.5686	0.00013118	3.74286e-07	0	8.28229e-05	2.34286e-07	6.68686e-05	6.88429e-05
10	1000	0.0596954	20.4455	0.00013688	3.48571e-07	0	8.61029e-05	2.28571e-07	6.92743e-05	6.546e-05
10	1000	0.0598213	22.4806	0.000131911	3.57143e-07	0	8.34229e-05	2.31429e-07	6.69771e-05	7.12314e-05
10	1000	0.06047	20.8861	0.000137843	3.37143e-07	0	8.65743e-05	2.28571e-07	6.95686e-05	6.72686e-05
10	1000	0.0588131	18.897	0.000135374	3.48571e-07	0	8.53543e-05	2.31429e-07	6.88057e-05	6.46457e-05
10	1000	0.0593567	18.897	0.000135409	3.68571e-07	0	8.59e-05	2.31429e-07	6.87886e-05	5.53857e-05
11	1100	0.0678091	26.813	0.000151834	3.82857e-07	0	9.50971e-05	2.45714e-07	7.598e-05	9.26743e-05
11	1100	0.0673132	22.0411	0.000162606	4.05714e-07	0	0.000100677	2.48571e-07	8.11429e-05	7.37743e-05
11	1100	0.0649598	29.6225	0.000139934	3.42857e-07	0	8.826e-05	2.37143e-07	7.07514e-05	0.000101737
11	1100	0.0683079	29.8917	0.000142937	3.31429e-07	0	9.10457e-05	2.42857e-07	7.24486e-05	0.000124003
11	1100	0.0630169	31.207	0.000131649	3.2e-07	0	8.40371e-05	2.42857e-07	6.70543e-05	0.000110069
11	1100	0.0693834	20.2321	0.000168166	4.11429e-07	0	0.000103891	2.45714e-07	8.354e-05	7.45314e-05
11	1100	0.067306	21.5966	0.000162394	4.02857e-07	0	0.000100826	2.45714e-07	8.11571e-05	7.12257e-05
11	1100	0.0650191	26.5197	0.000148617	3.68571e-07	0	9.32171e-05	2.45714e-07	7.498e-05	8.60314e-05
11	1100	0.0652142	28.9406	0.00014218	3.74286e-07	0	8.99829e-05	2.45714e-07	7.16771e-05	9.82629e-05
11	1100	0.066132	31.6346	0.00013804	3.51429e-07	0	8.7e-05	2.48571e-07	6.99914e-05	0.000111769
12	1200	0.0679877	29.6188	0.000144154	3.31429e-07	0	9.158e-05	2.4e-07	7.31514e-05	0.000112246
12	1200	0.0685979	26.6055	0.0001557	3.71429e-07	0	9.78571e-05	2.4e-07	7.842e-05	9.11314e-05
12	1200	0.0676037	29.9883	0.000143346	3.34286e-07	0	9.23143e-05	2.4e-07	7.21714e-05	0.000113811
12	1200	0.0666282	28.4863	0.000146077	3.31429e-07	0	9.26029e-05	2.4e-07	7.46343e-05	0.000104797
