N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0103305	0	1.68314e-05	3.71429e-08	0	1.34886e-05	8.57143e-09	6.84571e-06	1.12571e-06
1	100	0.0103328	0	1.68457e-05	3.71429e-08	0	1.34914e-05	8.57143e-09	6.85143e-06	1.13143e-06
1	100	0.0103347	0	1.68829e-05	3.71429e-08	0	1.34857e-05	8.57143e-09	6.84857e-06	1.13143e-06
1	100	0.0103332	0	1.68743e-05	3.71429e-08	0	1.348e-05	8.57143e-09	6.84286e-06	1.12857e-06
1	100	0.0103344	0	1.68714e-05	3.71429e-08	0	1.35e-05	8.57143e-09	6.84571e-06	1.13143e-06
1	100	0.010328	0	1.68286e-05	3.71429e-08	0	1.34743e-05	8.57143e-09	6.84571e-06	1.13429e-06
1	100	0.0103285	0	1.68343e-05	3.71429e-08	0	1.34829e-05	8.57143e-09	6.84857e-06	1.13143e-06
1	100	0.010328	0	1.68229e-05	3.71429e-08	0	1.34829e-05	8.57143e-09	6.85143e-06	1.13143e-06
1	100	0.0103281	0	1.68229e-05	3.71429e-08	0	1.34971e-05	8.57143e-09	6.84e-06	1.13143e-06
1	100	0.0103243	0	1.67943e-05	3.71429e-08	0	1.34829e-05	8.57143e-09	6.84857e-06	1.12286e-06
2	200	0.0110943	0	1.954e-05	5.42857e-08	0	1.50171e-05	1.14286e-08	8.64857e-06	1.12857e-06
2	200	0.0110952	0	1.95657e-05	5.42857e-08	0	1.50171e-05	1.14286e-08	8.63429e-06	1.12857e-06
2	200	0.0110913	0	1.956e-05	5.42857e-08	0	1.50057e-05	1.14286e-08	8.62857e-06	1.13429e-06
2	200	0.0110901	0	1.95257e-05	5.42857e-08	0	1.50114e-05	1.14286e-08	8.63429e-06	1.13143e-06
2	200	0.0110866	0	1.95029e-05	5.42857e-08	0	1.502e-05	1.14286e-08	8.61429e-06	1.12857e-06
