N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0168648	0	4.62657e-05	1.42857e-07	0	3.14286e-05	8.57143e-09	1.85286e-05	2.43143e-06
1	100	0.0168583	0	4.622e-05	1.42857e-07	0	3.14171e-05	8.57143e-09	1.85543e-05	2.40286e-06
1	100	0.0168492	0	4.62343e-05	1.42857e-07	0	3.13486e-05	8.57143e-09	1.85086e-05	2.40571e-06
1	100	0.0168577	0	4.62486e-05	1.42857e-07	0	3.13971e-05	8.57143e-09	1.852e-05	2.43429e-06
1	100	0.0168517	0	4.62e-05	1.42857e-07	0	3.14114e-05	8.57143e-09	1.84914e-05	2.44286e-06
1	100	0.0168585	0	4.62429e-05	1.4e-07	0	3.14143e-05	8.57143e-09	1.85086e-05	2.44286e-06
1	100	0.0168621	0	4.62714e-05	1.42857e-07	0	3.14229e-05	8.57143e-09	1.85229e-05	2.42286e-06
1	100	0.0168544	0	4.62143e-05	1.45714e-07	0	3.14143e-05	8.57143e-09	1.85057e-05	2.42571e-06
1	100	0.0168543	0	4.62086e-05	1.45714e-07	0	3.13971e-05	8.57143e-09	1.85057e-05	2.44e-06
1	100	0.0168649	0	4.62743e-05	1.42857e-07	0	3.144e-05	8.57143e-09	1.85114e-05	2.42571e-06
2	200	0.0194422	0.497512	5.46514e-05	2.22857e-07	0	3.55457e-05	1.14286e-08	2.44457e-05	3.04571e-06
2	200	0.0194231	0.497512	5.46686e-05	2.17143e-07	0	3.558e-05	1.14286e-08	2.42571e-05	3.02857e-06
2	200	0.0194331	0.497512	5.46886e-05	2.17143e-07	0	3.55657e-05	1.14286e-08	2.43486e-05	3.03714e-06
2	200	0.0194435	0.497512	5.46371e-05	2.22857e-07	0	3.55886e-05	1.14286e-08	2.44343e-05	3.03714e-06
2	200	0.0194421	0.497512	5.46286e-05	2.22857e-07	0	3.55743e-05	1.14286e-08	2.44543e-05	3.01714e-06
2	200	0.0193687	0.497512	5.46286e-05	2.22857e-07	0	3.54914e-05	1.14286e-08	2.41114e-05	3.02571e-06
2	200	0.0194369	0.497512	5.46686e-05	2.22857e-07	0	3.55829e-05	1.14286e-08	2.436e-05	3.02e-06
2	200	0.0194209	0.497512	5.46857e-05	2.25714e-07	0	3.55143e-05	1.14286e-08	2.42486e-05	3.03429e-06
2	200	0.0194275	0.497512	5.46171e-05	2.25714e-07	0	3.55429e-05	1.14286e-08	2.43543e-05	3.04e-06
2	200	0.0194443	0.497512	5.46943e-05	2.25714e-07	0	3.55686e-05	1.14286e-08	2.44314e-05	3.00857e-06
3	300	0.0209796	2.5974	6.02229e-05	2.74286e-07	0	3.82771e-05	1.42857e-08	2.81114e-05	5.84571e-06
