N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0165157	0	4.16771e-05	5.25714e-07	0	3.11571e-05	2.48571e-07	1.92429e-05	2.45429e-06
1	100	0.0165208	0	4.16571e-05	5.34286e-07	0	3.116e-05	2.51429e-07	1.92771e-05	2.45143e-06
1	100	0.0165226	0	4.16886e-05	5.28571e-07	0	3.11714e-05	2.48571e-07	1.92714e-05	2.46857e-06
1	100	0.0165227	0	4.16429e-05	5.28571e-07	0	3.11743e-05	2.51429e-07	1.93171e-05	2.43429e-06
1	100	0.0165287	0	4.16857e-05	5.28571e-07	0	3.12057e-05	2.45714e-07	1.92886e-05	2.46571e-06
1	100	0.0165253	0	4.16886e-05	5.34286e-07	0	3.11771e-05	2.51429e-07	1.92971e-05	2.44571e-06
1	100	0.0165221	0	4.17057e-05	5.34286e-07	0	3.11771e-05	2.51429e-07	1.92743e-05	2.44571e-06
1	100	0.01652	0	4.16943e-05	5.25714e-07	0	3.11657e-05	2.51429e-07	1.92971e-05	2.45143e-06
1	100	0.0165187	0	4.17029e-05	5.25714e-07	0	3.11743e-05	2.45714e-07	1.92514e-05	2.45714e-06
1	100	0.0165143	0	4.16686e-05	5.25714e-07	0	3.116e-05	2.51429e-07	1.92543e-05	2.44286e-06
2	200	0.0189533	0.497512	4.91571e-05	7.77143e-07	0	3.57029e-05	2.48571e-07	2.48257e-05	3.03714e-06
2	200	0.0189439	0.497512	4.90514e-05	7.71429e-07	0	3.576e-05	2.51429e-07	2.47829e-05	3.05714e-06
2	200	0.0189416	0.497512	4.90571e-05	7.71429e-07	0	3.56857e-05	2.48571e-07	2.48257e-05	3.04e-06
2	200	0.0189541	0.497512	4.91086e-05	7.74286e-07	0	3.57457e-05	2.51429e-07	2.48771e-05	3.05429e-06
2	200	0.0189339	0.497512	4.90771e-05	7.77143e-07	0	3.57057e-05	2.48571e-07	2.48514e-05	3.04571e-06
2	200	0.0189517	0.497512	4.91171e-05	7.71429e-07	0	3.57371e-05	2.51429e-07	2.48886e-05	3.04857e-06
2	200	0.0189238	0.497512	4.90229e-05	7.74286e-07	0	3.56714e-05	2.48571e-07	2.47429e-05	3.04571e-06
2	200	0.0189397	0.497512	4.90343e-05	7.8e-07	0	3.57171e-05	2.48571e-07	2.47429e-05	3.03429e-06
2	200	0.0189494	0.497512	4.90971e-05	7.77143e-07	0	3.56943e-05	2.48571e-07	2.48429e-05	3.04857e-06
2	200	0.0188623	0.497512	4.908e-05	7.77143e-07	0	3.56743e-05	2.48571e-07	2.47343e-05	2.96857e-06
3	300	0.0200947	0.990099	5.394e-05	9.88571e-07	0	3.85029e-05	2.45714e-07	2.86629e-05	4.19714e-06
3	300	0.0202106	2.28013	5.36029e-05	9.65714e-07	0	3.82886e-05	2.48571e-07	2.84371e-05	5.95714e-06
3	300	0.0204177	2.91262	5.35371e-05	9.71429e-07	0	3.83257e-05	2.48571e-07	2.82343e-05	6.59429e-06
3	300	0.0202352	1.31579	5.38029e-05	9.71429e-07	0	3.83543e-05	2.42857e-07	2.85457e-05	4.61429e-06
3	300	0.0204965	3.22581	5.37057e-05	9.71429e-07	0	3.83514e-05	2.48571e-07	2.82571e-05	6.40286e-06
3	300	0.0202693	1.96078	5.37086e-05	9.85714e-07	0	3.83257e-05	2.48571e-07	2.84229e-05	5.49714e-06
3	300	0.020285	2.91262	5.36e-05	9.68571e-07	0	3.83286e-05	2.48571e-07	2.82029e-05	6.01143e-06
3	300	0.020263	1.31579	5.38057e-05	9.71429e-07	0	3.84571e-05	2.48571e-07	2.85029e-05	4.28286e-06
