N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.010142	0	1.66057e-05	1.9e-06	0	1.522e-05	2.51429e-07	7.50286e-06	1.2e-06
1	100	0.0101436	0	1.66057e-05	1.90857e-06	0	1.52343e-05	2.48571e-07	7.50571e-06	1.19143e-06
1	100	0.0101451	0	1.66143e-05	1.91143e-06	0	1.524e-05	2.48571e-07	7.50857e-06	1.19143e-06
1	100	0.0101407	0	1.65886e-05	1.90286e-06	0	1.52229e-05	2.48571e-07	7.50571e-06	1.19714e-06
1	100	0.0101424	0	1.65886e-05	1.90857e-06	0	1.52371e-05	2.51429e-07	7.50286e-06	1.19143e-06
1	100	0.0101417	0	1.66086e-05	1.89143e-06	0	1.52257e-05	2.54286e-07	7.49714e-06	1.2e-06
1	100	0.0101426	0	1.66086e-05	1.90857e-06	0	1.522e-05	2.48571e-07	7.50286e-06	1.19143e-06
1	100	0.0101423	0	1.66086e-05	1.89714e-06	0	1.52229e-05	2.51429e-07	7.5e-06	1.19429e-06
1	100	0.0101417	0	1.65943e-05	1.90286e-06	0	1.52229e-05	2.48571e-07	7.50857e-06	1.19714e-06
1	100	0.0101455	0	1.66086e-05	1.90571e-06	0	1.524e-05	2.48571e-07	7.50571e-06	1.18857e-06
2	200	0.0112306	14.8936	1.82e-05	1.98e-06	0	1.606e-05	2.51429e-07	8.82857e-06	7.48e-06
2	200	0.0112323	14.5299	1.82743e-05	1.98571e-06	0	1.606e-05	2.51429e-07	8.89714e-06	7.34286e-06
2	200	0.0111826	13.7931	1.82514e-05	1.97714e-06	0	1.60771e-05	2.45714e-07	8.79143e-06	6.91714e-06
2	200	0.0109481	9.90991	1.81886e-05	1.97143e-06	0	1.60486e-05	2.48571e-07	8.84857e-06	4.66e-06
2	200	0.0109435	9.90991	1.81771e-05	1.97714e-06	0	1.60486e-05	2.45714e-07	8.81714e-06	4.66286e-06
