N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0165189	0	4.16629e-05	5.6e-07	0	3.11857e-05	2.54286e-07	1.922e-05	2.46e-06
1	100	0.0165221	0	4.16943e-05	5.62857e-07	0	3.11914e-05	2.51429e-07	1.92257e-05	2.46286e-06
1	100	0.0165227	0	4.16514e-05	5.6e-07	0	3.11543e-05	2.48571e-07	1.92971e-05	2.47143e-06
1	100	0.0165189	0	4.16914e-05	5.57143e-07	0	3.11371e-05	2.48571e-07	1.92257e-05	2.46286e-06
1	100	0.016526	0	4.168e-05	5.62857e-07	0	3.12e-05	2.48571e-07	1.92743e-05	2.45429e-06
1	100	0.0165239	0	4.16886e-05	5.57143e-07	0	3.114e-05	2.48571e-07	1.928e-05	2.48e-06
1	100	0.0165149	0	4.16686e-05	5.6e-07	0	3.11543e-05	2.45714e-07	1.92029e-05	2.46e-06
1	100	0.0165162	0	4.16714e-05	5.57143e-07	0	3.11543e-05	2.51429e-07	1.92286e-05	2.45714e-06
1	100	0.0165183	0	4.16771e-05	5.6e-07	0	3.11886e-05	2.48571e-07	1.92171e-05	2.45714e-06
1	100	0.0165154	0	4.168e-05	5.54286e-07	0	3.11514e-05	2.51429e-07	1.92257e-05	2.45143e-06
2	200	0.0188567	0.497512	4.90571e-05	8.14286e-07	0	3.56829e-05	2.48571e-07	2.47571e-05	2.95714e-06
2	200	0.0189391	0.497512	4.91257e-05	8.17143e-07	0	3.57343e-05	2.51429e-07	2.46629e-05	3.05143e-06
2	200	0.0189341	0.497512	4.91114e-05	8.2e-07	0	3.56743e-05	2.51429e-07	2.47114e-05	3.04286e-06
2	200	0.0189486	0.497512	4.91771e-05	8.22857e-07	0	3.56914e-05	2.45714e-07	2.47771e-05	3.06286e-06
2	200	0.0189415	0.497512	4.912e-05	8.17143e-07	0	3.56629e-05	2.48571e-07	2.47714e-05	3.04286e-06
2	200	0.0189415	0.497512	4.91114e-05	8.2e-07	0	3.56629e-05	2.45714e-07	2.47371e-05	3.05143e-06
2	200	0.0189344	0.497512	4.90943e-05	8.11429e-07	0	3.56914e-05	2.48571e-07	2.47371e-05	3.06571e-06
2	200	0.0189489	0.497512	4.906e-05	8.25714e-07	0	3.57171e-05	2.48571e-07	2.48257e-05	3.05429e-06
2	200	0.0189397	0.497512	4.91171e-05	8.2e-07	0	3.57171e-05	2.51429e-07	2.47743e-05	3.04286e-06
2	200	0.0189378	0.497512	4.91429e-05	8.2e-07	0	3.57514e-05	2.48571e-07	2.47943e-05	3.05429e-06
3	300	0.0204769	2.5974	5.37714e-05	1.00857e-06	0	3.83686e-05	2.45714e-07	2.83543e-05	6.25143e-06
3	300	0.0201611	1.31579	5.40743e-05	1.03143e-06	0	3.85743e-05	2.48571e-07	2.864e-05	4.65429e-06
3	300	0.0206224	3.84615	5.35743e-05	1.01714e-06	0	3.82829e-05	2.48571e-07	2.82143e-05	7.14e-06
3	300	0.0204039	2.91262	5.37257e-05	1.02571e-06	0	3.83543e-05	2.48571e-07	2.82514e-05	6.28857e-06
3	300	0.0202053	2.28013	5.35829e-05	1.02e-06	0	3.83514e-05	2.48571e-07	2.82714e-05	5.99143e-06
3	300	0.0203355	2.91262	5.36457e-05	1.02e-06	0	3.834e-05	2.48571e-07	2.816e-05	5.79143e-06
3	300	0.0200967	1.63934	5.37371e-05	1.03429e-06	0	3.84343e-05	2.48571e-07	2.81114e-05	4.38286e-06
3	300	0.0204843	3.84615	5.35943e-05	1.02857e-06	0	3.82657e-05	2.48571e-07	2.81857e-05	7.31714e-06
3	300	0.0207859	5.36278	5.36257e-05	1.03429e-06	0	3.83429e-05	2.48571e-07	2.83686e-05	8.70571e-06
3	300	0.0201401	2.5974	5.37e-05	1.02857e-06	0	3.83686e-05	2.45714e-07	2.83543e-05	6.41714e-06
4	400	0.0227854	11.6998	5.94114e-05	1.29714e-06	0	4.18514e-05	2.45714e-07	3.19286e-05	1.56057e-05
4	400	0.0232067	13.4199	5.95714e-05	1.27714e-06	0	4.176e-05	2.45714e-07	3.17771e-05	1.82171e-05
4	400	0.0230099	12.4726	6.01057e-05	1.30286e-06	0	4.21086e-05	2.51429e-07	3.222e-05	1.81457e-05
4	400	0.0228256	7.19258	5.96743e-05	1.28857e-06	0	4.20429e-05	2.48571e-07	3.166e-05	1.09857e-05
4	400	0.0231831	12.2807	6.03e-05	1.31429e-06	0	4.24686e-05	2.45714e-07	3.21571e-05	1.66914e-05
4	400	0.0239269	13.4199	6.024e-05	1.3e-06	0	4.22314e-05	2.51429e-07	3.22114e-05	1.71829e-05
4	400	0.0229606	13.6069	5.98257e-05	1.33429e-06	0	4.18286e-05	2.45714e-07	3.20371e-05	1.59914e-05
4	400	0.0224961	10.1124	5.97943e-05	1.26e-06	0	4.17857e-05	2.48571e-07	3.18514e-05	1.44686e-05
4	400	0.0230344	12.6638	5.964e-05	1.27429e-06	0	4.18143e-05	2.45714e-07	3.202e-05	1.76629e-05
4	400	0.022624	8.88383	5.99e-05	1.31143e-06	0	4.20229e-05	2.48571e-07	3.22257e-05	1.44e-05
5	500	0.0286608	18.0328	6.85286e-05	1.50286e-06	0	4.70943e-05	2.42857e-07	3.62857e-05	2.74171e-05
5	500	0.0268215	13.1944	6.85743e-05	1.33714e-06	0	4.69029e-05	2.42857e-07	3.668e-05	2.10457e-05
5	500	0.0273845	17.2185	6.75086e-05	1.38857e-06	0	4.61629e-05	2.42857e-07	3.59971e-05	2.93e-05
5	500	0.0268473	16.8053	6.78971e-05	1.51143e-06	0	4.66829e-05	2.42857e-07	3.64657e-05	2.81314e-05
5	500	0.0274807	17.3554	6.78543e-05	1.35714e-06	0	4.66943e-05	2.42857e-07	3.60257e-05	2.922e-05
5	500	0.0263943	15.2542	6.844e-05	1.48e-06	0	4.70229e-05	2.42857e-07	3.66543e-05	2.66086e-05
5	500	0.0283386	17.0813	6.81971e-05	1.38286e-06	0	4.68971e-05	2.42857e-07	3.61629e-05	2.68057e-05
5	500	0.0278616	19.3548	6.848e-05	1.51429e-06	0	4.70114e-05	2.45714e-07	3.65143e-05	3.21229e-05
5	500	0.0267399	13.1944	6.82457e-05	1.34286e-06	0	4.68771e-05	2.42857e-07	3.65771e-05	2.18571e-05
5	500	0.0281754	17.4917	6.89457e-05	1.51143e-06	0	4.736e-05	2.42857e-07	3.68286e-05	2.76e-05
6	600	0.0363996	29.8246	7.87343e-05	1.75429e-06	0	5.286e-05	2.4e-07	4.13886e-05	5.77229e-05
6	600	0.0347226	27.6236	8.07943e-05	1.73714e-06	0	5.40086e-05	2.4e-07	4.26771e-05	5.40143e-05
6	600	0.0320534	22.4806	8.21971e-05	1.58571e-06	0	5.50029e-05	2.4e-07	4.32514e-05	4.47314e-05
6	600	0.0354363	24.812	8.23886e-05	1.78857e-06	0	5.50829e-05	2.4e-07	4.29971e-05	4.612e-05
6	600	0.0391787	30.9551	7.794e-05	1.68857e-06	0	5.24771e-05	2.4e-07	4.10771e-05	6.66771e-05
6	600	0.0353605	28.8256	7.95314e-05	1.71143e-06	0	5.37486e-05	2.42857e-07	4.124e-05	5.31343e-05
6	600	0.0340228	23.0769	8.16686e-05	1.74e-06	0	5.47143e-05	2.4e-07	4.25371e-05	4.35429e-05
6	600	0.0316365	25.5583	8.11629e-05	1.61714e-06	0	5.40171e-05	2.4e-07	4.27e-05	4.96657e-05
6	600	0.0340057	23.4694	8.11457e-05	1.73143e-06	0	5.42086e-05	2.4e-07	4.26171e-05	3.95571e-05
6	600	0.0391301	33.8479	7.73743e-05	1.72571e-06	0	5.208e-05	2.42857e-07	4.06571e-05	6.56743e-05
7	700	0.0449377	32.4976	9.83914e-05	2.04857e-06	0	6.42657e-05	2.4e-07	5.09743e-05	7.988e-05
7	700	0.0461505	35.6618	9.61514e-05	2.02571e-06	0	6.28857e-05	2.4e-07	4.93286e-05	9.18771e-05
7	700	0.0454918	32.4976	9.74229e-05	2.12e-06	0	6.33857e-05	2.4e-07	4.99029e-05	8.78429e-05
7	700	0.0450192	32.3017	9.02629e-05	1.88571e-06	0	5.96886e-05	2.4e-07	4.66086e-05	7.72343e-05
7	700	0.0452788	34.0245	9.488e-05	2.04571e-06	0	6.20914e-05	2.4e-07	4.908e-05	8.55457e-05
7	700	0.0444248	35.9561	9.56657e-05	2.04e-06	0	6.27971e-05	2.4e-07	4.97914e-05	9.49229e-05
7	700	0.0467526	34.2105	9.38171e-05	1.96571e-06	0	6.15343e-05	2.4e-07	4.86286e-05	8.80686e-05
7	700	0.0448627	31.7073	9.47743e-05	2.06571e-06	0	6.21057e-05	2.4e-07	4.91514e-05	8.036e-05
7	700	0.0472855	36.5367	9.47886e-05	1.96286e-06	0	6.20457e-05	2.4e-07	4.88486e-05	9.98229e-05
7	700	0.046593	33.4601	9.772e-05	1.96857e-06	0	6.40943e-05	2.4e-07	5.02457e-05	8.88286e-05
8	800	0.0515392	43.6223	0.00010818	2.17714e-06	0	7.05143e-05	2.48571e-07	5.522e-05	0.00013128
8	800	0.0513558	36.8587	0.000109123	1.99429e-06	0	7.044e-05	2.48571e-07	5.56571e-05	0.000113569
8	800	0.0558453	39.6226	0.000109851	1.91714e-06	0	7.09114e-05	2.48571e-07	5.60114e-05	0.000134351
8	800	0.052829	42.2799	0.000106963	1.8e-06	0	6.90229e-05	2.45714e-07	5.46286e-05	0.000134506
8	800	0.0548858	39.985	0.00011368	2.29143e-06	0	7.29771e-05	2.4e-07	5.77371e-05	0.000133734
8	800	0.0495233	35.4318	0.00011268	1.95429e-06	0	7.20714e-05	2.45714e-07	5.70971e-05	9.63743e-05
8	800	0.0511555	39.2097	0.000108751	2.12571e-06	0	7.01686e-05	2.42857e-07	5.54943e-05	0.000116111
8	800	0.052516	39.9399	0.000112026	2.1e-06	0	7.21114e-05	2.42857e-07	5.70229e-05	0.000120717
8	800	0.0503404	38.8846	0.000108249	1.82e-06	0	7.00686e-05	2.45714e-07	5.50371e-05	0.00010616
8	800	0.0500093	36.1532	0.00011066	1.97714e-06	0	7.10229e-05	2.51429e-07	5.61743e-05	0.000108943
9	900	0.0621584	42.4184	0.000128466	2.17143e-06	0	8.13486e-05	2.34286e-07	6.45657e-05	0.000165171
9	900	0.0640351	43.6796	0.000129794	2.37143e-06	0	8.24829e-05	2.31429e-07	6.51e-05	0.000181697
9	900	0.062016	44.1341	0.000125769	2.16e-06	0	8.00657e-05	2.31429e-07	6.38971e-05	0.000176457
9	900	0.06265	45.322	0.000121869	2.35714e-06	0	7.77029e-05	2.31429e-07	6.14629e-05	0.000169077
9	900	0.0649214	42.2336	0.000133869	2.24571e-06	0	8.44743e-05	2.37143e-07	6.73257e-05	0.000172674
9	900	0.0630193	42.3447	0.000140157	2.54e-06	0	8.81143e-05	2.31429e-07	7.01429e-05	0.000171394
9	900	0.0629589	45.3883	0.000127397	2.23143e-06	0	8.09257e-05	2.31429e-07	6.42114e-05	0.000177551
9	900	0.064688	45.1888	0.000124571	2.20571e-06	0	7.93029e-05	2.31429e-07	6.28086e-05	0.000176849
9	900	0.0665161	46.4286	0.000122943	2.33143e-06	0	7.83543e-05	2.31429e-07	6.24057e-05	0.000204283
9	900	0.0583952	42.1594	0.000119023	2.07143e-06	0	7.598e-05	2.34286e-07	6.04286e-05	0.000148266
10	1000	0.0729891	50.3229	0.000137817	2.4e-06	0	8.82657e-05	2.28571e-07	6.88886e-05	0.000226211
10	1000	0.0766903	53.4234	0.000132934	2.42857e-06	0	8.43886e-05	2.28571e-07	6.66543e-05	0.000249823
10	1000	0.0761374	51.2908	0.000143126	2.4e-06	0	8.99057e-05	2.28571e-07	7.10743e-05	0.000239877
10	1000	0.0731894	52.176	0.000136229	2.53429e-06	0	8.644e-05	2.31429e-07	6.82229e-05	0.000235129
10	1000	0.075396	50.7389	0.000142551	2.48857e-06	0	9.04171e-05	2.28571e-07	7.08657e-05	0.00023952
10	1000	0.0731284	51.4799	0.000130537	2.32e-06	0	8.29829e-05	2.28571e-07	6.57571e-05	0.000237343
10	1000	0.0778501	50.9082	0.000146351	2.52e-06	0	9.158e-05	2.28571e-07	7.27086e-05	0.000231386
10	1000	0.072527	50.2735	0.000134943	2.39429e-06	0	8.57943e-05	2.28571e-07	6.76171e-05	0.000218389
10	1000	0.0735403	49.8998	0.000139426	2.43714e-06	0	8.82286e-05	2.28571e-07	6.98857e-05	0.000216223
10	1000	0.0768715	50.9564	0.0001393	2.54571e-06	0	8.79114e-05	2.28571e-07	6.95371e-05	0.000250497
11	1100	0.0816963	50.2712	0.000149786	2.68e-06	0	9.38371e-05	2.42857e-07	7.47486e-05	0.000241083
11	1100	0.0822425	54.1667	0.000152466	2.64286e-06	0	9.60857e-05	2.42857e-07	7.59857e-05	0.000291614
11	1100	0.083164	51.4349	0.000155477	2.66571e-06	0	9.73114e-05	2.42857e-07	7.724e-05	0.000269763
11	1100	0.0847016	52.4633	0.000157149	2.70286e-06	0	9.84714e-05	2.42857e-07	7.81057e-05	0.000284549
11	1100	0.0870129	56.4356	0.000154471	2.62857e-06	0	9.68686e-05	2.45714e-07	7.672e-05	0.000327989
11	1100	0.0844786	51.3059	0.000148994	2.61143e-06	0	9.36771e-05	2.4e-07	7.44886e-05	0.00028692
11	1100	0.0861653	53.5473	0.000151077	2.73143e-06	0	9.47143e-05	2.45714e-07	7.56914e-05	0.000307266
11	1100	0.0830952	54.3189	0.00015218	2.57714e-06	0	9.53314e-05	2.42857e-07	7.584e-05	0.000284503
11	1100	0.0848293	55.0102	0.000148491	2.52e-06	0	9.34257e-05	2.48571e-07	7.414e-05	0.000300457
11	1100	0.0889363	52.5248	0.000151749	2.78857e-06	0	9.55e-05	2.4e-07	7.50971e-05	0.000293209
12	1200	0.0963443	58.7061	0.00015666	2.76857e-06	0	9.82571e-05	2.4e-07	7.78314e-05	0.00038608
12	1200	0.0989432	56.5689	0.000165777	2.79143e-06	0	0.000103743	2.4e-07	8.21886e-05	0.00035232
12	1200	0.0994119	56.9275	0.000163643	2.98571e-06	0	0.000103077	2.4e-07	8.07686e-05	0.000363817
12	1200	0.101929	59.3358	0.000162609	2.88857e-06	0	0.000101671	2.4e-07	8.04171e-05	0.000387251
12	1200	0.0934078	57.0508	0.000158569	2.7e-06	0	9.92686e-05	2.4e-07	7.88886e-05	0.000334149
12	1200	0.0945161	57.9537	0.000158511	2.78857e-06	0	9.89343e-05	2.4e-07	7.89771e-05	0.000361191
12	1200	0.0891301	56.0278	0.00016114	2.73429e-06	0	0.000100349	2.4e-07	8.01286e-05	0.000337386
12	1200	0.0960106	57.4468	0.00016404	2.93714e-06	0	0.000102514	2.4e-07	8.118e-05	0.000366743
12	1200	0.097704	57.2193	0.000154714	2.70857e-06	0	9.68229e-05	2.4e-07	7.66514e-05	0.00035836
12	1200	0.100269	57.4015	0.000169714	2.87714e-06	0	0.000105303	2.4e-07	8.37371e-05	0.000392051
