N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.00753152	0	2.24429e-05	0	0	1.76343e-05	0	5.65714e-07	1.16e-06
1	100	0.0075323	0	2.24514e-05	0	0	1.76171e-05	0	5.65714e-07	1.16857e-06
1	100	0.00753097	0	2.24371e-05	0	0	1.76314e-05	0	5.65714e-07	1.16e-06
1	100	0.00753367	0	2.246e-05	0	0	1.76257e-05	0	5.65714e-07	1.16571e-06
1	100	0.00753358	0	2.24714e-05	0	0	1.762e-05	0	5.68571e-07	1.15714e-06
1	100	0.00753065	0	2.24457e-05	0	0	1.76171e-05	0	5.65714e-07	1.16571e-06
1	100	0.00753266	0	2.24657e-05	0	0	1.76171e-05	0	5.65714e-07	1.16286e-06
1	100	0.00753417	0	2.24571e-05	0	0	1.76343e-05	0	5.68571e-07	1.16e-06
1	100	0.00753257	0	2.24543e-05	0	0	1.76257e-05	0	5.65714e-07	1.16e-06
1	100	0.00753111	0	2.24543e-05	0	0	1.76143e-05	0	5.65714e-07	1.16e-06
2	200	0.00796402	0	2.37429e-05	0	0	1.85771e-05	0	5.62857e-07	1.16286e-06
2	200	0.00796919	0	2.37629e-05	0	0	1.85857e-05	0	5.6e-07	1.16571e-06
2	200	0.00796841	0	2.37543e-05	0	0	1.85829e-05	0	5.62857e-07	1.16e-06
2	200	0.00796626	0	2.37486e-05	0	0	1.858e-05	0	5.65714e-07	1.16286e-06
2	200	0.00797138	0	2.37943e-05	0	0	1.858e-05	0	5.62857e-07	1.16571e-06
2	200	0.00796649	0	2.37343e-05	0	0	1.85743e-05	0	5.65714e-07	1.16e-06
2	200	0.0079707	0	2.376e-05	0	0	1.85829e-05	0	5.65714e-07	1.16e-06
2	200	0.00796983	0	2.37571e-05	0	0	1.85857e-05	0	5.6e-07	1.16286e-06
