N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0171886	0	5.90514e-05	2.16286e-06	0	3.84857e-05	3e-07	5.71714e-06	2.48e-06
1	100	0.0171942	0	5.90857e-05	2.15143e-06	0	3.85029e-05	3.08571e-07	5.69143e-06	2.47143e-06
1	100	0.0171855	0	5.90543e-05	2.14857e-06	0	3.84714e-05	2.97143e-07	5.71429e-06	2.48857e-06
1	100	0.0171934	0	5.90743e-05	2.16e-06	0	3.84429e-05	3.11429e-07	5.74857e-06	2.47714e-06
1	100	0.0171945	0	5.914e-05	2.16571e-06	0	3.84514e-05	3e-07	5.69429e-06	2.49143e-06
1	100	0.0171867	0	5.902e-05	2.17714e-06	0	3.84371e-05	3.2e-07	5.70571e-06	2.46857e-06
1	100	0.0171934	0	5.91e-05	2.16857e-06	0	3.84143e-05	3.14286e-07	5.74857e-06	2.48571e-06
1	100	0.0171891	0	5.90571e-05	2.16e-06	0	3.84657e-05	3.14286e-07	5.71143e-06	2.47143e-06
1	100	0.017188	0	5.90943e-05	2.15429e-06	0	3.84657e-05	2.91429e-07	5.72e-06	2.49143e-06
1	100	0.0171897	0	5.91257e-05	2.15143e-06	0	3.84686e-05	3e-07	5.72286e-06	2.48571e-06
2	200	0.0202961	5.21327	6.61914e-05	2.28286e-06	1.40286e-06	4.07057e-05	1.59714e-06	5.98286e-06	1.30514e-05
2	200	0.0202423	4.30622	6.62229e-05	2.27429e-06	1.30857e-06	4.08229e-05	1.65143e-06	5.97429e-06	1.10771e-05
2	200	0.0202328	4.30622	6.61571e-05	2.27714e-06	1.28286e-06	4.08514e-05	1.71714e-06	5.96e-06	1.10886e-05
2	200	0.0201076	4.30622	6.62143e-05	2.27429e-06	1.57429e-06	4.056e-05	1.71143e-06	5.97143e-06	1.09343e-05
2	200	0.0198424	3.84615	6.63829e-05	2.28857e-06	1.30571e-06	4.088e-05	1.9e-06	5.97143e-06	9.71714e-06
2	200	0.0201842	6.10329	6.63114e-05	2.28e-06	1.50571e-06	4.07e-05	1.37429e-06	6.00857e-06	1.384e-05
2	200	0.0199457	4.7619	6.62657e-05	2.28857e-06	1.62e-06	4.05343e-05	1.68571e-06	6.00857e-06	1.07914e-05
