N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.00705838	0	1.85457e-05	0	0	1.67943e-05	0	5.62857e-07	1.16571e-06
1	100	0.00705673	0	1.85286e-05	0	0	1.67971e-05	0	5.62857e-07	1.16571e-06
1	100	0.00705563	0	1.85314e-05	0	0	1.67771e-05	0	5.62857e-07	1.16286e-06
1	100	0.00705641	0	1.85314e-05	0	0	1.67886e-05	0	5.65714e-07	1.16286e-06
1	100	0.00705984	0	1.85686e-05	0	0	1.67771e-05	0	5.65714e-07	1.16286e-06
1	100	0.00706446	0	1.85914e-05	0	0	1.68029e-05	0	5.68571e-07	1.16e-06
1	100	0.00706267	0	1.86e-05	0	0	1.67714e-05	0	5.68571e-07	1.16571e-06
1	100	0.00705998	0	1.85714e-05	0	0	1.67771e-05	0	5.65714e-07	1.16571e-06
1	100	0.00705531	0	1.85343e-05	0	0	1.67743e-05	0	5.62857e-07	1.16571e-06
1	100	0.00706318	0	1.85971e-05	0	0	1.67829e-05	0	5.65714e-07	1.16571e-06
2	200	0.00744517	0	1.96486e-05	0	0	1.77e-05	0	5.65714e-07	1.16571e-06
2	200	0.00744288	0	1.964e-05	0	0	1.76971e-05	0	5.65714e-07	1.16286e-06
2	200	0.00744197	0	1.962e-05	0	0	1.76943e-05	0	5.6e-07	1.16286e-06
2	200	0.00743913	0	1.964e-05	0	0	1.77e-05	0	5.62857e-07	1.15714e-06
2	200	0.00744274	0	1.96686e-05	0	0	1.77e-05	0	5.65714e-07	1.15714e-06
2	200	0.00744247	0	1.96629e-05	0	0	1.76914e-05	0	5.62857e-07	1.16286e-06
2	200	0.00744658	0	1.96314e-05	0	0	1.77029e-05	0	5.65714e-07	1.16e-06
2	200	0.0074491	0	1.96886e-05	0	0	1.77e-05	0	5.65714e-07	1.16286e-06
2	200	0.0074437	0	1.96686e-05	0	0	1.77e-05	0	5.62857e-07	1.15714e-06
2	200	0.00743849	0	1.96286e-05	0	0	1.76943e-05	0	5.68571e-07	1.16571e-06
3	300	0.00744078	0	1.948e-05	0	0	1.75743e-05	0	5.65714e-07	1.15714e-06
3	300	0.00744306	0	1.95114e-05	0	0	1.75686e-05	0	5.6e-07	1.16e-06
3	300	0.00744329	0	1.94771e-05	0	0	1.75714e-05	0	5.62857e-07	1.15714e-06
3	300	0.00744087	0	1.948e-05	0	0	1.75657e-05	0	5.6e-07	1.16e-06
3	300	0.00743867	0	1.94829e-05	0	0	1.75657e-05	0	5.65714e-07	1.16e-06
3	300	0.00743625	0	1.946e-05	0	0	1.75714e-05	0	5.6e-07	1.16e-06
3	300	0.00743899	0	1.94771e-05	0	0	1.758e-05	0	5.62857e-07	1.16286e-06
3	300	0.00744041	0	1.95029e-05	0	0	1.75657e-05	0	5.62857e-07	1.15714e-06
3	300	0.0074421	0	1.94971e-05	0	0	1.75657e-05	0	5.62857e-07	1.16e-06
3	300	0.00744325	0	1.94829e-05	0	0	1.75714e-05	0	5.65714e-07	1.15714e-06
