N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0166483	0	5.46914e-05	0	0	3.642e-05	0	2.35429e-06	2.46857e-06
1	100	0.0166551	0	5.47543e-05	0	0	3.642e-05	0	2.36286e-06	2.43143e-06
1	100	0.0166578	0	5.47657e-05	0	0	3.64257e-05	0	2.36857e-06	2.44857e-06
1	100	0.0166647	0	5.48571e-05	0	0	3.64057e-05	0	2.33429e-06	2.45714e-06
1	100	0.0166559	0	5.47571e-05	0	0	3.644e-05	0	2.35714e-06	2.44571e-06
1	100	0.0166613	0	5.48171e-05	0	0	3.64257e-05	0	2.36286e-06	2.48e-06
1	100	0.0166597	0	5.478e-05	0	0	3.64629e-05	0	2.36286e-06	2.44286e-06
1	100	0.0166571	0	5.47486e-05	0	0	3.646e-05	0	2.35714e-06	2.46286e-06
1	100	0.0166518	0	5.47486e-05	0	0	3.64171e-05	0	2.37143e-06	2.44857e-06
1	100	0.0166616	0	5.48e-05	0	0	3.64457e-05	0	2.36571e-06	2.45714e-06
2	200	0.0172428	0	5.74829e-05	6.85714e-08	0	3.81114e-05	5.71429e-09	2.53429e-06	2.55714e-06
2	200	0.0172488	0	5.762e-05	6.57143e-08	0	3.81743e-05	5.71429e-09	2.50857e-06	2.58e-06
2	200	0.0172437	0	5.75171e-05	6.85714e-08	0	3.81314e-05	5.71429e-09	2.52e-06	2.56e-06
2	200	0.017239	0	5.75143e-05	6.85714e-08	0	3.81086e-05	5.71429e-09	2.51714e-06	2.56e-06
2	200	0.0172528	0	5.75971e-05	6.85714e-08	0	3.81429e-05	5.71429e-09	2.52e-06	2.56e-06
2	200	0.0172483	0	5.75571e-05	6.85714e-08	0	3.814e-05	5.71429e-09	2.51714e-06	2.58e-06
2	200	0.0172451	0	5.75257e-05	6.85714e-08	0	3.81914e-05	5.71429e-09	2.52571e-06	2.55714e-06
2	200	0.0172553	0	5.758e-05	6.85714e-08	0	3.81514e-05	5.71429e-09	2.53429e-06	2.55143e-06
2	200	0.0172371	0	5.75371e-05	6.57143e-08	0	3.81657e-05	5.71429e-09	2.52571e-06	2.55714e-06
2	200	0.0172333	0	5.748e-05	6.85714e-08	0	3.81457e-05	5.71429e-09	2.52571e-06	2.56286e-06
3	300	0.0184391	0	6.32886e-05	1e-07	3.42857e-08	4.15829e-05	5.71429e-09	2.70857e-06	2.69714e-06
3	300	0.0184392	0	6.33e-05	9.42857e-08	3.14286e-08	4.15943e-05	8.57143e-09	2.71714e-06	2.70857e-06
3	300	0.0184293	0	6.33171e-05	9.71429e-08	3.42857e-08	4.14943e-05	5.71429e-09	2.72286e-06	2.72286e-06
3	300	0.0184353	0	6.32829e-05	9.71429e-08	3.14286e-08	4.15914e-05	5.71429e-09	2.70857e-06	2.70571e-06
3	300	0.0184432	0	6.33229e-05	9.42857e-08	3.42857e-08	4.16543e-05	5.71429e-09	2.7e-06	2.72571e-06
3	300	0.018413	0	6.31543e-05	9.42857e-08	3.42857e-08	4.15257e-05	5.71429e-09	2.72571e-06	2.72571e-06
3	300	0.0184277	0	6.33314e-05	9.42857e-08	3.14286e-08	4.16e-05	5.71429e-09	2.72286e-06	2.68286e-06
3	300	0.0184378	0	6.33229e-05	9.71429e-08	3.42857e-08	4.15857e-05	5.71429e-09	2.70857e-06	2.70571e-06
3	300	0.0184309	0	6.32543e-05	9.14286e-08	3.42857e-08	4.16029e-05	5.71429e-09	2.7e-06	2.70857e-06
3	300	0.0184327	0	6.32886e-05	9.42857e-08	3.14286e-08	4.15457e-05	5.71429e-09	2.69143e-06	2.71429e-06
4	400	0.0199936	0	7.14114e-05	9.71429e-08	9.42857e-08	4.58257e-05	5.71429e-09	2.99714e-06	2.9e-06
4	400	0.0199816	0	7.12771e-05	8.85714e-08	5.71429e-08	4.58571e-05	5.71429e-09	3.01714e-06	2.91714e-06
4	400	0.0199762	0	7.13886e-05	1e-07	9.14286e-08	4.57286e-05	5.71429e-09	2.99143e-06	2.89429e-06
4	400	0.0199714	0	7.13143e-05	9.42857e-08	8.85714e-08	4.57743e-05	5.71429e-09	3.02571e-06	2.87714e-06
4	400	0.0199709	0	7.12343e-05	9.42857e-08	6e-08	4.59e-05	5.71429e-09	3.02286e-06	2.90857e-06
4	400	0.0199656	0	7.12914e-05	8.85714e-08	5.71429e-08	4.58114e-05	5.71429e-09	3.01714e-06	2.92286e-06
4	400	0.0200013	0	7.13771e-05	9.14286e-08	9.14286e-08	4.58143e-05	5.71429e-09	3.02857e-06	2.88857e-06
4	400	0.0199624	0	7.12543e-05	9.14286e-08	9.14286e-08	4.58629e-05	5.71429e-09	3e-06	2.91143e-06
4	400	0.0199975	0	7.14886e-05	1e-07	9.14286e-08	4.58e-05	5.71429e-09	3.00286e-06	2.89429e-06
4	400	0.0200082	0	7.14514e-05	9.42857e-08	9.14286e-08	4.58143e-05	5.71429e-09	3.03429e-06	2.88286e-06
5	500	0.0215902	0.199601	7.94286e-05	1.08571e-07	2.14286e-07	4.984e-05	5.71429e-09	3.42e-06	3.39429e-06
5	500	0.0215429	0.199601	7.91e-05	1.11429e-07	2.22857e-07	4.97343e-05	2.85714e-09	3.42e-06	3.4e-06
5	500	0.0215426	0.199601	7.91457e-05	1.14286e-07	2.2e-07	4.97657e-05	5.71429e-09	3.4e-06	3.38e-06
5	500	0.0216202	0.199601	7.97257e-05	1e-07	2.14286e-07	4.98114e-05	0	3.42286e-06	3.38857e-06
5	500	0.0215574	0.398406	7.91943e-05	1e-07	1.28571e-07	4.984e-05	0	3.4e-06	3.62286e-06
5	500	0.0215076	0	7.91314e-05	1.17143e-07	2.34286e-07	4.95971e-05	5.71429e-09	3.40286e-06	3.17143e-06
5	500	0.0215859	0.199601	7.94714e-05	1e-07	2.08571e-07	4.97457e-05	2.85714e-09	3.44571e-06	3.4e-06
5	500	0.0215509	0.199601	7.92543e-05	1.05714e-07	1.88571e-07	4.97171e-05	5.71429e-09	3.41429e-06	3.36857e-06
5	500	0.0215094	0.199601	7.90514e-05	1.08571e-07	2.14286e-07	4.97229e-05	5.71429e-09	3.39714e-06	3.39143e-06
5	500	0.021608	0.199601	7.95714e-05	9.71429e-08	2.14286e-07	4.97771e-05	2.85714e-09	3.42e-06	3.41143e-06
6	600	0.0250407	0.332226	9.97743e-05	1.34286e-07	3e-07	6.02314e-05	2.85714e-09	4.02571e-06	4.12571e-06
