N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.00952713	0	1.67829e-05	9.45714e-07	0	1.63314e-05	1.54286e-07	1.12e-06	1.16571e-06
1	100	0.00952645	0	1.67886e-05	9.57143e-07	0	1.63114e-05	1.51429e-07	1.12286e-06	1.16e-06
1	100	0.00952754	0	1.68e-05	9.51429e-07	0	1.63143e-05	1.57143e-07	1.11429e-06	1.16571e-06
1	100	0.00952677	0	1.67829e-05	9.6e-07	0	1.63286e-05	1.54286e-07	1.11714e-06	1.16571e-06
1	100	0.00952421	0	1.67543e-05	9.6e-07	0	1.632e-05	1.57143e-07	1.11714e-06	1.16571e-06
1	100	0.00953047	0	1.68e-05	9.54286e-07	0	1.63343e-05	1.51429e-07	1.12e-06	1.16571e-06
1	100	0.00953051	0	1.68314e-05	9.51429e-07	0	1.632e-05	1.54286e-07	1.11714e-06	1.16571e-06
1	100	0.00952882	0	1.67943e-05	9.57143e-07	0	1.63229e-05	1.54286e-07	1.11714e-06	1.16286e-06
1	100	0.00952667	0	1.67771e-05	9.6e-07	0	1.63229e-05	1.54286e-07	1.11714e-06	1.16571e-06
1	100	0.00952914	0	1.68086e-05	9.62857e-07	0	1.63114e-05	1.57143e-07	1.11714e-06	1.16571e-06
2	200	0.0101739	4.30622	1.79771e-05	9.62857e-07	3.28571e-07	1.69371e-05	3.51429e-07	1.12571e-06	3.64571e-06
2	200	0.0102125	3.38164	1.80086e-05	9.65714e-07	2.68571e-07	1.69971e-05	4.14286e-07	1.12286e-06	2.94857e-06
2	200	0.0101883	4.30622	1.80143e-05	9.68571e-07	3e-07	1.69629e-05	3.88571e-07	1.12571e-06	3.74e-06
2	200	0.0101777	4.30622	1.80086e-05	9.62857e-07	3.28571e-07	1.69343e-05	3.54286e-07	1.12571e-06	3.64286e-06
2	200	0.0102061	2.91262	1.80229e-05	9.68571e-07	3.05714e-07	1.69686e-05	4.17143e-07	1.12286e-06	2.81429e-06
2	200	0.010176	4.30622	1.80114e-05	9.71429e-07	3.05714e-07	1.69457e-05	3.54286e-07	1.12571e-06	3.64286e-06
2	200	0.0101483	3.84615	1.79857e-05	9.71429e-07	3.6e-07	1.68914e-05	3.97143e-07	1.12e-06	3.28857e-06
2	200	0.0102061	2.91262	1.80257e-05	9.71429e-07	3.08571e-07	1.69657e-05	4.17143e-07	1.12857e-06	2.80571e-06
2	200	0.0101772	4.30622	1.79943e-05	9.71429e-07	3.31429e-07	1.69457e-05	3.51429e-07	1.12571e-06	3.64286e-06
2	200	0.0101531	3.84615	1.80114e-05	9.65714e-07	3.45714e-07	1.69114e-05	3.42857e-07	1.12857e-06	3.39714e-06
3	300	0.0107122	11.5044	1.85686e-05	1.04571e-06	4.45714e-07	1.73686e-05	7.88571e-07	1.16857e-06	7.09429e-06
3	300	0.0106482	9.90991	1.862e-05	1.04857e-06	4.14286e-07	1.74371e-05	8.68571e-07	1.17429e-06	6.60571e-06
3	300	0.0107432	10.4478	1.84971e-05	1.04571e-06	4.4e-07	1.73e-05	8e-07	1.16857e-06	6.81714e-06
3	300	0.0106955	9.36556	1.84857e-05	1.04e-06	4.48571e-07	1.72886e-05	8.45714e-07	1.16571e-06	6.29143e-06
3	300	0.0111016	12.0235	1.85629e-05	1.04286e-06	4.45714e-07	1.73257e-05	8.05714e-07	1.16857e-06	8.08e-06
3	300	0.0105623	11.5044	1.85429e-05	1.05143e-06	3.6e-07	1.74543e-05	7.6e-07	1.17143e-06	7.51143e-06
3	300	0.0106464	9.36556	1.84743e-05	1.04571e-06	4.37143e-07	1.726e-05	7.85714e-07	1.17429e-06	7.08571e-06
3	300	0.0105179	8.81459	1.85743e-05	1.04857e-06	3.94286e-07	1.74086e-05	8.91429e-07	1.16857e-06	5.37429e-06
3	300	0.0107517	10.7143	1.84771e-05	1.04e-06	4.17143e-07	1.72971e-05	7.08571e-07	1.16857e-06	7.16286e-06
3	300	0.0106544	10.4478	1.85086e-05	1.04857e-06	4.42857e-07	1.73e-05	7.6e-07	1.16857e-06	6.54286e-06
4	400	0.0117856	20.7921	1.844e-05	1.05143e-06	4.8e-07	1.72029e-05	8.77143e-07	1.16857e-06	1.43371e-05
4	400	0.0119296	20.1597	1.84971e-05	1.05429e-06	5.8e-07	1.71429e-05	1.01714e-06	1.17429e-06	1.44171e-05
4	400	0.0121364	20.9486	1.84914e-05	1.04857e-06	4.8e-07	1.72343e-05	9.8e-07	1.17143e-06	1.5e-05
4	400	0.0123632	21.4145	1.87543e-05	1.06e-06	5.02857e-07	1.746e-05	9.57143e-07	1.17714e-06	1.638e-05
4	400	0.011842	18.0328	1.87343e-05	1.05429e-06	4.74286e-07	1.74771e-05	1.05429e-06	1.17429e-06	1.31286e-05
4	400	0.0116733	19.0283	1.84029e-05	1.05429e-06	4.68571e-07	1.71914e-05	1.08571e-06	1.17429e-06	1.31286e-05
4	400	0.0121607	22.4806	1.84657e-05	1.06e-06	4.02857e-07	1.73029e-05	1.06e-06	1.16857e-06	1.52286e-05
4	400	0.0118571	20	1.87343e-05	1.06e-06	4.88571e-07	1.746e-05	1.11143e-06	1.17714e-06	1.49229e-05
4	400	0.0118618	19.3548	1.87343e-05	1.06e-06	5.54286e-07	1.73514e-05	1.09143e-06	1.17714e-06	1.46257e-05
4	400	0.0117905	19.1919	1.86714e-05	1.05714e-06	5.25714e-07	1.73457e-05	9.91429e-07	1.17714e-06	1.37257e-05
5	500	0.0128013	26.0355	1.91686e-05	1.07429e-06	7.48571e-07	1.752e-05	1.42857e-06	1.18286e-06	2.02714e-05
5	500	0.0131102	29.1785	1.888e-05	1.07143e-06	6.45714e-07	1.73829e-05	1.48e-06	1.18286e-06	2.30286e-05
5	500	0.0124072	26.4706	1.882e-05	1.07143e-06	7.2e-07	1.72457e-05	1.42e-06	1.17714e-06	1.99286e-05
5	500	0.0129739	28.0576	1.884e-05	1.06857e-06	6.65714e-07	1.73343e-05	1.29429e-06	1.18e-06	2.25771e-05
5	500	0.0133446	29.1785	1.91057e-05	1.07143e-06	6.62857e-07	1.75629e-05	1.36e-06	1.17714e-06	2.43571e-05
5	500	0.0128928	28.1609	1.886e-05	1.06286e-06	5.77143e-07	1.746e-05	1.35143e-06	1.18e-06	2.36286e-05
5	500	0.0131682	29.4781	1.908e-05	1.08286e-06	5.97143e-07	1.76143e-05	1.27714e-06	1.18286e-06	2.43057e-05
5	500	0.012839	28.264	1.91486e-05	1.07143e-06	6.4e-07	1.762e-05	1.38571e-06	1.18e-06	2.36543e-05
5	500	0.0138632	31.0345	1.89714e-05	1.07143e-06	6.31429e-07	1.75114e-05	1.32571e-06	1.17429e-06	2.77286e-05
5	500	0.0138233	25.2616	1.86429e-05	1.06e-06	6.2e-07	1.724e-05	1.38e-06	1.18e-06	2.08086e-05
6	600	0.014826	32.9609	1.87829e-05	1.03143e-06	6.14286e-07	1.73057e-05	1.32571e-06	1.15714e-06	2.94657e-05
6	600	0.0146	36.8421	1.94714e-05	1.06571e-06	7.48571e-07	1.776e-05	1.61143e-06	1.17143e-06	3.58029e-05
6	600	0.0148836	36.7089	1.93114e-05	1.05714e-06	7.34286e-07	1.76429e-05	1.52e-06	1.17714e-06	3.63257e-05
6	600	0.01421	35.9658	1.96543e-05	1.06857e-06	6.91429e-07	1.80086e-05	1.60857e-06	1.17429e-06	3.32886e-05
6	600	0.0143038	30.2326	1.95257e-05	1.04571e-06	7.2e-07	1.78086e-05	1.47714e-06	1.16286e-06	2.798e-05
6	600	0.0143446	37.3041	1.91029e-05	1.04857e-06	7.91429e-07	1.73886e-05	1.56e-06	1.16857e-06	3.60686e-05
6	600	0.0151921	36.8421	1.92543e-05	1.03143e-06	6.22857e-07	1.76857e-05	1.34571e-06	1.16e-06	3.70943e-05
6	600	0.014383	33.6283	1.93486e-05	1.06857e-06	7.51429e-07	1.766e-05	1.52571e-06	1.17429e-06	3.08486e-05
6	600	0.0157533	36.1702	1.93286e-05	1.05429e-06	6.82857e-07	1.77143e-05	1.44571e-06	1.17143e-06	3.54514e-05
6	600	0.0144494	36.642	1.92657e-05	1.06286e-06	7.08571e-07	1.76171e-05	1.54857e-06	1.17429e-06	3.52657e-05
7	700	0.0167763	42.005	1.92314e-05	1.04571e-06	7.25714e-07	1.75657e-05	1.77429e-06	1.16286e-06	4.77029e-05
7	700	0.0194386	39.9142	1.97971e-05	1.01714e-06	8.2e-07	1.78971e-05	1.65143e-06	1.15143e-06	4.49943e-05
7	700	0.0171202	39.1304	2.004e-05	1.04571e-06	9.05714e-07	1.80371e-05	1.71429e-06	1.16286e-06	4.29857e-05
7	700	0.0168267	41.2752	1.98e-05	1.04857e-06	8.48571e-07	1.78914e-05	1.84571e-06	1.16571e-06	4.77543e-05
7	700	0.0180981	41.4716	1.97886e-05	1.05429e-06	8.37143e-07	1.78943e-05	1.81429e-06	1.16286e-06	4.86886e-05
7	700	0.0163517	41.3244	1.98714e-05	1.03714e-06	8.8e-07	1.794e-05	1.87143e-06	1.16e-06	4.60229e-05
7	700	0.0173032	41.3735	1.93086e-05	1.03714e-06	7.82857e-07	1.75714e-05	1.62e-06	1.16e-06	4.68914e-05
7	700	0.0171455	41.9087	2e-05	1.04857e-06	9.34286e-07	1.79743e-05	1.83714e-06	1.16e-06	4.74429e-05
7	700	0.0182615	40.7783	1.98743e-05	1.03429e-06	7.77143e-07	1.80457e-05	1.65143e-06	1.15714e-06	4.52257e-05
7	700	0.0173634	40.0171	1.98943e-05	1.04571e-06	7.71429e-07	1.80514e-05	1.74286e-06	1.16286e-06	4.40371e-05
8	800	0.0198417	46.8792	1.98686e-05	1.03714e-06	8.42857e-07	1.79457e-05	1.75714e-06	1.16e-06	6.176e-05
8	800	0.0193785	45.2804	1.99457e-05	1.04571e-06	7.65714e-07	1.81286e-05	1.78286e-06	1.16857e-06	5.77829e-05
8	800	0.0189314	42.071	1.96829e-05	1.01429e-06	7.17143e-07	1.792e-05	1.68e-06	1.15143e-06	4.98114e-05
8	800	0.020155	47.9844	1.99857e-05	1.05429e-06	9.22857e-07	1.798e-05	1.90286e-06	1.16e-06	6.40343e-05
8	800	0.0190543	45.2804	1.99229e-05	1.03429e-06	9.68571e-07	1.78514e-05	1.83143e-06	1.16e-06	5.62257e-05
8	800	0.01979	47.9506	1.98143e-05	1.05143e-06	8.8e-07	1.78686e-05	1.79143e-06	1.16857e-06	6.55629e-05
8	800	0.0206	45.5782	1.99971e-05	1.02571e-06	8.28571e-07	1.80629e-05	1.71429e-06	1.14857e-06	5.76914e-05
8	800	0.0214032	47.3684	1.98543e-05	1.03714e-06	9.14286e-07	1.78743e-05	1.81143e-06	1.16e-06	6.52229e-05
8	800	0.0200421	46.9144	1.93314e-05	1.04571e-06	7.48571e-07	1.76171e-05	1.82e-06	1.16e-06	6.20914e-05
