N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0162865	0	5.15971e-05	3.07714e-06	0	3.82286e-05	2.85714e-07	3.52571e-06	2.48e-06
1	100	0.0162895	0	5.15714e-05	3.07714e-06	0	3.826e-05	2.85714e-07	3.54286e-06	2.48286e-06
1	100	0.0162854	0	5.15857e-05	3.08286e-06	0	3.82286e-05	2.85714e-07	3.51143e-06	2.49429e-06
1	100	0.0162838	0	5.15543e-05	3.07143e-06	0	3.82543e-05	2.85714e-07	3.50857e-06	2.48286e-06
1	100	0.0162909	0	5.15886e-05	3.07714e-06	0	3.82629e-05	2.85714e-07	3.51714e-06	2.48857e-06
1	100	0.0162895	0	5.15886e-05	3.09143e-06	0	3.82457e-05	2.88571e-07	3.50857e-06	2.52286e-06
1	100	0.0162861	0	5.15771e-05	3.07429e-06	0	3.824e-05	2.85714e-07	3.52571e-06	2.49429e-06
1	100	0.0162814	0	5.15743e-05	3.07429e-06	0	3.82229e-05	2.85714e-07	3.53429e-06	2.46286e-06
1	100	0.0162842	0	5.15686e-05	3.07714e-06	0	3.824e-05	2.88571e-07	3.51429e-06	2.48e-06
1	100	0.0162913	0	5.16229e-05	3.08857e-06	0	3.82257e-05	2.85714e-07	3.52286e-06	2.49429e-06
2	200	0.0183688	5.21327	5.72943e-05	3.26571e-06	1.04e-06	4.05771e-05	1.30286e-06	3.72857e-06	1.06057e-05
2	200	0.0193247	8.6758	5.74171e-05	3.26e-06	1.20571e-06	4.04e-05	1.09714e-06	3.73143e-06	1.67571e-05
2	200	0.0194555	7.8341	5.73057e-05	3.26857e-06	1.57143e-06	3.99057e-05	1.53143e-06	3.71429e-06	1.55886e-05
2	200	0.0193429	7.8341	5.732e-05	3.26857e-06	1.49714e-06	4.006e-05	1.25429e-06	3.72e-06	1.45343e-05
2	200	0.0194642	7.8341	5.72886e-05	3.26e-06	1.57714e-06	3.99086e-05	1.53143e-06	3.69429e-06	1.56429e-05
2	200	0.0187948	5.66038	5.746e-05	3.27714e-06	1.62571e-06	3.99914e-05	1.42857e-06	3.71429e-06	1.04457e-05
2	200	0.0190572	6.97674	5.75486e-05	3.28286e-06	1.50571e-06	4.02029e-05	1.14286e-06	3.70857e-06	1.35429e-05
2	200	0.0186112	4.7619	5.74314e-05	3.27143e-06	1.57714e-06	3.99886e-05	1.40857e-06	3.73143e-06	8.73143e-06
2	200	0.0194624	7.8341	5.73086e-05	3.27143e-06	1.58857e-06	3.98829e-05	1.56e-06	3.69714e-06	1.56057e-05
2	200	0.0193475	7.8341	5.73171e-05	3.26571e-06	1.5e-06	4.00771e-05	1.25714e-06	3.74571e-06	1.45343e-05
3	300	0.0238891	20.6349	6.31886e-05	3.82857e-06	1.70286e-06	4.33886e-05	2.71143e-06	4.12e-06	4.38514e-05
3	300	0.024962	21.875	6.31543e-05	3.8e-06	1.77429e-06	4.32914e-05	2.50571e-06	4.11143e-06	4.836e-05
3	300	0.0234883	19.3548	6.36057e-05	3.81714e-06	1.99429e-06	4.33114e-05	3.06286e-06	4.11714e-06	3.96343e-05
3	300	0.0231025	20.4244	6.31514e-05	3.81429e-06	1.32857e-06	4.38629e-05	2.94857e-06	4.13429e-06	4.15743e-05
3	300	0.0225422	18.4783	6.29286e-05	3.83143e-06	2.06286e-06	4.29371e-05	2.6e-06	4.15143e-06	3.76429e-05
3	300	0.0230628	18.4783	6.35429e-05	3.86857e-06	2.28e-06	4.28857e-05	3.21714e-06	4.15143e-06	3.892e-05
3	300	0.023433	19.1375	6.35486e-05	3.81429e-06	1.86286e-06	4.332e-05	3.24571e-06	4.15143e-06	4.11371e-05
3	300	0.024144	21.2598	6.37886e-05	3.84571e-06	1.97429e-06	4.332e-05	3.02286e-06	4.15143e-06	4.64629e-05
3	300	0.0238433	19.571	6.26857e-05	3.79714e-06	1.56571e-06	4.32657e-05	2.46286e-06	4.08e-06	4.09114e-05
3	300	0.0243992	23.2737	6.348e-05	3.82857e-06	1.44e-06	4.38514e-05	2.40571e-06	4.14e-06	5.09943e-05
4	400	0.0300933	29.2035	7.17686e-05	4.39429e-06	2.66857e-06	4.64143e-05	4.66e-06	4.60286e-06	7.81514e-05
4	400	0.0299275	31.1532	7.07971e-05	4.36857e-06	2.54286e-06	4.63943e-05	3.92e-06	4.58286e-06	8.36971e-05
4	400	0.0324638	31.9728	7.09743e-05	4.38e-06	2.04286e-06	4.67343e-05	3.98286e-06	4.57143e-06	8.85857e-05
4	400	0.0299076	29.4533	7.13e-05	4.31143e-06	2.02e-06	4.704e-05	4.27714e-06	4.59714e-06	7.88143e-05
4	400	0.0295199	28.5714	7.15257e-05	4.34571e-06	2.2e-06	4.69257e-05	3.87714e-06	4.58857e-06	7.55771e-05
4	400	0.0299817	29.4533	7.08686e-05	4.33143e-06	2.80286e-06	4.60971e-05	4.68857e-06	4.55429e-06	7.75543e-05
4	400	0.0304148	33.4443	7.09343e-05	4.31714e-06	2.37143e-06	4.62343e-05	3.78857e-06	4.65714e-06	9.26486e-05
4	400	0.03113	31.6239	7.06829e-05	4.34e-06	2.01714e-06	4.67171e-05	4.66571e-06	4.57429e-06	8.92886e-05
4	400	0.0314918	29.7012	7.08943e-05	4.31143e-06	2.45714e-06	4.65114e-05	4.31429e-06	4.51429e-06	7.64914e-05
4	400	0.0311324	29.3286	7.16e-05	4.37429e-06	2.45714e-06	4.66371e-05	4.45143e-06	4.58571e-06	7.93514e-05
5	500	0.041902	41.7928	8.50857e-05	5.16286e-06	3.23429e-06	5.28029e-05	6.04857e-06	5.34571e-06	0.00016472
5	500	0.0420468	40.8983	8.28257e-05	5.20571e-06	2.74e-06	5.22629e-05	5.30286e-06	5.34571e-06	0.000156926
5	500	0.0422477	41.0377	8.31114e-05	5.19714e-06	2.94e-06	5.21686e-05	6.08286e-06	5.29714e-06	0.000165417
5	500	0.0421297	40.048	8.24886e-05	5.09143e-06	2.84857e-06	5.206e-05	5.75143e-06	5.23714e-06	0.00014992
5	500	0.0402766	39.9038	8.31343e-05	5.14857e-06	2.74857e-06	5.24314e-05	5.94571e-06	5.23143e-06	0.00014552
5	500	0.0445437	44.1964	8.21e-05	5.16286e-06	2.22857e-06	5.25771e-05	5.06571e-06	5.17143e-06	0.000174149
5	500	0.0442638	42.1965	8.12371e-05	5.19143e-06	2.57429e-06	5.13143e-05	5.42571e-06	5.26857e-06	0.000169017
5	500	0.0404009	38.3477	8.17257e-05	4.92286e-06	2.68857e-06	5.19257e-05	5.44286e-06	5.13143e-06	0.00014178
5	500	0.0415058	41.7928	8.33914e-05	5.12857e-06	2.91429e-06	5.23829e-05	5.34e-06	5.23429e-06	0.000156877
5	500	0.0427848	40.1914	8.31943e-05	5.16286e-06	3e-06	5.21771e-05	5.67714e-06	5.20571e-06	0.000155306
6	600	0.0583559	47.4606	9.54629e-05	5.88286e-06	3.54286e-06	5.83771e-05	6.28857e-06	5.91429e-06	0.000247937
6	600	0.0560789	45.6522	9.68143e-05	5.88286e-06	3.14286e-06	5.91457e-05	6.52286e-06	5.87714e-06	0.000221263
6	600	0.0533687	41.5774	9.34771e-05	5.55429e-06	3.88286e-06	5.67171e-05	6.45429e-06	5.71143e-06	0.000190269
6	600	0.0583727	47.0432	9.75686e-05	5.82571e-06	3.38571e-06	5.96143e-05	6.56571e-06	5.88571e-06	0.000241829
6	600	0.056067	47.7807	9.75143e-05	6.02286e-06	3.16571e-06	5.95857e-05	6.57714e-06	6.02571e-06	0.000246203
6	600	0.0593316	46.5241	9.466e-05	5.81429e-06	3.09714e-06	5.85e-05	6.60286e-06	5.86e-06	0.000242211
6	600	0.0540878	46.0916	9.68314e-05	5.84286e-06	3.81143e-06	5.85914e-05	7.02571e-06	5.89714e-06	0.000220714
6	600	0.0582003	45.4049	9.5e-05	5.61714e-06	2.94286e-06	5.846e-05	6.16286e-06	5.86857e-06	0.000228774
6	600	0.0584076	47.644	9.74029e-05	5.82857e-06	2.77714e-06	6.00314e-05	6.82571e-06	5.94571e-06	0.000245449
6	600	0.0562458	45.5041	9.45286e-05	5.78286e-06	3.39143e-06	5.80771e-05	6.83714e-06	5.84857e-06	0.000218914
7	700	0.0709104	51.2535	0.000111483	6.56857e-06	3.96286e-06	6.62314e-05	7.84571e-06	6.62e-06	0.000334657
7	700	0.0676842	49.1649	0.00010672	6.31429e-06	3.68571e-06	6.38514e-05	7.33714e-06	6.58e-06	0.000300249
7	700	0.0718032	51.049	0.000108123	6.18e-06	3.40286e-06	6.50943e-05	7.27143e-06	6.44857e-06	0.000330057
7	700	0.0756189	52.9886	0.000115437	6.80571e-06	3.94e-06	6.85714e-05	8.61714e-06	6.86857e-06	0.00037016
7	700	0.0706645	51.1173	0.000112117	6.58571e-06	3.96286e-06	6.68486e-05	8.07714e-06	6.74571e-06	0.000330797
7	700	0.0692086	50.3546	0.000112291	6.59714e-06	3.66857e-06	6.71229e-05	7.77714e-06	6.83714e-06	0.00031486
7	700	0.071141	51.49	0.000115366	6.48857e-06	3.94857e-06	6.84914e-05	8.10286e-06	6.76857e-06	0.000324771
7	700	0.0708651	50.2841	0.00011194	6.53714e-06	4.17429e-06	6.64314e-05	8.04286e-06	6.67429e-06	0.000318557
7	700	0.0685052	48.9051	0.000110386	6.43143e-06	4.28286e-06	6.554e-05	7.90286e-06	6.61143e-06	0.00029482
7	700	0.0721548	51.4226	0.000115269	6.61714e-06	3.9e-06	6.85143e-05	7.86571e-06	6.80571e-06	0.000333989
8	800	0.088455	55.9229	0.000126857	7.35714e-06	4.98571e-06	7.34029e-05	1.00571e-05	7.49429e-06	0.000452903
8	800	0.0938678	57.0354	0.000125831	7.42e-06	4.41429e-06	7.37886e-05	9.27143e-06	7.43714e-06	0.000488003
8	800	0.0914254	55.4318	0.000125629	7.42571e-06	4.00571e-06	7.39571e-05	8.69143e-06	7.43714e-06	0.000459006
8	800	0.0904299	55.5556	0.000122477	7.06571e-06	3.92e-06	7.23114e-05	8.42571e-06	7.25429e-06	0.000450274
8	800	0.0898537	55.0814	0.000123949	7.22286e-06	4.58571e-06	7.24343e-05	8.93143e-06	7.26571e-06	0.000440969
8	800	0.0887854	54.955	0.000125309	7.26857e-06	4.38571e-06	7.30171e-05	8.74e-06	7.5e-06	0.000437634
8	800	0.0937884	56.427	0.000125203	7.44286e-06	4.16571e-06	7.32743e-05	9.05429e-06	7.39714e-06	0.000475686
8	800	0.0925282	57.0815	0.000126034	7.40857e-06	4.60857e-06	7.34257e-05	8.76571e-06	7.43429e-06	0.000476083
8	800	0.090985	56.4033	0.000127583	7.26286e-06	4.78857e-06	7.392e-05	8.62286e-06	7.49143e-06	0.000475754
8	800	0.0895234	54.3379	0.000120763	6.95429e-06	3.52e-06	7.15629e-05	8.37429e-06	7.12571e-06	0.00043504
9	900	0.113254	60.3175	0.000143166	8.28e-06	5.37429e-06	8.18086e-05	1.01914e-05	8.38857e-06	0.000622823
9	900	0.101349	55.9256	0.000128931	7.42857e-06	4.55143e-06	7.50943e-05	8.93429e-06	7.68286e-06	0.000514791
9	900	0.109596	59.3312	0.000141834	8.17714e-06	5.13429e-06	8.11371e-05	1.02829e-05	8.26e-06	0.000586823
9	900	0.113609	60.5609	0.000141626	8.36286e-06	5.06571e-06	8.13571e-05	1.04743e-05	8.30571e-06	0.000619383
9	900	0.107165	57.6271	0.000134977	7.90286e-06	4.95714e-06	7.77686e-05	9.02571e-06	8.07714e-06	0.000563631
9	900	0.108935	59.9644	0.000136663	8.17143e-06	5.12857e-06	7.87171e-05	9.99714e-06	8.22857e-06	0.000624051
9	900	0.116727	61.1734	0.000142023	8.44857e-06	5.13714e-06	8.14886e-05	1.07514e-05	8.42571e-06	0.00066826
9	900	0.112971	60.5609	0.00014132	8.25714e-06	4.94571e-06	8.138e-05	1.04371e-05	8.31714e-06	0.000636809
9	900	0.106178	57.204	0.000132417	7.8e-06	4.72857e-06	7.69543e-05	9.36e-06	7.83714e-06	0.000547926
9	900	0.105227	59.1652	0.000140231	8.26e-06	5.43143e-06	7.99886e-05	9.96286e-06	8.38857e-06	0.000570906
10	1000	0.13407	62.7699	0.000151791	8.62857e-06	5.07429e-06	8.67229e-05	1.04286e-05	8.86286e-06	0.000739526
10	1000	0.131439	62.0925	0.00015402	8.78e-06	5.24286e-06	8.74771e-05	1.08771e-05	9.02571e-06	0.000750314
10	1000	0.141023	64.2346	0.000159709	8.84571e-06	5.6e-06	9.02229e-05	1.11286e-05	9.09143e-06	0.000819011
10	1000	0.136872	62.1785	0.000156306	8.87429e-06	5.45143e-06	8.87857e-05	1.07486e-05	9.04571e-06	0.00079092
10	1000	0.128503	62.2926	0.000152594	8.78571e-06	5.03714e-06	8.726e-05	1.07514e-05	8.99429e-06	0.000738194
10	1000	0.129641	61.375	0.000159003	8.86e-06	5.32e-06	9.02457e-05	1.08343e-05	9.28e-06	0.000748894
10	1000	0.135642	63.8989	0.000160771	9.16e-06	5.81714e-06	9.06457e-05	1.15371e-05	9.50286e-06	0.000815406
10	1000	0.127595	60.9375	0.000150886	8.63714e-06	5.28857e-06	8.61514e-05	1.07543e-05	8.85143e-06	0.000714843
10	1000	0.131529	61.2703	0.000156509	8.76286e-06	5.64e-06	8.854e-05	1.08057e-05	9.01714e-06	0.000726543
10	1000	0.132155	61.5975	0.000158206	9.03714e-06	5.66571e-06	8.948e-05	1.12886e-05	9.12571e-06	0.000720937
11	1100	0.161162	66.2577	0.00017704	9.79714e-06	6.04e-06	9.88971e-05	1.19029e-05	1.00571e-05	0.000977886
11	1100	0.163154	65.796	0.000182157	9.82e-06	6.99143e-06	0.000100786	1.25114e-05	1.00286e-05	0.000987017
11	1100	0.168482	66.0074	0.000173826	9.77714e-06	6.33429e-06	9.718e-05	1.24971e-05	9.87714e-06	0.00100877
11	1100	0.158512	65.6572	0.000172723	9.74e-06	5.14286e-06	9.77543e-05	1.25486e-05	9.98571e-06	0.000990666
11	1100	0.155187	64.4588	0.000167566	9.38857e-06	6.12e-06	9.39029e-05	1.17629e-05	9.52286e-06	0.000926963
11	1100	0.169758	68.1159	0.00018486	1.02857e-05	5.42286e-06	0.00010366	1.29629e-05	1.05914e-05	0.00110731
11	1100	0.160672	65.5604	0.000177214	9.72857e-06	6.47714e-06	9.85686e-05	1.276e-05	9.96857e-06	0.000966343
11	1100	0.164177	66.4634	0.000173626	9.70857e-06	5.63143e-06	9.78143e-05	1.21971e-05	9.9e-06	0.00102363
11	1100	0.145644	63.9226	0.000173934	9.74286e-06	7.21429e-06	9.58657e-05	1.22971e-05	1.00257e-05	0.0008836
11	1100	0.171906	67.2229	0.000191846	1.05571e-05	7.12857e-06	0.000105411	1.38971e-05	1.06629e-05	0.00107476
